typ_11_47_pfeil,n,median,mean,std
11→11,1137,0.0,6.891414601565739e-18,1.5756732623714208e-17
11→41,1222,0.9999995352680486,0.9988281854622835,0.029389486418637065
41→11,1222,0.9999995555439509,0.9983596118559422,0.03035229901179915
41→41,1184,0.0,5.653986760137739e-18,1.3767407194566955e-17
