center,idx_spread,idx_var,dEA,dAB,dBC,dCE,D3,T,N,S,theta_four_log,pE,pA,pB,pC,IE,IA,IB,IC,theta12_count,theta12_log,pattern,center_mod12,rank_type
1410975,183,5114.25,183,-24,-15,-144,-0.42391304347826086,3963485516713948553878189,7963401802540,2.009191598899119e-12,-1.0647634649732865e-13,1410973,1410977,1410979,1410971,26848,27031,27007,26992,0.0011123882976751085,0.0010394074947513438,CEAB,3,idx_spread_top
1402365,173,4521.5,173,-21,-25,-127,-0.5287356321839081,3867624090394623514036189,7866510372940,2.0339387151085203e-12,1.0784019576639673e-13,1402369,1402361,1402363,1402367,26707,26880,26859,26834,0.000988087026230914,0.0009042450012705698,ABCE,9,idx_spread_top
1400805,171,4276.5,171,-30,-13,-128,-0.5,3850443303656471543440189,7849018592140,2.0384714104701625e-12,1.0797419174091715e-13,1400809,1400801,1400803,1400807,26684,26855,26825,26812,0.0009144008808106444,0.0008243116819041,ABCE,9,idx_spread_top
1447005,162,3754.6875,162,-36,-3,-123,-0.4785276073619632,4384096723585655604100189,8375293880140,1.9103807256537972e-12,1.0096489597667971e-13,1447009,1447001,1447003,1447007,27502,27664,27628,27625,0.0007879221496689821,0.0006900759485513031,ABCE,9,idx_spread_top
1440585,156,3548.75,156,-32,-2,-122,-0.43312101910828027,4306808421498332775106189,8301140568940,1.927445977746102e-12,1.0193605855257472e-13,1440589,1440581,1440583,1440587,27391,27547,27515,27513,0.0008184496744389072,0.0007227337573200867,ABCE,9,idx_spread_top
1360785,151,3416.1875,151,-30,4,-125,-0.34210526315789475,3428925533053432256926189,7406943264940,2.160135352471237e-12,1.1473595296274662e-13,1360789,1360781,1360783,1360787,25980,26131,26101,26105,0.0009107031587020084,0.0008178418377514911,ABCE,9,idx_spread_top
1381275,148,3574.6875,148,-12,-9,-127,-0.28187919463087246,3640161113647132994128189,7631682502540,2.0965232758320693e-12,-1.1119099283344502e-13,1381273,1381277,1381279,1381271,26342,26490,26478,26469,0.0010871928680147858,0.0010103590398789965,CEAB,3,idx_spread_top
1451835,148,3564.6875,148,-16,-1,-131,-0.22818791946308725,4442925670849932381856189,8431299468940,1.8976908671368997e-12,-1.003151908386295e-13,1451833,1451837,1451839,1451831,27587,27735,27719,27718,0.0010383090910732504,0.0009616240605884523,CEAB,3,idx_spread_top
1358805,147,3356.6875,147,-29,12,-130,-0.22972972972972974,3409012118652047314840189,7385404112140,2.1664352765810207e-12,1.1503080042702015e-13,1358809,1358801,1358803,1358807,25945,26092,26063,26075,0.0009695410519040442,0.0008814757298995805,ABCE,9,idx_spread_top
1368465,145,3256.25,145,-20,-5,-120,-0.3424657534246575,3506992017120219412126189,7490785824940,2.1359574781955416e-12,1.1340159689618039e-13,1368469,1368461,1368463,1368467,26118,26263,26243,26238,0.0009536524890329964,0.0008648996317232127,ABCE,9,idx_spread_top
803445,140,3303.1875,137,3,-24,-116,-0.2978723404255319,416701064177047140040189,2582095472140,6.196517585668858e-12,3.4180395847285007e-13,803449,803441,803443,803447,15952,16089,16092,16068,0.0018536114269692675,0.0017934832365714734,ABCE,9,idx_spread_top
773025,139,3189.6875,128,11,-17,-122,-0.08571428571428572,357087097061530709878189,2390270602540,6.6938027786765016e-12,3.7029088586761044e-13,773029,773021,773023,773027,15392,15520,15531,15514,0.002146719393107901,0.002110418859509002,ABCE,9,idx_spread_top
1461405,137,3090.25,137,-9,-11,-117,-0.2898550724637681,4561234027468592613220189,8542818296140,1.87291821570513e-12,9.892350105408152e-14,1461409,1461401,1461403,1461407,27763,27900,27891,27880,0.0009692009476631488,0.0008872544391158985,ABCE,9,idx_spread_top
795795,136,3166.6875,136,-3,-15,-118,-0.26277372262773724,401055821346659814460189,2533158728140,6.316224807893809e-12,-3.4864692865890043e-13,795793,795797,795799,795791,15814,15950,15947,15932,0.0018070112034694614,0.0017422136405374304,CEAB,3,idx_spread_top
1912455,134,2439.25,134,-45,10,-99,-0.5185185185185185,13377190139366676652810189,14629936508140,1.0936479451754757e-12,-5.673967293811966e-14,1912453,1912457,1912459,1912451,35641,35775,35730,35740,0.0003779289493575208,0.0002722950001310479,CEAB,3,idx_spread_top
814065,134,2935.1875,134,-5,-25,-104,-0.4444444444444444,439173707817888760366189,2650807296940,6.035897071596109e-12,3.326314055993425e-13,814069,814061,814063,814067,16154,16288,16283,16258,0.0015235222603530263,0.0014354874258100587,ABCE,9,idx_spread_top
1910265,133,2477.1875,133,-41,12,-104,-0.43283582089552236,13316021090456135219146189,14596449480940,1.0961569812623361e-12,5.6836285175203654e-14,1910269,1910261,1910263,1910267,35602,35735,35694,35706,0.0004413773776578975,0.00034079741816490244,ABCE,9,idx_spread_top
1912065,132,2396.1875,132,-43,11,-100,-0.48120300751879697,13366281629595370898566189,14623970256940,1.09409412895804e-12,5.677117672225464e-14,1912069,1912061,1912063,1912067,35635,35767,35724,35735,0.0003989948130674301,0.00029505707582985264,ABCE,9,idx_spread_top
889875,132,2649.6875,119,13,-44,-88,-0.46616541353383456,627069999736584568828189,3167510062540,5.0512862421589084e-12,-2.7655816677642515e-13,889873,889877,889879,889871,17551,17670,17683,17639,0.0014317914404388937,0.00134450227243219,CEAB,3,idx_spread_top
1904475,131,2352.6875,131,-40,6,-97,-0.5151515151515151,13155310536437491406128189,14508100102540,1.1028322031893935e-12,-5.718605089476341e-14,1904473,1904477,1904479,1904471,35502,35633,35593,35599,0.0004004918320744774,0.0002962516214507026,CEAB,3,idx_spread_top
