block_id,zero_start_index,zero_end_index,rmse,r2,A_left,mu_left,sigma_left,A_mid,mu_mid,sigma_mid,A_right,mu_right,sigma_right,offset,left_area,mid_area,right_area
1,0,9999,0.0016310780124951555,0.9969312340868948,0.013717544712786448,4.072472460898281,0.689851884517746,0.15242522814859405,4.300732949647053,0.11511170558645009,0.04709060171717428,4.563391568545817,0.12858697955015236,0.0013086171911366649,0.023720409031477,0.04398111919582197,0.015178231382037572
2,10000,19999,0.0014400325796461195,0.8759289572942941,0.014998272446504016,2.151666040106622,2.4999288277259035,0.1756463545103836,4.2597344687374505,0.10842361592117998,0.19999974656615221,4.300000125112435,0.147944954448112,-0.015117901582600622,0.09398505873424554,0.04773676247156895,0.07416850719755667
3,20000,29999,0.0009013810687376306,0.9824189360263461,0.013600323925616022,1.325638100176017,2.4999999998822577,0.056635681473992845,4.0971984347118555,0.05000015109552928,0.19999999999999998,4.300000000000001,0.16292738590093608,-0.013975088948987774,0.08522739123621005,0.007098251477001736,0.0816796784422005
4,30000,39999,0.0011356364424511475,0.9781908688256102,0.02164939365921855,1.6281039655511838,2.499999999906289,0.03636042568234209,4.081202968488532,0.05000000001429074,0.19999999999999998,4.300000000000001,0.17570392867050333,-0.02215491767245853,0.13566745568195038,0.00455710355595138,0.0880848871138464
