N,W,channel,count,cluster_prob,random_prob,delta
50000000,300,11,39931,0.1753067868770348,0.21969771818630912,-0.04439093130927432
50000000,300,17,39956,0.17509698410712052,0.22014052084312505,-0.04504353673600453
50000000,300,29,39839,0.17413022742105527,0.21960069760418563,-0.04547047018313036
50000000,300,41,39972,0.17602762002451777,0.22006534039204234,-0.04403772036752457
50000000,300,47,39766,0.17658745127624795,0.21897705386232316,-0.042389602586075215
50000000,300,59,39630,0.1686643619571526,0.21876249257495545,-0.050098130617802855
50000000,400,11,39931,0.23218131730528424,0.2823562588500708,-0.05017494154478658
50000000,400,17,39956,0.2334626454761607,0.2827794622356979,-0.049316816759537196
50000000,400,29,39839,0.23131181284201013,0.28220963767710144,-0.05089782483509131
50000000,400,41,39972,0.23544569813114508,0.28257108056864455,-0.047125382437499475
50000000,400,47,39766,0.23704262542436816,0.2811199889599117,-0.044077363535543534
50000000,400,59,39630,0.22733351838300234,0.2814002312018496,-0.05406671281884726
50000000,500,11,39931,0.3110443275732532,0.339869798697987,-0.028825471124733826
50000000,500,17,39956,0.31385308472031037,0.34006580065800657,-0.026212715937696196
50000000,500,29,39839,0.30982981073347055,0.3396927769277693,-0.029862966194298735
50000000,500,41,39972,0.3157289034550049,0.3398010180101801,-0.024072114555175217
50000000,500,47,39766,0.3187979378850748,0.3378251182511825,-0.019027180366107677
50000000,500,59,39630,0.30724974135103084,0.33873936739367394,-0.031489626042643104
50000000,600,11,39931,0.33688955672426746,0.3936507238086857,-0.05676116708441825
50000000,600,17,39956,0.33930672006006757,0.39367472409668913,-0.054368004036621564
50000000,600,29,39839,0.3352577940659672,0.39346850162201946,-0.05821070755605229
50000000,600,41,39972,0.33934602586875484,0.3933715404584855,-0.05402551458973065
50000000,600,47,39766,0.3431661008424494,0.3908396300755609,-0.04767352923311147
50000000,600,59,39630,0.33409876605516164,0.3923698884386613,-0.05827112238349963
50000000,700,11,39931,0.4124467818682695,0.44233739272349815,-0.02989061085522865
50000000,700,17,39956,0.4142660493054687,0.4422489914858808,-0.02798294218041214
50000000,700,29,39839,0.41365028364877754,0.4420973893634511,-0.02844710571467357
50000000,700,41,39972,0.4171774536538991,0.4418634060876852,-0.02468595243378613
50000000,700,47,39766,0.4176285678360367,0.4389546853655951,-0.02132611752955843
50000000,700,59,39630,0.4100280097908098,0.4409817537445524,-0.03095374395374262
50000000,800,11,39931,0.46208364638116706,0.48741259860157765,-0.025328952220410594
50000000,800,17,39956,0.4662745588787386,0.4871181938911023,-0.020843635012363693
50000000,800,29,39839,0.4638536071087906,0.4869505912094593,-0.023096984100668738
50000000,800,41,39972,0.4669635485727152,0.48658700539208627,-0.019623456819371055
50000000,800,47,39766,0.4679492015591601,0.48341827469239507,-0.015469073133234978
50000000,800,59,39630,0.4597895480582402,0.4859105545688731,-0.026121006510632927
50000000,900,11,39931,0.49386426245930376,0.5288475192553466,-0.034983256796042805
50000000,900,17,39956,0.4975347265673883,0.5282691088439592,-0.030734382276570882
50000000,900,29,39839,0.49578292082935893,0.528141906554318,-0.0323589857249591
50000000,900,41,39972,0.49863651147081633,0.5276815182673288,-0.02904500679651245
50000000,900,47,39766,0.49810134540425,0.5242951773131916,-0.026193831908941645
50000000,900,59,39630,0.49107976481869337,0.5272402703248659,-0.0361605055061725
50000000,1000,11,39931,0.5362885048835462,0.566880137602752,-0.03059163271920584
50000000,1000,17,39956,0.5383556501063697,0.5661165223304466,-0.02776087222407697
50000000,1000,29,39839,0.5382298308147999,0.5659093181863637,-0.027679487371563782
50000000,1000,41,39972,0.5367391358735083,0.5656545330906618,-0.028915397217153527
50000000,1000,47,39766,0.5399723374827109,0.5618633772675453,-0.02189103978483442
50000000,1000,59,39630,0.5333467914910798,0.5651772835456709,-0.0318304920545911
50000000,1200,11,39931,0.6030553468569998,0.6341448194756674,-0.03108947261866757
50000000,1200,17,39956,0.6048554623951946,0.6330359928638287,-0.028180530468634113
50000000,1200,29,39839,0.6025151865053466,0.6328775890621375,-0.0303624025567909
50000000,1200,41,39972,0.6029371294188286,0.6330124122978952,-0.03007528287906658
50000000,1200,47,39766,0.605306173770904,0.6284188220517293,-0.023112648280825265
50000000,1200,59,39630,0.601201140578869,0.6323935574453787,-0.031192416866509753
50000000,1500,11,39931,0.6903831705484598,0.7164374931247938,-0.026054322576334
50000000,1500,17,39956,0.6927793767988988,0.7146470394111823,-0.021867662612283567
50000000,1500,29,39839,0.688563682915809,0.7153718611558346,-0.02680817824002557
50000000,1500,41,39972,0.6904755948062345,0.7152138764162925,-0.024738281610057977
50000000,1500,47,39766,0.6918647051427135,0.7099350380511416,-0.018070332908428077
50000000,1500,59,39630,0.6903277902546116,0.7141730251907558,-0.02384523493614421
50000000,2000,11,39931,0.8053844227397946,0.8141945677827113,-0.008810145042916662
50000000,2000,17,39956,0.8043548992616694,0.8123672946917877,-0.008012395430118335
50000000,2000,29,39839,0.8031276670515588,0.8135501420056802,-0.010422474954121408
50000000,2000,41,39972,0.8050586675339622,0.8133157526301052,-0.00825708509614309
50000000,2000,47,39766,0.801886080724255,0.8082836713468539,-0.006397590622598814
50000000,2000,59,39630,0.8032753791415378,0.8118764750590024,-0.008601095917464607
50000000,3000,11,39931,0.9132982719759579,0.9204904294257655,-0.007192157449807612
50000000,3000,17,39956,0.9118258040295332,0.9196719803188191,-0.007846176289285967
50000000,3000,29,39839,0.9124203022240073,0.9206872412344741,-0.008266939010466823
50000000,3000,41,39972,0.9128868429611469,0.9201152269136148,-0.007228383952467943
50000000,3000,47,39766,0.9105997736703131,0.9169814188851331,-0.0063816452148199865
50000000,3000,59,39630,0.9109238184158066,0.9190035402124127,-0.008079721796606099
