N,quadruplets,anchor_5,family_total,family_11,family_101,family_191,T_11_11,T_11_101,T_11_191,T_101_11,T_101_101,T_101_191,T_191_11,T_191_101,T_191_191,relative_octet,norm_delta,norm_S,norm_A,chiral_fraction,theta12,theta13,theta23,s12_sq,s13_sq,s23_sq,Jcp,E1,E2,E3,d21,d31,d32,ratio_21_31,ratio_32_31,Ue1_sq,Ue2_sq,Ue3_sq,Umu1_sq,Umu2_sq,Umu3_sq,Utau1_sq,Utau2_sq,Utau3_sq,herm_error,unit_error,elapsed_sec
1000000,166,1,165,59,50,56,17.0,22.0,19.0,17.0,16.0,17.0,24.0,12.0,20.0,0.16685787118428322,0.1668578711842832,0.1186079645564767,0.11736140728502026,0.7033615282997501,50.55148728369673,17.392290433893223,33.55857956812576,0.5962864555256568,0.08934861661767765,0.305575973532875,-0.035244926468454334,-0.12084593919818704,0.00731532640450435,0.11353061279368268,0.1281612656026914,0.2343765519918697,0.10621528638917833,0.546817778969362,0.45318222103063804,0.36764229776574114,0.543009085616581,0.08934861661767765,0.31435104190152563,0.40737577507236195,0.27827318302611254,0.31800666033273334,0.04961513931105693,0.6323782003562096,0.0,4.1625180888633437e-16,0.005233287811279297
2000000,295,1,294,99,103,92,26.0,42.0,30.0,39.0,37.0,27.0,33.0,24.0,35.0,0.1741934156193674,0.17419341561936738,0.16647533862322117,0.05127677520501376,0.2943668968352937,30.410918210655257,18.06875219406622,45.67394805329348,0.25623653105958333,0.09619798120632257,0.511761527571446,-0.035650529479664884,-0.11918951585759566,-0.007583812175160842,0.12677332803275648,0.11160570368243482,0.24596284389035214,0.13435714020791734,0.45375025722254037,0.5462497427774597,0.6722149247333375,0.23158709406034025,0.09619798120632257,0.27171829592265884,0.26575060231733244,0.4625311017600091,0.056066779344004,0.5026623036223277,0.4412709170336688,0.0,6.800406565598361e-16,0.009387969970703125
5000000,546,1,545,195,177,173,58.0,72.0,64.0,71.0,57.0,49.0,65.0,48.0,60.0,0.12505420014679816,0.12505420014679813,0.11890537545648938,0.03873066823470434,0.30971105480055316,47.92225629709319,15.830446168560801,43.86893567269812,0.550914590401333,0.0744152120938872,0.48026433168344734,-0.04801452045880558,-0.09602107017860032,0.020960756472301577,0.0750603137062987,0.1169818266509019,0.17108138388489902,0.05409955723399713,0.6837788191472984,0.3162211808527016,0.41566662359511203,0.5099181643110008,0.0744152120938872,0.3896623191624155,0.16581232125749037,0.4445253595800946,0.1946710572424728,0.32426951443150914,0.48105942832601783,0.0,1.0637515273243888e-15,0.027877092361450195
10000000,899,1,898,318,288,292,101.0,112.0,105.0,111.0,92.0,84.0,105.0,84.0,103.0,0.09183761793030393,0.09183761793030391,0.08597825312816015,0.03227829078719154,0.3514713416422421,52.52258156274076,12.367156261396117,39.2360061952835,0.6297901755262465,0.04587111598167742,0.4000767098758019,-0.029747289099572853,-0.07156849150260682,0.0167643164825165,0.054804175020090315,0.08833280798512332,0.12637266652269713,0.038039858537573815,0.6989866591859746,0.3010133408140254,0.3532278866777613,0.6009009973405611,0.04587111598167742,0.46449341026334345,0.15378184502113537,0.3817247447155211,0.1822787030588949,0.24531715763830356,0.5724041393028018,0.0,3.8480627093258827e-16,0.06105995178222656
20000000,1468,1,1467,526,482,459,178.0,184.0,163.0,183.0,153.0,146.0,164.0,145.0,150.0,0.07138359835516744,0.07138359835516743,0.05906672625826195,0.04008416100236363,0.5615318073897847,42.57899568171785,45.25898468738728,49.153058104231036,0.4577957807995539,0.5045200739382655,0.5722309150264421,-0.08065234942036904,-0.0514731293994965,0.0030636451000647675,0.04840948429943172,0.054536774499561264,0.09988261369892822,0.04534583919936695,0.5460086843937532,0.45399131560624684,0.26865130643979807,0.22682861962193698,0.5045200739382655,0.4813372316889028,0.23513383684355765,0.2835289314675402,0.25001146187129963,0.538037543534506,0.2119509945941947,0.0,7.560464388096085e-16,0.12436389923095703
50000000,2847,1,2846,952,993,901,305.0,347.0,299.0,344.0,342.0,307.0,302.0,304.0,295.0,0.049455814266078424,0.04945581426607841,0.040755866602242084,0.028014940696369374,0.566464046990421,20.009694136444573,28.924126103478606,59.12172208780921,0.11708655655977011,0.23391827137469468,0.7366094359668087,0.050255710538473955,-0.026940221508069285,-0.01240133314415475,0.039341554652224026,0.014538888363914535,0.06628177616029331,0.05174288779637878,0.21934970977172133,0.7806502902282787,0.6763838569772119,0.08969787164809327,0.23391827137469468,0.22237543021465805,0.21332153975817775,0.564303030027164,0.10124071280812974,0.696980588593729,0.20177869859814127,0.0,3.9164084936498776e-16,0.4748108386993408
