n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
483,3 * 7 * 23,3,161,21,0.17776849970441383,0.8222315002955863,0.4926398436036609,B·C,1,1,7,23,0.0,0.0,0.38294731323970577,0.6170526867602942,0.6654885616623426,0.5471856584851797,2.439320664441344,2.650502570267945
484,2^2 * 11^2,4,121,484,0.2242438242175754,0.7757561757824245,1.0,C,1,1,1,121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
485,5 * 97,1,485,5,0.0,1.0,0.2602521285981066,E·A,97,5,1,1,0.7397478714018934,0.2602521285981066,0.0,0.0,0.5733204705518576,0.5733204705518576,5.115074044232373,3.5454991521150263
486,2 * 3^5,486,1,486,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,487,1,487,1,0.0,1.0,0.0,B,1,1,487,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
488,2^3 * 61,8,61,8,0.3359185122802717,0.6640814877197282,0.3359185122802717,E,61,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,3 * 163,3,163,3,0.17741407912334195,0.822585920876658,0.17741407912334195,B,1,1,163,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
490,2 * 5 * 7^2,2,245,490,0.11189890502732075,0.8881010949726794,1.0,A·B,1,5,49,1,0.0,0.2925581477613893,0.7074418522386106,0.0,0.6044263432735723,0.5367916972915922,3.0266413528237694,2.906148967907031
491,491,1,491,1,0.0,1.0,0.0,C,1,1,1,491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
492,2^2 * 3 * 41,12,41,12,0.40088976076926797,0.5991102392307321,0.40088976076926797,A,1,41,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
493,17 * 29,1,493,1,0.0,1.0,0.0,A,1,493,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
494,2 * 13 * 19,2,247,26,0.11175223078354918,0.8882477692164508,0.5252846241658642,E·B,13,1,19,1,0.4655597319958416,0.0,0.5344402680041583,0.0,0.69077303699139,0.6135776091424751,3.464131024668669,3.326929530260038
495,3^2 * 5 * 11,9,55,495,0.35413073121694455,0.6458692687830555,1.0,A·C,1,5,1,11,0.0,0.4016231838083946,0.0,0.5983768161916053,0.6736643248589924,0.4350990849019082,1.17242025622792,1.219405593259879
496,2^4 * 31,16,31,16,0.44671792546696754,0.5532820745330325,0.44671792546696754,B,1,1,31,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
497,7 * 71,1,497,7,0.0,1.0,0.31342223288637994,B·C,1,1,7,71,0.0,0.0,0.31342223288637994,0.6865777671136201,0.6218115375455369,0.6218115375455369,5.569629392416113,3.8605729101170296
498,2 * 3 * 83,6,83,6,0.2885002168882919,0.7114997831117081,0.2885002168882919,C,1,1,1,83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
499,499,1,499,1,0.0,1.0,0.0,B,1,1,499,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
500,2^2 * 5^3,4,125,500,0.22307027879551292,0.7769297212044872,1.0,A,1,125,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
501,3 * 167,3,167,3,0.17672219709664252,0.8232778029033576,0.17672219709664252,C,1,1,1,167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
502,2 * 251,2,251,2,0.11146353957782805,0.8885364604221719,0.11146353957782805,C,1,1,1,251,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
503,503,1,503,1,0.0,1.0,0.0,C,1,1,1,503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
504,2^3 * 3^2 * 7,72,7,504,0.6872822340418769,0.31271776595812306,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
505,5 * 101,1,505,5,0.0,1.0,0.258562584112728,A,1,505,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
506,2 * 11 * 23,2,253,22,0.11132146446336846,0.8886785355366316,0.4964304584609537,C,1,1,1,253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
507,3 * 13^2,3,169,507,0.17638441804705507,0.8236155819529449,1.0,E,169,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,2^2 * 127,4,127,4,0.22250196438008543,0.7774980356199145,0.22250196438008543,B,1,1,127,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
509,509,1,509,1,0.0,1.0,0.0,A,1,509,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
510,2 * 3 * 5 * 17,6,85,30,0.28739836819486997,0.7126016318051301,0.5455523434847559,A,1,85,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
511,7 * 73,1,511,7,0.0,1.0,0.3120261108501352,E·B,73,1,7,1,0.6879738891498648,0.0,0.3120261108501352,0.0,0.620712210384994,0.620712210384994,5.584659162843304,3.8709907531131007
512,2^9,512,1,512,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,3^3 * 19,27,19,27,0.528155637311276,0.471844362688724,0.528155637311276,B,1,1,19,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
514,2 * 257,2,257,2,0.11104171560089222,0.8889582843991077,0.11104171560089222,A,1,257,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
515,5 * 103,1,515,5,0.0,1.0,0.25775062358807577,A·B,1,5,103,1,0.0,0.25775062358807577,0.7422493764119242,0.0,0.5706909665188469,0.5706909665188469,5.141028837145504,3.5634896436447803
516,2^2 * 3 * 43,12,43,12,0.39783288103888487,0.6021671189611152,0.39783288103888487,B,1,1,43,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
517,11 * 47,1,517,11,0.0,1.0,0.38378342161857004,C,1,1,1,517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
518,2 * 7 * 37,2,259,14,0.11090398820673722,0.8890960117932628,0.42225084537473945,E·B,37,1,7,1,0.6498163831147652,0.0,0.3501836168852349,0.0,0.6475602309926423,0.5757432187714823,3.275387414046684,3.149526314865252
519,3 * 173,3,173,3,0.17572443677937444,0.8242755632206257,0.17572443677937444,A,1,173,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
520,2^3 * 5 * 13,8,65,520,0.33250694963554334,0.6674930503644566,1.0,E·A,13,5,1,1,0.6144493051612968,0.38555069483870325,0.0,0.0,0.6667161941484542,0.445028426159533,1.2666577746279688,1.3967342428636007
521,521,1,521,1,0.0,1.0,0.0,A,1,521,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
522,2 * 3^2 * 29,18,29,18,0.4618928246513264,0.5381071753486735,0.4618928246513264,A,1,29,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
523,523,1,523,1,0.0,1.0,0.0,B,1,1,523,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
524,2^2 * 131,4,131,4,0.22140001632377987,0.7785999836762201,0.22140001632377987,C,1,1,1,131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
525,3 * 5^2 * 7,3,175,525,0.17540195315849738,0.8245980468415027,1.0,A·B,1,25,7,1,0.0,0.6232350848844427,0.37676491511555715,0.0,0.6624581610000766,0.5462617056748769,2.4680578051838906,2.6936699418411996
526,2 * 263,2,263,2,0.11063269857652462,0.8893673014234753,0.11063269857652462,C,1,1,1,263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
527,17 * 31,1,527,1,0.0,1.0,0.0,A·B,1,17,31,1,0.0,0.4520699987358187,0.5479300012641812,0.0,0.6885455478337714,0.6885455478337714,6.225594153890279,4.315253035079525
528,2^4 * 3 * 11,48,11,528,0.6175054323171528,0.38249456768284723,1.0,C,1,1,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
529,23^2,1,529,1,0.0,1.0,0.0,C,1,1,1,529,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
530,2 * 5 * 53,2,265,10,0.11049908675661897,0.889500913243381,0.3670700207562087,A,1,265,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531,3^2 * 59,9,59,9,0.3501685912386732,0.6498314087613268,0.3501685912386732,C,1,1,1,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
532,2^2 * 7 * 19,4,133,28,0.22086555712045047,0.7791344428795495,0.5308895615679963,B,1,1,133,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
533,13 * 41,1,533,13,0.0,1.0,0.4085276109099703,E·A,13,41,1,1,0.4085276109099703,0.5914723890900297,0.0,0.0,0.6763181653951797,0.6763181653951797,6.126084344101209,4.246278090986175
534,2 * 3 * 89,6,89,6,0.28529403483024807,0.7147059651697518,0.28529403483024807,A,1,89,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
535,5 * 107,1,535,5,0.0,1.0,0.25618745228054896,A·C,1,5,1,107,0.0,0.25618745228054896,0.0,0.7438125477194509,0.5690312170632645,0.5690312170632645,5.157354733830807,3.5748058929023103
536,2^3 * 67,8,67,8,0.33090342891812224,0.6690965710818777,0.33090342891812224,B,1,1,67,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
537,3 * 179,3,179,3,0.17477133657227845,0.8252286634277215,0.17477133657227845,C,1,1,1,179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
538,2 * 269,2,269,2,0.11023580984336118,0.8897641901566388,0.11023580984336118,A,1,269,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
539,7^2 * 11,1,539,539,0.0,1.0,1.0,B·C,1,1,49,11,0.0,0.0,0.6187593467836536,0.3812406532163463,0.6646682209193385,0.6646682209193385,6.0312934624181125,4.180574058604745
540,2^2 * 3^3 * 5,108,5,540,0.7441913333965069,0.2558086666034931,1.0,A,1,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
541,541,1,541,1,0.0,1.0,0.0,E,541,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,2 * 271,2,271,2,0.11010609883703587,0.8898939011629641,0.11010609883703587,B,1,1,271,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
543,3 * 181,3,181,3,0.17446295321416394,0.8255370467858362,0.17446295321416394,E,181,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,2^5 * 17,32,17,32,0.5502085771733458,0.4497914228266542,0.5502085771733458,A,1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
545,5 * 109,1,545,5,0.0,1.0,0.2554344751407502,E·A,109,5,1,1,0.7445655248592498,0.2554344751407502,0.0,0.0,0.5682271454147945,0.5682271454147945,5.165248631725409,3.5802775259715824
546,2 * 3 * 7 * 13,6,91,546,0.28428808343380574,0.7157119165661942,1.0,E·B,13,1,7,1,0.5686165471914938,0.0,0.43138345280850626,0.0,0.6837009379553649,0.4893329086621388,1.5849030219034943,1.8590512458888167
547,547,1,547,1,0.0,1.0,0.0,B,1,1,547,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
548,2^2 * 137,4,137,4,0.21982775854854908,0.7801722414514509,0.21982775854854908,A,1,137,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
549,3^2 * 61,9,61,9,0.34831805459434506,0.651681945405655,0.34831805459434506,E,61,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,2 * 5^2 * 11,2,275,550,0.1098504211935314,0.8901495788064687,1.0,A·C,1,25,1,11,0.0,0.5730829633070589,0.0,0.42691703669294107,0.6824265759401598,0.6074617291394738,3.4889777836612286,3.360011810968152
551,19 * 29,1,551,1,0.0,1.0,0.0,A·B,1,29,19,1,0.0,0.5334976724787954,0.4665023275212045,0.0,0.6909013106222182,0.6909013106222182,6.291284122977821,4.360785851943625
552,2^3 * 3 * 23,24,23,24,0.5033704989735441,0.496629501026456,0.5033704989735441,C,1,1,1,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
553,7 * 79,1,553,7,0.0,1.0,0.3081234901625919,B,1,1,553,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
554,2 * 277,2,277,2,0.10972441196825085,0.8902755880317491,0.10972441196825085,E,277,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,3 * 5 * 37,3,185,15,0.17385944491129213,0.8261405550887079,0.42855892803305223,E·A,37,5,1,1,0.6916995763579099,0.3083004236420901,0.0,0.0,0.6177340416317141,0.5103351440508153,2.3261953543374516,2.546141293316076
556,2^2 * 139,4,139,4,0.21932371138819853,0.7806762886118015,0.21932371138819853,B,1,1,139,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
557,557,1,557,1,0.0,1.0,0.0,A,1,557,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
558,2 * 3^2 * 31,18,31,18,0.45702209110658276,0.5429779088934172,0.45702209110658276,B,1,1,31,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
559,13 * 43,1,559,13,0.0,1.0,0.4054519053566238,E·B,13,1,43,1,0.4054519053566238,0.0,0.5945480946433762,0.0,0.6751603932150047,0.6751603932150047,6.16198938064195,4.271165565832291
560,2^4 * 5 * 7,16,35,560,0.43815050892557,0.56184949107443,1.0,A·B,1,5,7,1,0.0,0.4526808302869428,0.5473191697130572,0.0,0.6886622640698201,0.3869245425897932,0.8641897902669783,0.5390568187894482
561,3 * 11 * 17,3,187,33,0.17356409627943753,0.8264359037205625,0.5523952183129859,A·C,1,17,1,11,0.0,0.5416085865484855,0.0,0.4583914134515144,0.6896806240842714,0.5699768298436464,2.602473440496718,2.8501026466496096
562,2 * 281,2,281,2,0.1094759500973033,0.8905240499026966,0.1094759500973033,A,1,281,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
563,563,1,563,1,0.0,1.0,0.0,C,1,1,1,563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
564,2^2 * 3 * 47,12,47,12,0.39224709862593377,0.6077529013740661,0.39224709862593377,C,1,1,1,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
565,5 * 113,1,565,5,0.0,1.0,0.2539817221930964,A,1,565,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
566,2 * 283,2,283,2,0.10935345788169376,0.8906465421183062,0.10935345788169376,B,1,1,283,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
567,3^4 * 7,81,7,567,0.693091502257414,0.30690849774258605,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
568,2^3 * 71,8,71,8,0.32787791409063594,0.6721220859093641,0.32787791409063594,C,1,1,1,71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
569,569,1,569,1,0.0,1.0,0.0,A,1,569,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
570,2 * 3 * 5 * 19,6,95,30,0.28236088035055507,0.7176391196494448,0.5359899603856336,A·B,1,5,19,1,0.0,0.35342148036602605,0.646578519633974,0.0,0.6495389792872432,0.4661345812736962,1.520070466463197,1.7941029311993357
571,571,1,571,1,0.0,1.0,0.0,B,1,1,571,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
572,2^2 * 11 * 13,4,143,572,0.2183436782533911,0.7816563217466089,1.0,E·C,13,1,1,11,0.5168304769853754,0.0,0.0,0.4831695230146247,0.6925805436149368,0.5413599602353184,2.1356335683080374,2.477049129667141
573,3 * 191,3,191,3,0.1729856806865063,0.8270143193134937,0.1729856806865063,C,1,1,1,191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
574,2 * 7 * 41,2,287,14,0.10911185547224338,0.8908881445277566,0.41542755998708375,A·B,1,41,7,1,0.0,0.6561681661200994,0.34383183387990046,0.0,0.6435444541865178,0.5733261247113547,3.315208132192681,3.1960573695349566
575,5^2 * 23,1,575,25,0.0,1.0,0.5065609657923374,A·C,1,25,1,23,0.0,0.5065609657923374,0.0,0.4934390342076625,0.6930610855448767,0.6930610855448767,6.353580771793944,4.4039665984288545
576,2^6 * 3^2,576,1,576,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,577,1,577,1,0.0,1.0,0.0,E,577,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,2 * 17^2,2,289,2,0.10899270845400942,0.8910072915459906,0.10899270845400942,A,1,289,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
579,3 * 193,3,193,3,0.17270241315222906,0.8272975868477709,0.17270241315222906,E,193,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,2^2 * 5 * 29,4,145,20,0.2178670812955454,0.7821329187044546,0.4708029298011633,A,1,145,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
581,7 * 83,1,581,7,0.0,1.0,0.30573234104422115,B·C,1,1,7,83,0.0,0.0,0.30573234104422115,0.6942676589557789,0.6156433460882563,0.6156433460882563,5.653079984831876,3.9184164529660723
582,2 * 3 * 97,6,97,6,0.28143686269155804,0.7185631373084419,0.28143686269155804,E,97,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,11 * 53,1,583,11,0.0,1.0,0.3765428374872515,A·C,1,53,1,11,0.0,0.6234571625127486,0.0,0.3765428374872515,0.662346283779867,0.662346283779867,6.085208503461606,4.217945117293816
584,2^3 * 73,8,73,8,0.32644801658385697,0.673551983416143,0.32644801658385697,E,73,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,3^2 * 5 * 13,9,65,585,0.34484595578288446,0.6551540442171155,1.0,E·A,13,5,1,1,0.6144493051612968,0.38555069483870325,0.0,0.0,0.6667161941484542,0.43680181094140336,1.2086986934618236,1.3182063855955248
586,2 * 293,2,293,2,0.10875763392471295,0.8912423660752872,0.10875763392471295,A,1,293,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
587,587,1,587,1,0.0,1.0,0.0,C,1,1,1,587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
588,2^2 * 3 * 7^2,12,49,588,0.3896837155002962,0.6103162844997039,1.0,B,1,1,49,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
589,19 * 31,1,589,1,0.0,1.0,0.0,B,1,1,589,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
590,2 * 5 * 59,2,295,10,0.10864167209189057,0.8913583279081095,0.36089982279759164,A·C,1,5,1,59,0.0,0.28300420022743805,0.0,0.7169957997725619,0.5957683338486945,0.5310430658799727,3.0839995762223897,2.9751646918110417
591,3 * 197,3,197,3,0.17214728310432284,0.8278527168956771,0.17214728310432284,A,1,197,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
592,2^4 * 37,16,37,16,0.43433631087471436,0.5656636891252856,0.43433631087471436,E,37,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,593,1,593,1,0.0,1.0,0.0,A,1,593,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
594,2 * 3^3 * 11,54,11,594,0.6245591699957688,0.3754408300042312,1.0,C,1,1,1,11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
595,5 * 7 * 17,1,595,35,0.0,1.0,0.55651778793316,A·B,1,85,7,1,0.0,0.6954071463778756,0.30459285362212435,0.0,0.6147057375579497,0.6147057375579497,5.6655865606461235,3.927085350730178
596,2^2 * 149,4,149,4,0.21693930375184625,0.7830606962481537,0.21693930375184625,A,1,149,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
597,3 * 199,3,199,3,0.1718752401163421,0.8281247598836579,0.1718752401163421,B,1,1,199,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
598,2 * 13 * 23,2,299,26,0.1084128164023708,0.8915871835976293,0.5095879081732418,E·C,13,1,1,23,0.4499560998085411,0.0,0.0,0.5500439001914588,0.6881300003382269,0.6135278889505954,3.5705464780855065,3.4456708684922206
599,599,1,599,1,0.0,1.0,0.0,C,1,1,1,599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
600,2^3 * 3 * 5^2,24,25,600,0.49680925094377365,0.5031907490562264,1.0,A,1,25,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
601,601,1,601,1,0.0,1.0,0.0,E,601,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,2 * 7 * 43,2,301,14,0.1082998905095606,0.8917001094904394,0.4123361211898751,B,1,1,301,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
603,3^2 * 67,9,67,9,0.34321352648226905,0.6567864735177309,0.34321352648226905,B,1,1,67,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
604,2^2 * 151,4,151,4,0.21648759243969992,0.7835124075603,0.21648759243969992,B,1,1,151,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
605,5 * 11^2,1,605,605,0.0,1.0,1.0,A·C,1,5,1,121,0.0,0.2512694001439083,0.0,0.7487305998560917,0.5637254310457721,0.5637254310457721,5.2092690769270344,3.6107901734500825
606,2 * 3 * 101,6,101,6,0.2796617812607596,0.7203382187392405,0.2796617812607596,A,1,101,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
607,607,1,607,1,0.0,1.0,0.0,B,1,1,607,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
608,2^5 * 19,32,19,32,0.5406616771954115,0.4593383228045885,0.5406616771954115,B,1,1,19,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
609,3 * 7 * 29,3,203,21,0.1713417696507016,0.8286582303492983,0.47482980811476305,A·B,1,29,7,1,0.0,0.6337597005026616,0.3662402994973384,0.0,0.6569243417287531,0.5443657624903263,2.51777287576332,2.7686691857028842
610,2 * 5 * 61,2,305,10,0.10807696520538564,0.8919230347946143,0.35902390712593446,E·A,61,5,1,1,0.7186450712327044,0.28135492876729556,0.0,0.0,0.5942284469708898,0.5300060397835666,3.094059677162051,2.987284210576327
611,13 * 47,1,611,13,0.0,1.0,0.3998301777488267,E·C,13,1,1,47,0.3998301777488267,0.0,0.0,0.6001698222511732,0.6729427499264959,0.6729427499264959,6.228104376422102,4.316992988750036
612,2^2 * 3^2 * 17,36,17,36,0.5584647731404284,0.44153522685957153,0.5584647731404284,A,1,17,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
613,613,1,613,1,0.0,1.0,0.0,E,613,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,2 * 307,2,307,2,0.10796693584927686,0.8920330641507231,0.10796693584927686,B,1,1,307,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
615,3 * 5 * 41,3,205,15,0.17108017925248836,0.8289198207475118,0.42170811177706025,A,1,205,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
616,2^3 * 7 * 11,8,77,616,0.3237368193197892,0.6762631806802109,1.0,B·C,1,1,7,11,0.0,0.0,0.4479735992007008,0.5520264007992992,0.6877238766120716,0.4650823362274044,1.3595964357851018,1.5572571057335114
617,617,1,617,1,0.0,1.0,0.0,A,1,617,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
618,2 * 3 * 103,6,103,6,0.2788084785476877,0.7211915214523124,0.2788084785476877,B,1,1,103,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
619,619,1,619,1,0.0,1.0,0.0,B,1,1,619,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
620,2^2 * 5 * 31,4,155,20,0.21560728517858554,0.7843927148214144,0.46591959163786023,A·B,1,5,31,1,0.0,0.31911605211206506,0.6808839478879348,0.0,0.6262013662895005,0.4911877897287002,1.9622998033003842,2.2901002759809104
621,3^3 * 23,27,23,27,0.5124657437187151,0.4875342562812849,0.5124657437187151,C,1,1,1,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
622,2 * 311,2,311,2,0.10774967131161323,0.8922503286883867,0.10774967131161323,C,1,1,1,311,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
623,7 * 89,1,623,7,0.0,1.0,0.30241605113486797,A·B,1,89,7,1,0.0,0.697583948865132,0.30241605113486797,0.0,0.6128975398784791,0.6128975398784791,5.689582014042973,3.9437177315984617
624,2^4 * 3 * 13,48,13,624,0.6014777140591642,0.3985222859408358,1.0,E,13,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,5^4,1,625,625,0.0,1.0,1.0,A,1,625,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
626,2 * 313,2,313,2,0.10764240810234528,0.8923575918976547,0.10764240810234528,E,313,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,3 * 11 * 19,3,209,33,0.17056690064689692,0.829433099353103,0.5428561686405327,B·C,1,1,19,11,0.0,0.0,0.5511521444176823,0.4488478555823177,0.6879049299829808,0.5705711181360631,2.6509651720538936,2.919277260028855
628,2^2 * 157,4,157,4,0.2151782255600367,0.7848217744399633,0.2151782255600367,E,157,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,17 * 37,1,629,1,0.0,1.0,0.0,E·A,37,17,1,1,0.5603420800731961,0.4396579199268038,0.0,0.0,0.6858470660481857,0.6858470660481857,6.376262703783988,4.4196885156374055
630,2 * 3^2 * 5 * 7,18,35,630,0.44841721931557393,0.551582780684426,1.0,A·B,1,5,7,1,0.0,0.4526808302869428,0.5473191697130572,0.0,0.6886622640698201,0.3798542465680639,0.831545181579782,0.4579440867853069
631,631,1,631,1,0.0,1.0,0.0,B,1,1,631,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
632,2^3 * 79,8,79,8,0.32244955907713024,0.6775504409228698,0.32244955907713024,B,1,1,79,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
633,3 * 211,3,211,3,0.17031506491319193,0.8296849350868082,0.17031506491319193,B,1,1,211,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
634,2 * 317,2,317,2,0.10743055197732988,0.8925694480226701,0.10743055197732988,A,1,317,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
635,5 * 127,1,635,5,0.0,1.0,0.24938509949218407,A·B,1,5,127,1,0.0,0.24938509949218407,0.7506149005078159,0.0,0.5616585985390293,0.5616585985390293,5.2293857264864645,3.624733972374514
636,2^2 * 3 * 53,12,53,12,0.3849465861360323,0.6150534138639677,0.3849465861360323,A,1,53,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
637,7^2 * 13,1,637,637,0.0,1.0,1.0,E·B,13,1,49,1,0.3972496301223936,0.0,0.6027503698776063,0.0,0.6718807164057778,0.6718807164057778,6.2586693613157305,4.338179021852913
638,2 * 11 * 29,2,319,22,0.10732593279411846,0.8926740672058815,0.4786126582018335,A·C,1,29,1,11,0.0,0.5840735840239398,0.0,0.4159264159760602,0.6789430647399898,0.6060748670026728,3.5628916192825804,3.4436290450512113
639,3^2 * 71,9,71,9,0.34013267422976773,0.6598673257702323,0.34013267422976773,C,1,1,1,71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
