n,factorization_str,sB,mB,kL,sigma,epsilon,kappa,fam_support,fam_E_part,fam_A_part,fam_B_part,fam_C_part,rho_E,rho_A,rho_B,rho_C,C_fam,K,K2,K3
370,2 * 5 * 37,2,185,10,0.11721431102665533,0.8827856889733446,0.38937751292231193,E·A,37,5,1,1,0.6916995763579099,0.3083004236420901,0.0,0.0,0.6177340416317141,0.5453267715441414,2.935331723342394,2.7966108932883724
371,7 * 53,1,371,7,0.0,1.0,0.32891205007249136,A·B,1,53,7,1,0.0,0.6710879499275086,0.32891205007249136,0.0,0.6334054876372497,0.6334054876372497,5.406290262046709,3.7473548524263647
372,2^2 * 3 * 31,12,31,12,0.4198261889751616,0.5801738110248384,0.4198261889751616,B,1,1,31,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
373,373,1,373,1,0.0,1.0,0.0,E,373,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,2 * 11 * 17,2,187,22,0.1170015617594448,0.8829984382405551,0.5217604639400126,A·C,1,17,1,11,0.0,0.5416085865484855,0.0,0.4583914134515144,0.6896806240842714,0.6089869139511831,3.2839558529777144,3.1297440754540453
375,3 * 5^3,3,125,375,0.18535954116083891,0.8146404588391611,1.0,A,1,125,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
376,2^3 * 47,8,47,8,0.35068897547445205,0.6493110245255479,0.35068897547445205,C,1,1,1,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
377,13 * 29,1,377,13,0.0,1.0,0.4323741309426475,E·A,13,29,1,1,0.4323741309426475,0.5676258690573525,0.0,0.0,0.6839725719023914,0.6839725719023914,5.8537250266770675,4.0574929980144
378,2 * 3^3 * 7,54,7,378,0.6721238686122584,0.32787613138774163,1.0,B,1,1,7,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
379,379,1,379,1,0.0,1.0,0.0,B,1,1,379,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
380,2^2 * 5 * 19,4,95,20,0.2333761607436834,0.7666238392563166,0.5043174928975372,A·B,1,5,19,1,0.0,0.35342148036602605,0.646578519633974,0.0,0.6495389792872432,0.49795206604781556,1.8378593701054584,2.0574683236565043
381,3 * 127,3,127,3,0.18486444170844776,0.8151355582915523,0.18486444170844776,B,1,1,127,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
382,2 * 191,2,191,2,0.11658505363885395,0.883414946361146,0.11658505363885395,C,1,1,1,191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
383,383,1,383,1,0.0,1.0,0.0,C,1,1,1,383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
384,2^7 * 3,384,1,384,1.0,0.0,1.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
