group,metric,corr_raw_theta12_log,corr_detrended_theta12_log,mean_metric,std_metric,corr_raw_theta12_count,window_mean_corr_detrended,window_std_corr_detrended
fourling,idx_spread,-0.423714953393014,0.38502937785368646,80.16271186440677,35.51462767771147,,,
fourling,idx_var,-0.2741014597339672,0.32392069793684325,1189.604872881356,916.9295699565387,,,
fourling,D3,-0.0009456836865715131,0.10406497321469897,0.0008805643653037325,0.47962469245382966,,,
fourling,S,0.7486924049053086,0.7198757436079831,0.00031714678041842886,0.004385607397000758,,,
fourling,theta_four_log,0.6770206807759599,0.772216380778656,4.995052450487927e-05,0.0011958369154745486,,,
fourling,theta12_count,0.6345952461457041,0.2140513171103168,0.002382373089045723,0.004881683353736456,,,
zero,r,0.7447856453685374,0.3758473477652944,0.041806415954338844,,0.8037411391948844,0.02676965714741926,0.4710354318237131
zero,Delta,-0.7415040855263618,-0.3808672573155296,0.9798885482665195,,-0.8067725083786762,-0.027203437208449754,0.4708592947189991
zero,Lambda,-0.6587763667892911,-0.33533558180842044,0.3326512951501408,,-0.6776234103015706,-0.02674542779618526,0.47100859712542986
