family,count,mean_v2,min_v2,max_v2,mean_U_over_n
e,41667,2.9999760001919986,2,20,0.5000187778151355
a,41667,2.999952000383997,2,17,0.49999939905676555
b,41667,1.0,1,1,1.5000122400128508
c,41666,1.0,1,1,1.5000113609544314
3,41667,1.0,1,1,1.5000148647933425
9,41666,3.0000720011520183,2,18,0.49999916591818583
