bin,center_mean,count4,master_pc1_mean,master_eq_mean,master_or_mean,master_pc1_res_mean,master_eq_res_mean,master_or_res_mean,theta4_mean,X_mean,countz,Delta_mean,Lambda_mean,Delta_res_mean,Lambda_res_mean,thetaZ_mean,thetaZ_res_mean
0,2367.0,12,-5.812657796686022,2.498027638854841,0.4383470784237929,-5.812657796686014,2.4980276388548375,-0.05316177075723102,0.02460665174120934,5390.910372707553,10142,0.9627525380481474,0.33089343600036525,-0.0006209602458009265,1.861043672271111e-05,0.013616553034304394,-0.00045289768810848904
1,16690.714285714286,7,-1.9385803478409123,0.8278122912781868,0.2410068856443208,-1.9385803478409074,0.8278122912781846,-0.05586614183473916,0.008769473567231758,15072.216049882582,12349,0.9755063959044816,0.3324626707962333,0.0018140272277304267,0.000477878297430823,0.009115110112791045,0.00017840543376867264
2,22865.0,3,-1.5714476665267616,0.6334076047163072,0.1469520971438996,-1.5714476665267567,0.6334076047163052,-0.1305271882275304,0.005021432281951133,25040.055606129572,13182,0.9792926831794247,0.3327211896850779,0.0012571889064945053,0.0002692214559706457,0.0040363945737551575,-0.0027399805446897416
3,33285.0,2,-1.2250551622847294,0.8569808212749783,0.9012637777353625,-1.2250551622847252,0.8569808212749765,0.6466739524127156,0.005579335153893,35027.48724675703,13722,0.9814429605834342,0.3328457335051323,0.000575788179493891,8.917097647119638e-05,0.0052814581752068665,-8.64018457599905e-05
4,43785.0,1,-0.9780154595492564,0.5311506845252291,0.5235007237975026,-0.9780154595492523,0.5311506845252274,0.28560523190402143,0.0066770820360324,45020.60216652507,14124,0.9829002183911938,0.33292148195259763,-7.49717648683993e-05,-6.183310970170951e-05,0.0061375949429072025,0.0018182915347487467
5,53340.0,2,-0.581944792528871,0.1130941844749079,-0.14728542889393245,-0.5819447925288672,0.11309418447490634,-0.3732525218689824,0.00464123495262465,55016.123857657156,14444,0.9839814461036492,0.33297328727357817,-0.0006744545872050955,-0.00019081629094939827,0.003767001566321026,0.00028370636715378025
6,66565.0,3,-0.37825889300698456,0.17876337338076698,-0.0515804507909991,-0.378258893006981,0.1787633733807655,-0.26412321417572815,0.003136907840650967,65013.02909387533,14711,0.9848297347634294,0.3330113535962916,-0.001224218765307366,-0.0003031339120291092,0.002827701798967875,3.9817037754285045e-05
7,76395.0,3,-0.2708060570079185,0.1318360911720338,0.054133710600621165,-0.27080605700791505,0.1318360911720324,-0.15005662254486218,0.0033351413154205666,72462.89366639366,7326,0.9853607327003815,0.3330340830762307,-0.0016061517152228038,-0.0003786054037969385,0.0036071953114332556,0.0012734147519031858
