Kennzahl,Wert
Untersuchte Zwillinge,500.0
Zwillinge mit admissiblem Drilling,499.0
Zwillinge mit admissiblem Vierling,499.0
Energetisch begünstigt: Z -> D,499.0
Energetisch begünstigt: Z -> Q,498.0
Energetisch begünstigt: D -> Q,498.0
Anteil begünstigt: Z -> D,0.998
Anteil begünstigt: Z -> Q,0.996
Anteil begünstigt: D -> Q,0.996
