Index,E_Restklasse_1,,A_Restklasse_5,,B_Restklasse_7,,C_Restklasse_11,Mittel,Norm_Mittel_unter_1,Dreiteilungen_wie_oft_v3,Potenz_3_teilt_Mittel
101,477013,,477017,,477019,,477011,477015,0.99999161459,1,3
102,490573,,490577,,490579,,490571,490575,0.999991846369,1,3
103,495613,,495617,,495619,,495611,495615,0.999991929284,1,3
104,500233,,500237,,500239,,500231,500235,0.999992003822,1,3
105,510613,,510617,,510619,,510611,510615,0.999992166371,2,9
106,518809,,518801,,518803,,518807,518805,0.999992290034,5,243
107,536449,,536441,,536443,,536447,536445,0.99999254356,2,9
108,536773,,536777,,536779,,536771,536775,0.999992548144,1,3
109,539509,,539501,,539503,,539507,539505,0.999992585851,2,9
110,549169,,549161,,549163,,549167,549165,0.999992716268,1,3
111,559213,,559217,,559219,,559211,559215,0.999992847167,2,9
112,563413,,563417,,563419,,563411,563415,0.999992900488,1,3
113,570049,,570041,,570043,,570047,570045,0.999992983059,1,3
114,572653,,572657,,572659,,572651,572655,0.99999301504,1,3
115,585913,,585917,,585919,,585911,585915,0.999993173118,1,3
116,594829,,594821,,594823,,594827,594825,0.999993275378,1,3
117,597673,,597677,,597679,,597671,597675,0.999993307444,1,3
118,607309,,607301,,607303,,607307,607305,0.999993413567,1,3
119,622249,,622241,,622243,,622247,622245,0.999993571705,1,3
120,626629,,626621,,626623,,626627,626625,0.999993616638,2,9
121,632089,,632081,,632083,,632087,632085,0.999993671777,1,3
122,632329,,632321,,632323,,632327,632325,0.999993674179,1,3
123,633469,,633461,,633463,,633467,633465,0.999993685563,2,9
124,633793,,633797,,633799,,633791,633795,0.999993688851,1,3
125,654169,,654161,,654163,,654167,654165,0.999993885372,2,9
126,657493,,657497,,657499,,657491,657495,0.999993916341,2,9
127,661093,,661097,,661099,,661091,661095,0.999993949469,3,27
128,663589,,663581,,663583,,663587,663585,0.999993972173,1,3
129,664669,,664661,,664663,,664667,664665,0.999993981967,1,3
130,666433,,666437,,666439,,666431,666435,0.99999399795,1,3
131,680293,,680297,,680299,,680291,680295,0.999994120232,1,3
132,681253,,681257,,681259,,681251,681255,0.999994128518,2,9
133,691729,,691721,,691723,,691727,691725,0.999994217389,1,3
134,705169,,705161,,705163,,705167,705165,0.999994327601,1,3
135,715153,,715157,,715159,,715151,715155,0.999994406838,1,3
136,734473,,734477,,734479,,734471,734475,0.999994553963,1,3
137,736369,,736361,,736363,,736367,736365,0.999994567941,1,3
138,739393,,739397,,739399,,739391,739395,0.999994590201,3,27
139,768193,,768197,,768199,,768191,768195,0.999994793016,2,9
140,773029,,773021,,773023,,773027,773025,0.99999482555,1,3
141,795793,,795797,,795799,,795791,795795,0.999994973605,1,3
142,803449,,803441,,803443,,803447,803445,0.999995021464,1,3
143,814069,,814061,,814063,,814067,814065,0.999995086412,1,3
144,822169,,822161,,822163,,822167,822165,0.99999513482,1,3
145,823729,,823721,,823723,,823727,823725,0.999995144034,2,9
146,829729,,829721,,829723,,829727,829725,0.999995179149,1,3
147,833713,,833717,,833719,,833711,833715,0.99999520222,2,9
148,837073,,837077,,837079,,837071,837075,0.999995221478,1,3
149,845989,,845981,,845983,,845987,845985,0.999995271806,1,3
150,854929,,854921,,854923,,854927,854925,0.999995321249,1,3
151,855733,,855737,,855739,,855731,855735,0.999995325678,1,3
152,857953,,857957,,857959,,857951,857955,0.999995337773,1,3
153,875269,,875261,,875263,,875267,875265,0.999995429976,1,3
154,876013,,876017,,876019,,876011,876015,0.999995433889,5,243
155,881473,,881477,,881479,,881471,881475,0.999995462172,1,3
156,889873,,889877,,889879,,889871,889875,0.999995505007,2,9
157,907393,,907397,,907399,,907391,907395,0.999995591796,1,3
158,930073,,930077,,930079,,930071,930075,0.99999569929,1,3
159,938053,,938057,,938059,,938051,938055,0.999995735876,1,3
160,946669,,946661,,946663,,946667,946665,0.999995774658,2,9
161,954973,,954977,,954979,,954971,954975,0.999995811426,1,3
162,958549,,958541,,958543,,958547,958545,0.999995827026,2,9
163,959473,,959477,,959479,,959471,959475,0.999995831071,1,3
164,976309,,976301,,976303,,976307,976305,0.999995902936,1,3
165,978073,,978077,,978079,,978071,978075,0.999995910351,5,243
166,983449,,983441,,983443,,983447,983445,0.999995932682,1,3
167,1002349,,1002341,,1002343,,1002347,1002345,0.999996009374,1,3
168,1003369,,1003361,,1003363,,1003367,1003365,0.999996013431,2,9
169,1006309,,1006301,,1006303,,1006307,1006305,0.999996025078,1,3
170,1006333,,1006337,,1006339,,1006331,1006335,0.999996025196,2,9
171,1008853,,1008857,,1008859,,1008851,1008855,0.999996035125,4,81
172,1015369,,1015361,,1015363,,1015367,1015365,0.999996060545,1,3
173,1022389,,1022381,,1022383,,1022387,1022385,0.999996087595,1,3
174,1022509,,1022501,,1022503,,1022507,1022505,0.999996088054,1,3
175,1023949,,1023941,,1023943,,1023947,1023945,0.999996093555,1,3
176,1027753,,1027757,,1027759,,1027751,1027755,0.999996108037,3,27
177,1043593,,1043597,,1043599,,1043591,1043595,0.99999616711,2,9
178,1063969,,1063961,,1063963,,1063967,1063965,0.999996240492,1,3
179,1065013,,1065017,,1065019,,1065011,1065015,0.999996244198,3,27
180,1068253,,1068257,,1068259,,1068251,1068255,0.99999625559,3,27
181,1068709,,1068701,,1068703,,1068707,1068705,0.999996257166,2,9
182,1091269,,1091261,,1091263,,1091267,1091265,0.999996334543,1,3
183,1093069,,1093061,,1093063,,1093067,1093065,0.999996340579,1,3
184,1093993,,1093997,,1093999,,1093991,1093995,0.99999634369,2,9
185,1100833,,1100837,,1100839,,1100831,1100835,0.999996366408,2,9
186,1117609,,1117601,,1117603,,1117607,1117605,0.999996420931,1,3
187,1117813,,1117817,,1117819,,1117811,1117815,0.999996421603,1,3
188,1118869,,1118861,,1118863,,1118867,1118865,0.999996424961,1,3
189,1120549,,1120541,,1120543,,1120547,1120545,0.999996430321,2,9
190,1121833,,1121837,,1121839,,1121831,1121835,0.999996434426,1,3
191,1122133,,1122137,,1122139,,1122131,1122135,0.999996435379,1,3
192,1126669,,1126661,,1126663,,1126667,1126665,0.999996449711,2,9
193,1137889,,1137881,,1137883,,1137887,1137885,0.999996484719,1,3
194,1146793,,1146797,,1146799,,1146791,1146795,0.99999651203,1,3
195,1155613,,1155617,,1155619,,1155611,1155615,0.999996538652,1,3
196,1156033,,1156037,,1156039,,1156031,1156035,0.999996539909,1,3
197,1157833,,1157837,,1157839,,1157831,1157835,0.999996545288,1,3
198,1163713,,1163717,,1163719,,1163711,1163715,0.999996562744,1,3
199,1167709,,1167701,,1167703,,1167707,1167705,0.999996574489,2,9
200,1168249,,1168241,,1168243,,1168247,1168245,0.999996576072,2,9
201,1170133,,1170137,,1170139,,1170131,1170135,0.999996581603,2,9
202,1172029,,1172021,,1172023,,1172027,1172025,0.999996587115,2,9
203,1172533,,1172537,,1172539,,1172531,1172535,0.9999965886,1,3
204,1173589,,1173581,,1173583,,1173587,1173585,0.999996591652,1,3
205,1182289,,1182281,,1182283,,1182287,1182285,0.999996616732,2,9
206,1210873,,1210877,,1210879,,1210871,1210875,0.999996696615,1,3
207,1228393,,1228397,,1228399,,1228391,1228395,0.999996743729,1,3
208,1230373,,1230377,,1230379,,1230371,1230375,0.999996748969,1,3
209,1233433,,1233437,,1233439,,1233431,1233435,0.999996757035,1,3
210,1246249,,1246241,,1246243,,1246247,1246245,0.999996790369,1,3
211,1246369,,1246361,,1246363,,1246367,1246365,0.999996790678,2,9
212,1257073,,1257077,,1257079,,1257071,1257075,0.99999681802,2,9
213,1272289,,1272281,,1272283,,1272287,1272285,0.99999685606,2,9
214,1285513,,1285517,,1285519,,1285511,1285515,0.999996888416,2,9
215,1298113,,1298117,,1298119,,1298111,1298115,0.999996918618,2,9
216,1322173,,1322177,,1322179,,1322171,1322175,0.999996974691,1,3
217,1322593,,1322597,,1322599,,1322591,1322595,0.999996975652,3,27
218,1324573,,1324577,,1324579,,1324571,1324575,0.999996980173,2,9
219,1329709,,1329701,,1329703,,1329707,1329705,0.999996991823,2,9
220,1337269,,1337261,,1337263,,1337267,1337265,0.999997008829,2,9
221,1339909,,1339901,,1339903,,1339907,1339905,0.999997014723,1,3
222,1340329,,1340321,,1340323,,1340327,1340325,0.999997015658,2,9
223,1351249,,1351241,,1351243,,1351247,1351245,0.999997039776,1,3
224,1352209,,1352201,,1352203,,1352207,1352205,0.999997041877,2,9
225,1358809,,1358801,,1358803,,1358807,1358805,0.999997056246,1,3
226,1360789,,1360781,,1360783,,1360787,1360785,0.999997060529,1,3
227,1368469,,1368461,,1368463,,1368467,1368465,0.999997077025,1,3
228,1381273,,1381277,,1381279,,1381271,1381275,0.999997104133,2,9
229,1400809,,1400801,,1400803,,1400807,1400805,0.999997144507,2,9
230,1402369,,1402361,,1402363,,1402367,1402365,0.999997147684,1,3
231,1410973,,1410977,,1410979,,1410971,1410975,0.999997165089,2,9
232,1440589,,1440581,,1440583,,1440587,1440585,0.999997223358,4,81
233,1447009,,1447001,,1447003,,1447007,1447005,0.999997235677,1,3
234,1451833,,1451837,,1451839,,1451831,1451835,0.999997244874,2,9
235,1461409,,1461401,,1461403,,1461407,1461405,0.999997262915,1,3
236,1468633,,1468637,,1468639,,1468631,1468635,0.99999727639,1,3
237,1508629,,1508621,,1508623,,1508627,1508625,0.999997348586,4,81
238,1514329,,1514321,,1514323,,1514327,1514325,0.999997358566,1,3
239,1524073,,1524077,,1524079,,1524071,1524075,0.999997375464,1,3
240,1525969,,1525961,,1525963,,1525967,1525965,0.999997378715,1,3
241,1540969,,1540961,,1540963,,1540967,1540965,0.999997404231,1,3
242,1571749,,1571741,,1571743,,1571747,1571745,0.999997455064,1,3
243,1573549,,1573541,,1573543,,1573547,1573545,0.999997457976,1,3
244,1573933,,1573937,,1573939,,1573931,1573935,0.999997458605,1,3
245,1577293,,1577297,,1577299,,1577291,1577295,0.999997464019,2,9
246,1584433,,1584437,,1584439,,1584431,1584435,0.999997475447,1,3
247,1588753,,1588757,,1588759,,1588751,1588755,0.999997482312,1,3
248,1592869,,1592861,,1592863,,1592867,1592865,0.999997488808,6,729
249,1603333,,1603337,,1603339,,1603331,1603335,0.999997505206,1,3
250,1615849,,1615841,,1615843,,1615847,1615845,0.999997524521,1,3
251,1616809,,1616801,,1616803,,1616807,1616805,0.999997525991,2,9
252,1621729,,1621721,,1621723,,1621727,1621725,0.999997533497,1,3
253,1627609,,1627601,,1627603,,1627607,1627605,0.999997542407,2,9
254,1631053,,1631057,,1631059,,1631051,1631055,0.999997547606,1,3
255,1653109,,1653101,,1653103,,1653107,1653105,0.999997580317,1,3
256,1659109,,1659101,,1659103,,1659107,1659105,0.999997589067,2,9
257,1670569,,1670561,,1670563,,1670567,1670565,0.999997605606,1,3
258,1678753,,1678757,,1678759,,1678751,1678755,0.999997617288,1,3
259,1681873,,1681877,,1681879,,1681871,1681875,0.999997621708,2,9
260,1685449,,1685441,,1685443,,1685447,1685445,0.999997626745,1,3
261,1691869,,1691861,,1691863,,1691867,1691865,0.999997635751,2,9
262,1711813,,1711817,,1711819,,1711811,1711815,0.999997663304,1,3
263,1718869,,1718861,,1718863,,1718867,1718865,0.999997672888,2,9
264,1727773,,1727777,,1727779,,1727771,1727775,0.999997684889,2,9
265,1747729,,1747721,,1747723,,1747727,1747725,0.999997711316,1,3
