p,E,A,B,C,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,prime_density,is_quadruplet,symmetry_cv,p_times_abs_K_tilde
666431,666431.0,666433.0,666437.0,666439.0,-3553084873743.9995,-3553084873735.9995,-0.33333333332807963,5.253686374828703e-12,5.253686374828703e-12,0.12195121951219512,1,4.7450654004792355e-06,3.5012194644634675e-06
680291,680291.0,680293.0,680297.0,680299.0,-3702410296144.0,-3702410296136.0,-0.33333333332829157,5.041744799427761e-12,5.041744799427761e-12,0.0975609756097561,1,4.648391742065397e-06,3.429853611347511e-06
681251,681251.0,681253.0,681257.0,681259.0,-3712867000144.0,-3712867000136.0,-0.3333333333283058,5.027533944712559e-12,5.027533944712559e-12,0.12195121951219512,1,4.6418413959066426e-06,3.4250125273693754e-06
691721,691721.0,691723.0,691727.0,691729.0,-3827867804944.0,-3827867804936.0,-0.3333333333284568,4.876488102212306e-12,4.876488102212306e-12,0.14634146341463414,1,4.571582146327485e-06,3.3731692265503987e-06
705161,705161.0,705163.0,705167.0,705169.0,-3978061417744.0,-3978061417736.0,-0.33333333332864096,4.692357613578224e-12,4.692357613578224e-12,0.12195121951219512,1,4.484450674903575e-06,3.308867587148434e-06
715151,715151.0,715153.0,715157.0,715159.0,-4091573392144.0,-4091573392136.0,-0.33333333332877113,4.5621839639409245e-12,4.5621839639409245e-12,0.12195121951219512,1,4.421807384648614e-06,3.262650423996316e-06
734471,734471.0,734473.0,734477.0,734479.0,-4315628204943.9995,-4315628204935.9995,-0.33333333332900794,4.325373392788379e-12,4.325373392788379e-12,0.0975609756097561,1,4.305493938076013e-06,3.1768613211746732e-06
736361,736361.0,736363.0,736367.0,736369.0,-4337867305744.0,-4337867305736.0,-0.33333333332903015,4.3031689322958755e-12,4.3031689322958755e-12,0.14634146341463414,1,4.294443190765964e-06,3.168685778154323e-06
739391,739391.0,739393.0,739397.0,739399.0,-4373639728144.0005,-4373639728136.0005,-0.3333333333290654,4.267919351264027e-12,4.267919351264027e-12,0.14634146341463414,1,4.276844799015925e-06,3.15566115705046e-06
768191,768191.0,768193.0,768197.0,768199.0,-4720988464144.002,-4720988464136.002,-0.3333333333293795,3.95383725759757e-12,3.95383725759757e-12,0.12195121951219512,1,4.116503830626832e-06,3.037302196751135e-06
773021,773021.0,773023.0,773027.0,773029.0,-4780541204944.0,-4780541204936.0,-0.3333333333294286,3.904709888757907e-12,3.904709888757907e-12,0.12195121951219512,1,4.090783170231726e-06,3.018422742917526e-06
795791,795791.0,795793.0,795797.0,795799.0,-5066317456144.001,-5066317456136.001,-0.33333333332964893,3.6843861295210445e-12,3.6843861295210445e-12,0.12195121951219512,1,3.9737340146248466e-06,2.9320013223976815e-06
803441,803441.0,803443.0,803447.0,803449.0,-5164190944144.0,-5164190944136.0,-0.3333333333297187,3.6146086124233534e-12,3.6146086124233534e-12,0.12195121951219512,1,3.935898113957246e-06,2.9041247581740315e-06
814061,814061.0,814063.0,814067.0,814069.0,-5301614593743.999,-5301614593735.999,-0.33333333332981235,3.5209613002962215e-12,3.5209613002962215e-12,0.17073170731707318,1,3.884551798896132e-06,2.8662772770804423e-06
822161,822161.0,822163.0,822167.0,822169.0,-5407642297744.002,-5407642297736.002,-0.3333333333298816,3.451738894710843e-12,3.451738894710843e-12,0.0975609756097561,1,3.846281050845487e-06,2.8378851014143613e-06
823721,823721.0,823723.0,823727.0,823729.0,-5428183004944.0,-5428183004936.0,-0.3333333333298945,3.43880479647396e-12,3.43880479647396e-12,0.1951219512195122,1,3.838996825601237e-06,2.8326157257563267e-06
829721,829721.0,829723.0,829727.0,829729.0,-5507548604944.0,-5507548604936.0,-0.333333333329944,3.389288849575678e-12,3.389288849575678e-12,0.14634146341463414,1,3.8112358434039946e-06,2.812164133558781e-06
833711,833711.0,833713.0,833717.0,833719.0,-5560645609744.0,-5560645609736.0,-0.3333333333299764,3.3569258484078546e-12,3.3569258484078546e-12,0.0975609756097561,1,3.79299600003404e-06,2.798706006001961e-06
837071,837071.0,837073.0,837077.0,837079.0,-5605556444944.0,-5605556444936.0,-0.3333333333300033,3.3300029400606945e-12,3.3300029400606945e-12,0.12195121951219512,1,3.7777710004102137e-06,2.7874488910395456e-06
845981,845981.0,845983.0,845987.0,845989.0,-5725524961744.002,-5725524961736.002,-0.3333333333300732,3.260114400660541e-12,3.260114400660541e-12,0.12195121951219512,1,3.737983132287664e-06,2.757994840785205e-06
854921,854921.0,854923.0,854927.0,854929.0,-5847174044944.0,-5847174044936.0,-0.3333333333301409,3.1923907961584064e-12,3.1923907961584064e-12,0.0975609756097561,1,3.698894827228563e-06,2.729241931842541e-06
855731,855731.0,855733.0,855737.0,855739.0,-5858259121744.001,-5858259121736.001,-0.33333333333014703,3.186284569522968e-12,3.186284569522968e-12,0.1951219512195122,1,3.6953936208854137e-06,2.726602480962459e-06
857951,857951.0,857953.0,857957.0,857959.0,-5888694256143.998,-5888694256135.998,-0.3333333333301633,3.1700198022122095e-12,3.1700198022122095e-12,0.12195121951219512,1,3.685831611411297e-06,2.7197216593277673e-06
875261,875261.0,875263.0,875267.0,875269.0,-6128710561744.001,-6128710561736.001,-0.33333333333028764,3.045674823454192e-12,3.045674823454192e-12,0.12195121951219512,1,3.6129374077203812e-06,2.6657603916513395e-06
876011,876011.0,876013.0,876017.0,876019.0,-6139218241744.001,-6139218241736.001,-0.3333333333302928,3.040512286389685e-12,3.040512286389685e-12,0.12195121951219512,1,3.60984419235787e-06,2.6635222085125143e-06
881471,881471.0,881473.0,881477.0,881479.0,-6215985404944.001,-6215985404936.001,-0.3333333333303304,3.0029312370061234e-12,3.0029312370061234e-12,0.0975609756097561,1,3.5874842283313533e-06,2.6469968004150246e-06
889871,889871.0,889873.0,889877.0,889879.0,-6335020124944.001,-6335020124936.001,-0.3333333333303868,2.9465319073551655e-12,2.9465319073551655e-12,0.12195121951219512,1,3.5536200704238006e-06,2.6220332949300484e-06
907391,907391.0,907393.0,907397.0,907399.0,-6586925488144.001,-6586925488136.001,-0.33333333333049947,2.833844270355712e-12,2.833844270355712e-12,0.0975609756097561,1,3.4850067061956253e-06,2.57140478632234e-06
930071,930071.0,930073.0,930077.0,930079.0,-6920316044943.999,-6920316044935.999,-0.3333333333306359,2.6973978606292803e-12,2.6973978606292803e-12,0.12195121951219512,1,3.4000243638076277e-06,2.5087715256333354e-06
938051,938051.0,938053.0,938057.0,938059.0,-7039577464143.999,-7039577464135.999,-0.3333333333306816,2.651712183165955e-12,2.651712183165955e-12,0.14634146341463414,1,3.371100479362489e-06,2.4874412651310074e-06
946661,946661.0,946663.0,946667.0,946669.0,-7169396977743.998,-7169396977735.998,-0.33333333333072956,2.6037505485021484e-12,2.6037505485021484e-12,0.12195121951219512,1,3.340440029121579e-06,2.4648690979955923e-06
954971,954971.0,954973.0,954977.0,954979.0,-7295818004943.999,-7295818004935.999,-0.33333333333077475,2.5585644713999045e-12,2.5585644713999045e-12,0.12195121951219512,1,3.3113721931656635e-06,2.443354871817238e-06
958541,958541.0,958543.0,958547.0,958549.0,-7350468136143.998,-7350468136135.998,-0.33333333333079374,2.5395796576788143e-12,2.5395796576788143e-12,0.14634146341463414,1,3.2990393358354377e-06,2.4342912246511084e-06
959471,959471.0,959473.0,959477.0,959479.0,-7364738204944.0,-7364738204936.0,-0.33333333333079873,2.534583654068001e-12,2.534583654068001e-12,0.17073170731707318,1,3.2958416427404355e-06,2.431859513152279e-06
976301,976301.0,976303.0,976307.0,976309.0,-7625371624144.0,-7625371624136.0,-0.3333333333308854,2.4479307469960077e-12,2.4479307469960077e-12,0.0975609756097561,1,3.2390263904910653e-06,2.3899172362229493e-06
978071,978071.0,978073.0,978077.0,978079.0,-7653045644944.0,-7653045644936.0,-0.3333333333308942,2.4391044739502377e-12,2.4391044739502377e-12,0.17073170731707318,1,3.233164798372701e-06,2.385617351940983e-06
983441,983441.0,983443.0,983447.0,983449.0,-7737312544144.0,-7737312544136.0,-0.3333333333309208,2.412514632510465e-12,2.412514632510465e-12,0.17073170731707318,1,3.2155104354268714e-06,2.3725658027107244e-06
