N,quadruplets,anchor_5,family_total,family_11,family_101,family_191,family_chi2,family_equal_p,trans_11_11,trans_11_101,trans_11_191,trans_101_11,trans_101_101,trans_101_191,trans_191_11,trans_191_101,trans_191_191,triples,neutral,neutral_rate,neutral_perm_mean,neutral_perm_sd,neutral_p_greater,neutral_p_less,mono,mono_rate,mono_perm_mean,mono_perm_sd,mono_p_greater,mono_p_less,plus,minus,orient_diff,orient_perm_mean,orient_perm_sd,orient_p_two_sided,elapsed_sec
1000000,166,1,165,59,50,56,0.7636363636363636,0.6826191544966576,17,22,19,17,16,17,24,12,20,163,34,0.2085889570552147,36.4678,6.022276705976292,0.6820635872825435,0.3783243351329734,18,0.11042944785276074,17.7904,4.886188986169253,0.5026994601079784,0.5796840631873625,24,10,14,-0.1422,7.986434485247933,0.07938412317536493,0.5188000202178955
2000000,295,1,294,99,103,92,0.6326530612244898,0.7288214288017436,26,42,30,39,37,27,33,24,35,292,65,0.2226027397260274,65.1986,8.103128419199315,0.5258948210357929,0.5168966206758648,32,0.1095890410958904,31.9482,6.413590537968396,0.5120975804839032,0.5500899820035993,38,27,11,0.0118,10.489979442007442,0.32273545290941813,0.9310872554779053
5000000,546,1,545,195,177,173,1.5119266055045872,0.46955807021544416,58,72,64,71,57,49,65,48,60,543,118,0.21731123388581952,120.9224,11.111375737241307,0.6236752649470106,0.41151769646070785,53,0.09760589318600368,60.2594,9.00470591333871,0.7998400319936013,0.23335332933413316,61,57,4,-0.2836,14.323540197896612,0.7846430713857229,1.742469072341919
10000000,899,1,898,318,288,292,1.7728285077951005,0.41213090319412815,101,112,105,111,92,84,105,84,103,896,189,0.2109375,198.8388,14.156005547420916,0.76624675064987,0.25574885022995403,85,0.09486607142857142,99.6784,11.511293385848655,0.9092181563687263,0.10697860427914417,94,95,-1,-0.2356,17.96906981827459,0.979004199160168,2.848276138305664
20000000,1468,1,1467,526,482,459,4.740286298568508,0.09346734553674485,178,184,163,183,153,146,164,145,150,1465,315,0.2150170648464164,324.5606,17.80659828907604,0.7150569886022795,0.3037392521495701,141,0.0962457337883959,163.6718,14.924109037597963,0.9410117976404719,0.06858628274345131,158,157,1,-0.165,23.310513744021215,0.9650069986002799,4.671186923980713
50000000,2847,1,2846,952,993,901,4.478566408995081,0.10653484071189194,305,347,299,344,342,307,302,304,295,2844,634,0.22292545710267228,631.2936,25.28946243837706,0.4657068586282743,0.5496900619876025,309,0.10864978902953587,317.0038,20.531802077248546,0.6630673865226955,0.35492901419716055,317,317,0,-0.7192,32.012917966710695,0.9862027594481104,9.232737064361572
