i,kind,bits,n,truth,MR_ms,MR_is_prime,E8_ms,E8_status,E8_factor,RHO_ms,RHO_status,RHO_factors,ok
42,quadruple,128,102888800565080531406407390591937790681,2302290139*3249550723*3648322529*3769567337,0.012250,0,5.518333,HIT,3249550723,16.945458,OK,2302290139*3249550723*3648322529*3769567337,1
43,quadruple,128,67739027973711656780934295024025651437,2474009933*2808662249*3101322659*3143337779,0.009583,0,4.834708,HIT,7672703063803971847,6.000542,OK,2474009933*2808662249*3101322659*3143337779,1
44,quadruple,128,51004248358517170217283836738603146169,2245382281*2325094987*2865358043*3409545289,0.012917,0,5.843458,HIT,2245382281,15.419750,OK,2245382281*2325094987*2865358043*3409545289,1
45,quadruple,128,130667291071140584608450882064654801029,2393185699*3498494023*3774691703*4134546359,0.011292,0,5.416500,HIT,3498494023,19.856625,OK,2393185699*3498494023*3774691703*4134546359,1
46,quadruple,128,89266299156598681786557374691033144761,2245130981*2554601729*3632256427*4284953807,0.013500,0,5.737333,HIT,2245130981,15.904875,OK,2245130981*2554601729*3632256427*4284953807,1
47,quadruple,128,109815071884808839348766582343588075583,2213325911*2837329123*4110862843*4253768777,0.012916,0,5.477083,HIT,9098679246979024973,10.790375,OK,2213325911*2837329123*4110862843*4253768777,1
48,quadruple,128,73867813852581138917355051162547038811,2165459171*3115123021*3151648949*3474499129,0.012166,0,5.516792,HIT,3474499129,14.267625,OK,2165459171*3115123021*3151648949*3474499129,1
49,quadruple,128,87912409758703758986619009007241572933,2376831911*2767725823*3429238649*3897004789,0.014292,0,5.900000,HIT,8150723851377728239,8.849667,OK,2376831911*2767725823*3429238649*3897004789,1
50,quadruple,128,95317851151631920444986039087702864217,2741214271*2754858767*3359846173*3756751997,0.013208,0,5.603042,MISS,,21.088042,OK,2741214271*2754858767*3359846173*3756751997,1
51,bamberg_quad,128,125560288228163214145658877759442626721,2561608613*3286424257*3507788171*4251895111,0.012125,0,5.269000,HIT,11528080133592063947,7.691833,OK,2561608613*3286424257*3507788171*4251895111,1
52,bamberg_quad,128,82973875414635561758848998220404563017,2199305221*2676730787*3358637131*4196508341,0.010583,0,5.243333,HIT,2199305221,13.089666,OK,2199305221*2676730787*3358637131*4196508341,1
53,bamberg_quad,128,78004587467294435269883415459340687201,2344934269*2938602707*3157600661*3585018427,0.014291,0,5.479750,HIT,9278933850039589327,16.675500,OK,2344934269*2938602707*3157600661*3585018427,1
54,bamberg_quad,128,143193700448708811465541865705662020877,2798309231*3623722457*3675328879*3842174389,0.012166,0,5.351209,HIT,14121254490045879931,9.500542,OK,2798309231*3623722457*3675328879*3842174389,1
55,bamberg_quad,128,136381016121976574998014148019718331741,2908400713*3133095967*3497407877*4279368623,0.013625,0,5.594125,HIT,2908400713,19.808542,OK,2908400713*3133095967*3497407877*4279368623,1
56,bamberg_quad,128,66455521196472267928774571681060721313,2160553841*2262630673*3233226743*4204517287,0.014666,0,5.878041,HIT,2262630673,10.024250,OK,2160553841*2262630673*3233226743*4204517287,1
57,bamberg_quad,128,79935396129590950076536869858492053041,2400889397*2534663557*3609873899*3638770171,0.014750,0,5.748791,HIT,6085446858963605129,4.497584,OK,2400889397*2534663557*3609873899*3638770171,1
58,bamberg_quad,128,74074015883739082792979347011616299241,2338336747*2629764701*3148069357*3826464179,0.011208,0,5.003333,MISS,,18.638083,OK,2338336747*2629764701*3148069357*3826464179,1
59,bamberg_quad,128,98469295292386016926969371899449677157,2402745691*3043001999*3140852069*4287886717,0.012792,0,5.343875,MISS,,13.255792,OK,2402745691*3043001999*3140852069*4287886717,1
60,bamberg_quad,128,114310502305455632166718035434663093497,2946429691*3034900619*3255814337*3926322289,0.011625,0,5.487167,MISS,,33.047709,OK,2946429691*3034900619*3255814337*3926322289,1
