N,dist,pairs,mean_d16,mean_d25,mean_d34,mean_purity,mean_d_eff,dominant_from_mean
500000000,6,2,-0.0326592335674187,0.00881153501180015,-0.01084148548494445,0.1156092003170377,8.649905671432663,d16
500000000,18,3,0.023705303132565803,-0.010342203587608468,-0.025334575131852433,0.12363418673037824,8.08859808704694,d34
500000000,30,3,-0.029697106508403404,0.03767583558308393,-0.0065665330526091,0.13832733031999167,7.229350672938762,d25
5000000000,6,2,-0.02458427002740825,0.006924125302262,-0.007700538525625401,0.12446672059819425,8.034276131032588,d16
5000000000,18,3,0.018188026859787133,-0.007158421159818067,-0.020605673806021668,0.13136987302942335,7.612139624626676,d34
5000000000,30,3,-0.0243035010355484,0.028811874580909568,-0.0026869842693701337,0.14213068095426534,7.035789748149607,d25
50000000000,30,1,-0.019753152332294,0.0228943466960926,-0.0009284648295496,0.1440092203870515,6.943999816902796,d25
