sigma,corr,rmse,mae
0.25,0.45580925442934445,1.2574402564713605,1.179912236801504
0.5,0.65633245769262,1.257440258439163,1.1799122408202538
0.75,0.8212098343654,1.2575209449956903,1.180056847559647
1.0,0.8786484779942668,1.263328154976914,1.1894711266816957
1.5,0.9647179049932303,1.6298322780446672,1.6230252977671848
2.0,0.9919551937967641,4.49486064749806,4.304234739172114
