observable,s1_slope_vs_loglog_plus_gamma,s1_intercept,s1_last_residual,s1_residual_range,sminus1_last_residual,sminus1_residual_range,sminus1_coef_XlogX,sminus1_coef_X,sminus1_coef_logX,sminus1_intercept
K_add_abs,0.0088949066904626,0.08035678246126275,-8.22094554838032e-05,0.0001714573386905477,57357508.94609451,582021671.7062502,1952.8890945476871,-29802.572254982668,1121825695.162991,-12338046841.15206
GP_235,-3.576705182950566e-17,0.07701635339554962,-1.3877787807814457e-17,1.3877787807814457e-17,7.549516567451064e-14,7.549516567451064e-14,9.147817257338221e-22,-2.329340604949326e-20,1.927735578223952e-15,6.238324625039486
BridgeP_M_abs,0.008894906690462575,0.1573731358568123,-8.220945548384484e-05,0.00017145733869058932,57357508.94604492,582021671.7062631,1952.889094547685,-29802.57225498263,1121825695.1629875,-12338046834.91369
BridgeP_W_abs,0.0008894906690462572,0.08505203164167578,-8.220945548406688e-06,1.714573386907281e-05,5735750.894593716,58202167.170630395,195.2889094547685,-2980.2572254982615,112182569.5162985,-1233804677.876874
e_distance,0.0052051981831765315,0.6260049245448115,-8.525916029844538e-05,0.00015927267830362357,23001691.431991577,239345579.34113884,837.063886365385,-12611.895385859336,439904562.95020175,-4824377153.764816
