node,degree,strength
7,128,1921.6756907969545
19,128,1921.6756907969545
31,128,1921.6756907969545
43,128,1921.6756907969545
67,128,1767.234788014528
79,128,1663.7131582722682
103,128,1436.651011126498
127,128,1286.7699594344638
139,128,1238.7601065586566
151,128,1207.391932390188
163,122,1123.0809072886384
199,68,948.3268937130288
211,68,869.2022653054727
223,68,850.1827235458647
271,68,765.0363040144459
283,68,765.0363040144459
307,68,696.9806399869077
331,68,696.9806399869077
367,68,660.346190945612
379,68,616.537839319363
439,68,616.537839319363
463,68,570.7613915115663
487,68,516.2834436961539
499,68,516.2834436961539
523,68,476.86925717777086
547,68,476.86925717777086
571,68,421.48094638381883
607,68,421.48094638381883
619,68,421.48094638381883
631,68,369.50288059555305
643,68,369.50288059555305
691,68,309.1335229854604
727,68,309.1335229854604
739,68,309.1335229854604
751,68,309.1335229854604
787,68,309.1335229854604
811,68,309.1335229854604
823,68,309.1335229854604
859,68,243.4712031580446
883,68,243.4712031580446
907,68,243.4712031580446
919,68,243.4712031580446
967,68,243.4712031580446
991,68,243.4712031580446
1039,68,243.4712031580446
1051,68,243.4712031580446
1063,68,243.4712031580446
1087,68,177.41425495724891
1123,68,177.41425495724891
1171,68,177.41425495724891
1231,68,177.41425495724891
1279,68,177.41425495724891
1291,68,177.41425495724891
1303,68,177.41425495724891
1327,68,177.41425495724891
1399,68,177.41425495724891
1423,68,177.41425495724891
1447,68,177.41425495724891
1459,68,177.41425495724891
1471,68,177.41425495724891
1483,68,177.41425495724891
1531,68,177.41425495724891
1543,68,177.41425495724891
1567,68,177.41425495724891
1579,68,177.41425495724891
1627,68,177.41425495724891
1663,68,177.41425495724891
1699,68,177.41425495724891
1723,68,177.41425495724891
1747,11,13.129256332769632
1759,11,13.129256332769632
1783,11,13.129256332769632
1831,11,13.129256332769632
1867,11,13.129256332769632
1879,11,13.129256332769632
1951,11,13.129256332769632
1987,11,13.129256332769632
1999,11,13.129256332769632
2011,11,13.129256332769632
2083,11,13.129256332769632
2131,11,13.129256332769632
2143,11,13.129256332769632
2179,11,13.129256332769632
2203,11,13.129256332769632
2239,11,13.129256332769632
2251,11,13.129256332769632
2287,11,13.129256332769632
2311,11,13.129256332769632
2347,11,13.129256332769632
2371,11,13.129256332769632
2383,11,13.129256332769632
2467,11,13.129256332769632
2503,11,13.129256332769632
2539,11,13.129256332769632
2551,11,13.129256332769632
2647,11,13.129256332769632
2659,11,13.129256332769632
2671,11,13.129256332769632
2683,11,13.129256332769632
2707,11,13.129256332769632
2719,11,13.129256332769632
2731,11,13.129256332769632
2767,11,13.129256332769632
2791,11,13.129256332769632
2803,11,13.129256332769632
2851,11,13.129256332769632
2887,11,13.129256332769632
2971,11,13.129256332769632
3019,11,13.129256332769632
3067,11,13.129256332769632
3079,11,13.129256332769632
3163,11,13.129256332769632
3187,11,13.129256332769632
3259,11,13.129256332769632
3271,11,13.129256332769632
3307,11,13.129256332769632
3319,11,13.129256332769632
3331,11,13.129256332769632
3343,11,13.129256332769632
3391,11,13.129256332769632
3463,11,13.129256332769632
3499,11,13.129256332769632
3511,11,13.129256332769632
3547,10,11.93568757524512
3559,10,11.93568757524512
3571,10,11.93568757524512
3583,10,11.93568757524512
3607,10,11.93568757524512
3631,10,11.93568757524512
