run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
144,845874523217687816002931752781,972,862,2,2
145,189740375864191418978764251483,1694220,325839,6,7
146,171258103924123902877480910253,730,888,3,3
147,418089744563528770878397099463,3853,960,5,5
148,529285416415936599111587387811,9228,19941,9,9
149,828848980521976826083425494081,2056604,2154544,3,3
150,665642642551018488477783829957,63074,25592,5,5
151,697495121533659399712802570735,3569,1431,5,5
152,742359768135641070308563960129,4671,1493,3,3
153,837794460472122753255086041947,8855,21665,8,8
154,251141313844631244801568320093,134968,80609,5,5
155,898166384469023708613156202313,749,1682,6,6
156,958052904506063591793591511427,40798,35013,5,5
157,735454868074764518170300434683,430315,79093,3,3
158,176488623894057170898739728313,2117775,2127369,2,2
159,679072081334217416250796998447,3627,1231,3,3
160,202952759171015893111918297939,3936,1654,3,3
161,371617037806098871524670910111,882716,110152,3,3
162,511947380047990334144596576873,914522,323627,4,4
163,347104423843907985814465857729,14395,84481,4,4
164,118573367369874082638527185577,3243,907,2,2
165,857022575766401561385230142269,3868,6099,7,7
166,362775540511210465945492469467,3966,3502,4,4
167,696007720735929493317321515961,1785288,1808619,4,4
168,422519812353969455237229393581,115256,165330,2,2
169,991187044327933992481430499723,961,1030,7,7
170,632702396194330505052775655147,876,994,2,2
171,120018732609305713703969453769,10709,23189,5,5
172,301261018687267793940024352585,325237,2213749,3,2
173,421659137595106317512432019929,30162,45234,3,3
174,874154661419413656510625663791,4445,4526,5,5
175,136804704301048391116581876869,5602,1610,3,3
176,253162438215648497967935322213,1647,1209,4,4
177,236983184889062750543502880451,492172,124149,3,3
178,619914515002894772876040968039,2050072,1982898,2,2
179,622819946210310043334228832035,2622,3869,6,6
180,258481749682440422818768119103,2024643,2028897,2,2
181,381090608075149137092289277537,1891925,1885132,4,4
182,774158042905913568160007999973,2069415,1337255,5,6
183,103809386114267262199790024317,842,1205,4,4
184,195846380294271295718854016207,3215,1101,2,2
185,512448952573394445091629870381,1031438,112403,5,5
186,155004313090166913012879595821,30236,15585,4,4
187,673532884703066099832059640579,15024,7509,8,8
188,924536009336791967104097391003,668,838,7,7
189,616997763926816130683647837457,2254486,2224721,1,1
190,607696687433316865840042602017,2994,2220,3,3
191,204256697673583807594108234753,72164,258395,3,3
192,885139435120912335606488856477,2876,788,3,3
193,416098487076737874284226288179,1056,1029,4,4
194,302162817038692905276788241097,77500,256432,4,4
195,390208568445412521988077681573,2855,724,2,2
196,687851184586799732985155664857,1509,1017,4,4
197,546379067468425765653095145407,14560,47361,4,4
198,331783267487456182382231090137,3832,1242,3,3
199,460565770258039756905278666337,103018,817867,4,4
200,621046627520432560585647440311,20462,109551,2,2
