Isomer,Config,Kern,Schale,Defect,Nu,AB_Phase,Plateau_Level
73,"(48, 23, 20, 10)",2304,1029,0.4689225329892355,1.6833333333333333,13.988834833537782,1.7
74,"(48, 23, 22, 4)",2304,1029,0.4689225329892355,1.6166666666666667,15.658464164789597,1.6
75,"(48, 25, 20, 2)",2304,1029,0.301966011250105,1.5833333333333333,16.406934509529805,1.6
76,"(48, 26, 17, 8)",2304,1029,0.22811985740395135,1.65,14.85555451674558,1.6
77,"(48, 28, 14, 7)",2304,1029,0.09625172553581929,1.6166666666666667,15.658464164789597,1.6
78,"(48, 31, 8, 2)",2304,1029,0.0696468919757014,1.4833333333333334,18.38987493160299,1.5
79,"(48, 32, 2, 1)",2304,1029,0.1180339887498949,1.3833333333333333,20.06707502353046,1.4
80,"(49, 24, 16, 10)",2401,932,0.4236326779167716,1.65,14.85555451674558,1.6
81,"(49, 26, 16, 0)",2401,932,0.2665813958654897,1.5166666666666666,17.76759691123141,1.5
82,"(49, 28, 12, 2)",2401,932,0.1319660112501051,1.5166666666666666,17.76759691123141,1.5
83,"(49, 30, 4, 4)",2401,932,0.015299344583438401,1.45,18.978606376654742,1.4
84,"(50, 20, 17, 12)",2500,833,0.8819660112501051,1.65,14.85555451674558,1.6
85,"(50, 21, 14, 14)",2500,833,0.762918392202486,1.65,14.85555451674558,1.6
86,"(50, 22, 18, 5)",2500,833,0.654693283977378,1.5833333333333333,16.406934509529805,1.6
87,"(50, 24, 16, 1)",2500,833,0.4652993445834386,1.5166666666666666,17.76759691123141,1.5
88,"(50, 25, 12, 8)",2500,833,0.3819660112501051,1.5833333333333333,16.406934509529805,1.6
89,"(50, 26, 11, 6)",2500,833,0.3050429343270282,1.55,17.108112110925624,1.6
90,"(50, 27, 10, 2)",2500,833,0.23381786310195696,1.4833333333333334,18.38987493160299,1.5
91,"(50, 28, 7, 0)",2500,833,0.1676802969643909,1.4166666666666667,19.536824204563032,1.4
92,"(52, 17, 14, 12)",2704,629,1.4407895406618696,1.5833333333333333,16.406934509529805,1.6
93,"(52, 18, 16, 7)",2704,629,1.270854900138994,1.55,17.108112110925624,1.6
94,"(52, 18, 17, 4)",2704,629,1.270854900138994,1.5166666666666666,17.76759691123141,1.5
95,"(52, 20, 15, 2)",2704,629,0.9819660112501052,1.4833333333333334,18.38987493160299,1.5
96,"(52, 22, 9, 8)",2704,629,0.7456023748864689,1.5166666666666666,17.76759691123141,1.5
97,"(52, 22, 12, 1)",2704,629,0.7456023748864689,1.45,18.978606376654742,1.4
98,"(52, 23, 8, 6)",2704,629,0.6428355764674962,1.4833333333333334,18.38987493160299,1.5
99,"(52, 23, 10, 0)",2704,629,0.6428355764674962,1.4166666666666667,19.536824204563032,1.4
100,"(52, 24, 7, 2)",2704,629,0.5486326779167716,1.4166666666666667,19.536824204563032,1.4
101,"(52, 25, 2, 0)",2704,629,0.46196601125010517,1.3166666666666667,21.05201890555868,1.3
102,"(53, 18, 10, 10)",2809,524,1.3264104556945497,1.5166666666666666,17.76759691123141,1.5
103,"(53, 18, 14, 2)",2809,524,1.3264104556945497,1.45,18.978606376654742,1.4
104,"(53, 22, 6, 2)",2809,524,0.7910569203410143,1.3833333333333333,20.06707502353046,1.4
105,"(54, 14, 11, 10)",2916,417,2.2391088683929623,1.4833333333333334,18.38987493160299,1.5
106,"(54, 14, 14, 5)",2916,417,2.2391088683929623,1.45,18.978606376654742,1.4
107,"(54, 17, 8, 8)",2916,417,1.558436599485399,1.45,18.978606376654742,1.4
108,"(54, 20, 4, 1)",2916,417,1.0819660112501053,1.3166666666666667,21.05201890555868,1.3
109,"(55, 12, 10, 8)",3025,308,2.965299344583438,1.4166666666666667,19.536824204563032,1.4
110,"(55, 16, 6, 4)",3025,308,1.819466011250105,1.35,20.571521577170707,1.4
111,"(56, 10, 9, 4)",3136,197,3.9819660112501047,1.3166666666666667,21.05201890555868,1.3
112,"(56, 12, 7, 2)",3136,197,3.048632677916772,1.2833333333333334,21.510172012329424,1.3
113,"(56, 14, 1, 0)",3136,197,2.381966011250105,1.1833333333333333,22.76373211931646,1.2
114,"(57, 8, 4, 2)",3249,84,5.506966011250105,1.1833333333333333,22.76373211931646,1.2
