n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,logR_A,logR_B,logR_C,logR_sum,excA,excB,excC,exc_combo,sigA,sigB,sigC,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum,shell,state_key
382621525,13,5,5,19,43,11,131,29432425,25,817,1441,1.0,16.6734693877551,11.909090909090908,0.0,2.813818796749376,2.477302050402781,5.291120847152158,False,True,True,B+C,5·5,19·43,11·131,13 * 5 * 5 * 19 * 43 * 11 * 131,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 19·43 | 11·131
382652725,13,5,5,7,103,23,71,29434825,25,721,1633,1.0,14.714285714285714,13.49586776859504,0.0,2.6888188391743224,2.602383547373724,5.291202386548046,False,True,True,B+C,5·5,7·103,23·71,13 * 5 * 5 * 7 * 103 * 23 * 71,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·103 | 23·71
383076925,229,5,5,7,79,11,11,1672825,25,553,121,1.0,11.285714285714286,1.0,0.0,2.423537703411708,0.0,2.423537703411708,False,True,False,B,5·5,7·79,11·11,229 * 5 * 5 * 7 * 79 * 11 * 11,3.6525422300864037,34.0,0.9310043668122271,S2,5·5 | 7·79 | 11·11
383155045,13,5,41,7,19,23,47,29473465,205,133,1081,8.2,2.7142857142857144,8.933884297520661,2.1041341542702074,0.9985288301111273,2.189851272042467,5.292514256423802,True,True,True,A+B+C,5·41,7·19,23·47,13 * 5 * 41 * 7 * 19 * 23 * 47,2.9859978256127633,28.0,1.349343339587242,S7,5·41 | 7·19 | 23·47
383184025,37,5,5,7,31,23,83,10356325,25,217,1909,1.0,4.428571428571429,15.776859504132231,0.0,1.488077055429833,2.7585442781290066,4.246621333558839,False,True,True,B+C,5·5,7·31,23·83,37 * 5 * 5 * 7 * 31 * 23 * 83,3.6199450849684505,10.0,0.9621621621621622,S5,5·5 | 7·31 | 23·83
383258425,61,5,5,31,67,11,11,6282925,25,2077,121,1.0,42.38775510204081,1.0,0.0,3.7468595257654855,0.0,3.7468595257654855,False,True,False,B,5·5,31·67,11·11,61 * 5 * 5 * 31 * 67 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245,S4,5·5 | 31·67 | 11·11
383331025,421,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,0.0,1.8152899666382492,0.0,1.8152899666382492,False,True,False,B,5·5,7·43,11·11,421 * 5 * 5 * 7 * 43 * 11 * 11,3.034164699985137,214.0,1.2988123515439431,S1,5·5 | 7·43 | 11·11
383377225,1237,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,0.0,0.0,0.7375989431307791,0.7375989431307791,False,False,True,C,5·5,7·7,11·23,1237 * 5 * 5 * 7 * 7 * 11 * 23,3.5263228704193796,310.0,1.0473726758286177,S1,5·5 | 7·7 | 11·23
383599645,13,5,17,19,151,11,11,29507665,85,2869,121,3.4,58.55102040816327,1.0,1.2237754316221157,4.0698985178707385,0.0,5.293673949492854,True,True,False,A+B,5·17,19·151,11·11,13 * 5 * 17 * 19 * 151 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 19·151 | 11·11
383668285,13,5,233,7,7,11,47,29512945,1165,49,517,46.6,1.0,4.2727272727272725,3.8416005411316,0.0,1.452252328911688,5.293852870043288,True,False,True,A+C,5·233,7·7,11·47,13 * 5 * 233 * 7 * 7 * 11 * 47,3.109083785307769,112.0,1.3078903928689338,S7,5·233 | 7·7 | 11·47
383769925,109,5,5,7,31,11,59,3520825,25,217,649,1.0,4.428571428571429,5.363636363636363,0.0,1.488077055429833,1.6796421711073488,3.167719226537182,False,True,True,B+C,5·5,7·31,11·59,109 * 5 * 5 * 7 * 31 * 11 * 59,3.4936369679052106,34.0,1.075229357798165,S3,5·5 | 7·31 | 11·59
383862325,61,5,5,7,7,11,467,6292825,25,49,5137,1.0,1.0,42.45454545454545,0.0,0.0,3.748433984870527,3.748433984870527,False,False,True,C,5·5,7·7,11·467,61 * 5 * 5 * 7 * 7 * 11 * 467,3.0903554861863745,34.0,1.2918032786885245,S4,5·5 | 7·7 | 11·467
383881225,13,5,5,7,19,83,107,29529325,25,133,8881,1.0,2.7142857142857144,73.39669421487604,0.0,0.9985288301111273,4.295878896661763,5.29440772677289,False,True,True,B+C,5·5,7·19,83·107,13 * 5 * 5 * 7 * 19 * 83 * 107,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·19 | 83·107
383920537,13,17,293,7,7,11,11,29532349,4981,49,121,199.24,1.0,1.0,5.294510128205083,0.0,0.0,5.294510128205083,True,False,False,A,17·293,7·7,11·11,13 * 17 * 293 * 7 * 7 * 11 * 11,3.762298969143394,44.0,0.8128735348169196,S7,17·293 | 7·7 | 11·11
384347425,2593,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,2593 * 5 * 5 * 7 * 7 * 11 * 11,3.4447118237411702,820.0,1.1146934053220208,S1,5·5 | 7·7 | 11·11
384439825,457,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,0.0,0.9985288301111273,0.7375989431307791,1.7361277732419063,False,True,True,B+C,5·5,7·19,11·23,457 * 5 * 5 * 7 * 19 * 11 * 23,3.5968722570783065,88.0,0.9838074398249453,S1,5·5 | 7·19 | 11·23
384662005,13,5,89,7,7,23,59,29589385,445,49,1357,17.8,1.0,11.214876033057852,2.8791984572980396,0.0,2.417241114238128,5.296439571536167,True,False,True,A+C,5·89,7·7,23·59,13 * 5 * 89 * 7 * 7 * 23 * 59,3.1021394524927537,48.0,1.3109766637856526,S7,5·89 | 7·7 | 23·59
384800185,37,5,17,7,7,11,227,10400005,85,49,2497,3.4,1.0,20.636363636363637,1.2237754316221157,0.0,3.0270547446830323,4.250830176305148,True,False,True,A+C,5·17,7·7,11·227,37 * 5 * 17 * 7 * 7 * 11 * 227,3.8386140308423924,12.0,0.7974562798092211,S5,5·17 | 7·7 | 11·227
384895225,13,5,5,31,151,11,23,29607325,25,4681,253,1.0,95.53061224489795,2.090909090909091,0.0,4.559446743189444,0.7375989431307791,5.297045686320223,False,True,True,B+C,5·5,31·151,11·23,13 * 5 * 5 * 31 * 151 * 11 * 23,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 31·151 | 11·23
385109725,13,5,5,7,1399,11,11,29623825,25,9793,121,1.0,199.85714285714286,1.0,0.0,5.297602825610168,0.0,5.297602825610168,False,True,False,B,5·5,7·1399,11·11,13 * 5 * 5 * 7 * 1399 * 11 * 11,3.19709115883551,10.0,1.2615384615384615,S7,5·5 | 7·1399 | 11·11
385204105,13,5,17,43,67,11,11,29631085,85,2881,121,3.4,58.795918367346935,1.0,1.2237754316221157,4.074072436973902,0.0,5.297847868596017,True,True,False,A+B,5·17,43·67,11·11,13 * 5 * 17 * 43 * 67 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205,S7,5·17 | 43·67 | 11·11
