observable,piece,smooth_primes,corr_with_theta4_res,abs_corr_with_theta4_res,std
switch_2357_TP_res,TP,"2,3,5,7",0.015627807727670796,0.015627807727670796,5.709550313634546
switch_235_TP_res,TP,"2,3,5",0.014325362144759218,0.014325362144759218,5.709386984603269
switch_2357_T1_res,T1,"2,3,5,7",0.014325362144759218,0.014325362144759218,5.709386984603269
switch_2357_T2_res,T2,"2,3,5,7",0.014325362144759218,0.014325362144759218,5.709386984603269
switch_235_T2_res,T2,"2,3,5",0.014325362144759218,0.014325362144759218,5.709386984603269
switch_23_T1_res,T1,"2,3",0.012098498004010104,0.012098498004010104,5.709176723514929
switch_235_T1_res,T1,"2,3,5",0.012098498004010104,0.012098498004010104,5.709176723514929
switch_23_T2_res,T2,"2,3",0.012098498004010104,0.012098498004010104,5.709176723514929
switch_23_TP_res,TP,"2,3",0.012098498004010104,0.012098498004010104,5.709176723514929
