N,W,cold,hot,count_cold,count_hot,Delta_cold,Delta_hot,P_311_107
200000000,400,311,107,27179,27226,-0.054358108716217435,-0.05445210890421781,-9.400018800037602e-05
200000000,600,311,107,27179,27226,-0.020962233230360006,-0.019022715745833182,0.0019395174845268232
200000000,800,311,107,27179,27226,-0.0465344156100298,-0.04458389817030342,0.0019505174397263791
200000000,1000,311,107,27179,27226,-0.02518875043414881,-0.023569222988447366,0.0016195274457014436
200000000,1200,311,107,27179,27226,-0.04951278161528708,-0.0478894992194563,0.0016232823958307746
200000000,1500,311,107,27179,27226,-0.03535115176952025,-0.03308735384845046,0.002263797921069788
200000000,2000,311,107,27179,27226,-0.04648506023620838,-0.045775104321291143,0.0007099559149172374
200000000,3000,311,107,27179,27226,-0.02515817624636507,-0.023741071634899136,0.0014171046114659358
