Kennzahl,Wert
Untersuchte Zwillinge,500.0
Zwillinge mit mindestens einem admissiblen Drilling-Kandidaten,499.0
Energetisch begünstigter Kollaps (DeltaV_min < 0),499.0
Nicht begünstigt oder kein Kandidat,1.0
Anteil energetisch begünstigt,0.998
