run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,91951049918448129257346100770874780131759614665947376714878455769581830633890251,9002997,8765519,3,3
2,32676719807068291592292880006178783658275563552070078349224387190170950706390865,8680036,8765857,4,4
3,87810031142206003666782669400965641428868729233776450852915585694275038688296215,9116089,9148493,3,3
4,96234423042416053567845851399339532933153492354969879103005217721005748438009295,10557634,10575091,4,4
5,57758123136987616763891270088776705407021626473585119116573288211842159294290771,8547255,8546962,3,3
6,30351698964701273056980438722436280304190645273389252126819387028995799926327495,67576,42576,5,5
7,75734057051077412835042784317408016061954222402587139506466413801221055677723961,8550668,8573013,4,4
8,10115019697624781006270898296419666515428194889508977738691489742286485556999923,7895921,8160870,5,5
9,35166296334205478688469094770233431151104275300276173621960567169892188575288135,9489429,8931567,6,6
10,80366687750990794500767265333797269576529468626265795907962891899226368100384283,8840894,8749909,7,7
11,82678661217908888501112505770480432608483669964910746779154183541726268165589679,7743629,7763926,6,6
12,20275680035781837967366429474345938329022193498987550545803204779679205965717933,7004508,7934305,7,6
13,37424744725813381115421694549664759453090741695312956822203031014949052332850385,7859731,7869149,7,7
14,87551841686578761181267195749695292402119608417724602783587956696169396518405903,11133605,9170833,1,2
15,15761331351636119784559627987378366115470932816770576504491122545893760972225303,8939694,8946208,2,2
16,81142519453128651550913256019903411026451878756402461545607533056326835349634581,11032,6733,3,3
17,63410952456433942949701217405489153097142512993225874460522858261785506727016535,10384862,7001499,11,11
18,51947392179228069670194875370079340404372322143362989697063467982417531929290017,9392796,9335783,6,6
19,97025440798672674646578011570758375271948711803530268640505031677560464725426169,11157302,11153260,1,1
20,21040806316466897286399462988763578017434752671520666756726825946077824761942779,9161728,9217087,3,3
