n,combo,min_tension,nearest_e,improvement_min_vs_near,improvement_combo_vs_near
2896,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2865,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2866,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2883,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2900,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2901,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2902,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2903,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2840,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2873,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2874,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2844,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2845,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2850,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2847,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2848,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2907,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2872,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2905,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2906,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2859,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2876,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2877,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2878,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2879,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2880,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2849,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2846,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2828,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2829,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2830,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2831,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2832,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2836,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2837,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2838,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2839,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2843,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2860,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2861,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2862,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2895,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2864,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2833,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2834,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2851,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2868,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2869,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2870,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
2871,0.8318218180513178,0.8318218180513178,0.942922573418145,0.11110075536682718,0.11110075536682718
