N,quadruplets,anchor_5,family_total,family_11,family_101,family_191,obs_delta,sim_delta_mean,sim_delta_sd,delta_z,delta_p_greater,delta_p_less,delta_p_two,obs_norm_A,sim_norm_A_mean,sim_norm_A_sd,norm_A_z,norm_A_p_greater,norm_A_p_less,norm_A_p_two,obs_chiral_fraction,sim_chiral_fraction_mean,sim_chiral_fraction_sd,chiral_fraction_z,chiral_fraction_p_greater,chiral_fraction_p_less,chiral_fraction_p_two,obs_Jcp,abs_Jcp,sim_abs_Jcp_mean,sim_abs_Jcp_sd,abs_Jcp_z,abs_Jcp_p_greater,abs_Jcp_p_less,abs_Jcp_p_two,obs_ratio_21_31,sim_ratio_mean,sim_ratio_sd,ratio_z,ratio_p_greater,ratio_p_less,ratio_p_two,theta12,theta13,theta23,elapsed_sec
1000000,166,1,165,59,50,56,0.1668578711842832,0.1644248325341168,0.04848666781570657,0.050179539237758114,0.4383123375324935,0.5618876224755049,0.9620075984803039,0.11736140728502026,0.08482631583276375,0.03964618946834068,0.8206360280409115,0.1749650069986003,0.8252349530093981,0.3587282543491302,0.7033615282997501,0.5250348180754177,0.18092913800540356,0.9856163147088365,0.1949610077984403,0.8052389522095581,0.38132373525294944,-0.035244926468454334,0.035244926468454334,0.03324969861639056,0.02281465684631513,0.08745377436549222,0.41631673665266944,0.5838832233553289,0.9436112777444511,0.546817778969362,0.5161594198484198,0.15898885529080561,0.1928333848612542,0.43431313737252547,0.5658868226354729,0.8480303939212157,50.55148728369673,17.392290433893223,33.55857956812576,0.2379460334777832
2000000,295,1,294,99,103,92,0.17419341561936738,0.12081513160351547,0.03589893559000309,1.4869043646719255,0.08338332333533294,0.9168166366726654,0.1331733653269346,0.05127677520501376,0.061393384602631725,0.028466941172957505,-0.35538097810200814,0.528494301139772,0.47170565886822635,0.7576484703059388,0.2943668968352937,0.5193516611264034,0.18614948133663,-1.2086241802857915,0.884623075384923,0.11557688462307539,0.2571485702859428,-0.035650529479664884,0.035650529479664884,0.03314221799865866,0.022516052186962045,0.1114010333684814,0.42091581683663265,0.5792841431713657,0.9320135972805439,0.45375025722254037,0.5170916573131225,0.16032381640032578,-0.39508415850343603,0.6522695460907818,0.3479304139172166,0.7044591081783643,30.410918210655257,18.06875219406622,45.67394805329348,0.3349769115447998
5000000,546,1,545,195,177,173,0.12505420014679813,0.09837845119077224,0.02459359327557477,1.0846625239801386,0.14237152569486103,0.8578284343131374,0.2725454909018196,0.03873066823470434,0.054244676326281806,0.018807891916212904,-0.8248669314291398,0.8382323535292941,0.16196760647870426,0.3375324935012997,0.30971105480055316,0.5615625173363875,0.14936002147154862,-1.6862039791806618,0.9672065586882623,0.032993401319736056,0.08658268346330734,-0.04801452045880558,0.04801452045880558,0.028560851400631367,0.020904776400863107,0.9305848905119608,0.1925614877024595,0.8076384723055389,0.3873225354929014,0.6837788191472984,0.5138578140853378,0.15874958017000262,1.0703713665257866,0.14517096580683864,0.8550289942011597,0.29194161167766447,47.92225629709319,15.830446168560801,43.86893567269812,0.5329959392547607
10000000,899,1,898,318,288,292,0.09183761793030391,0.07811431225805729,0.01833212874410774,0.7485931319709682,0.21475704859028194,0.7854429114177165,0.46350729854029193,0.03227829078719154,0.04357715736438556,0.013678733187527325,-0.826017031130972,0.8480303939212157,0.15216956608678264,0.32373525294941013,0.3514713416422421,0.5683151088788981,0.1411868261958894,-1.5358640255557312,0.9446110777844431,0.05558888222355529,0.12837432513497302,-0.029747289099572853,0.029747289099572853,0.02725136642364227,0.020543108687471466,0.12149683448117862,0.3805238952209558,0.6196760647870426,0.9198160367926415,0.6989866591859746,0.4996683093896849,0.15961288597366838,1.2487610168841357,0.11057788442311538,0.889622075584883,0.22635472905418916,52.52258156274076,12.367156261396117,39.2360061952835,0.7612400054931641
20000000,1468,1,1467,526,482,459,0.07138359835516743,0.07659711623569429,0.01196744186282487,-0.43564179715983425,0.6056788642271546,0.3945210957808438,0.6878624275144971,0.04008416100236363,0.04735764851956706,0.008790826860220056,-0.8273951509746097,0.9002199560087982,0.09998000399920016,0.2605478904219156,0.5615318073897847,0.6238459403831519,0.09483806775501175,-0.6570582306077632,0.7428514297140572,0.2573485302939412,0.5108978204359128,-0.08065234942036904,0.08065234942036904,0.03154512972348541,0.022882111384302503,2.1460965237050624,0.027794441111777646,0.9724055188962207,0.027794441111777646,0.5460086843937532,0.5026186872891023,0.17264846696705782,0.25131990956473355,0.40491901619676063,0.5952809438112378,0.8158368326334733,42.57899568171785,45.25898468738728,49.153058104231036,1.2050769329071045
50000000,2847,1,2846,952,993,901,0.04945581426607841,0.0540167158662739,0.008549101745129926,-0.5334948321083731,0.6538692261547691,0.3463307338532294,0.614877024595081,0.028014940696369374,0.03313993875398282,0.006246817923075263,-0.8204173902175218,0.9108178364327134,0.08938212357528494,0.25154969006198763,0.566464046990421,0.6196333727860434,0.09759551382226254,-0.5447927236947844,0.70625874825035,0.2939412117576485,0.5924815036992601,0.050255710538473955,0.050255710538473955,0.03377979718273499,0.023963034088032183,0.6875553944968723,0.2615476904619076,0.7386522695460908,0.5744851029794041,0.21934970977172133,0.5027961575175699,0.17396517055812566,-1.6293287146874196,0.9432113577284543,0.05698860227954409,0.10417916416716656,20.009694136444573,28.924126103478606,59.12172208780921,2.5570030212402344
