sym,z,n,e,a,b,c,ratio
H,1,2,1,1,0,0,1.0
He,2,8,2,2,0,0,1.0
Li,3,18,3,3,0,0,1.0
B,5,50,5,5,0,0,1.0
C,6,72,6,6,0,0,1.0
N,7,98,7,7,0,0,1.0
O,8,128,8,8,0,0,1.0
Si,14,392,14,14,0,0,1.0
Fe,26,1352,26,26,0,0,1.0
Nb,41,3361,41,40,8,4,1.000595238095238
Sn,50,4998,50,49,9,4,1.00080064051241
Pb,82,13442,82,81,11,6,1.0008931229532598
U,92,16920,92,90,16,10,1.0009460737937559
Np,93,17290,93,91,18,6,1.0009258187709755
