Familie,Anzahl,C_orbit,Mittel_P2_norm,Median_P2_norm,Mittel_V_eff,Median_V_eff,Min_V_eff,Max_V_eff
Zwillinge,500,1,0.00021252932727900987,5.621064587235284e-09,-0.9978747067272099,-0.9999999437893541,-0.9999999904810655,-0.3476429552602168
Drillinge,500,2,0.0002476025333804219,1.0149150759521297e-10,-1.9975239746661957,-1.999999998985085,-1.9999999998524016,-0.956478747539443
Vierlinge,500,3,0.0003783652095002878,3.830016125088436e-12,-2.9962163479049972,-2.9999999999617,-2.9999999999947637,-1.585445089037642
