T,T_over_2pi,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order,O
0.01,0.0015915494309189536,8.009052237281722,0.0034893534183931974,667,666,0.987987987987988,0.503003003003003,-0.484984984984985,-0.3252769385699899
0.1325,0.021088029959676135,8.116504579492176,0.0034893534183931974,664,663,0.8250377073906485,0.5279034690799397,-0.29713423831070884,-0.21962095875139348
0.255,0.04058451048843331,8.217852360611209,0.0034893534183931974,666,665,0.6736842105263158,0.562406015037594,-0.11127819548872175,-0.09002433090024327
0.3775,0.06008099101719049,8.313442391749238,0.0034893534183931974,666,665,0.5293233082706766,0.5067669172932331,-0.022556390977443552,-0.021770682148040586
0.5,0.07957747154594767,8.403601781052862,0.0034893534183931974,668,667,0.39580209895052476,0.6071964017991005,0.21139430284857574,0.21076233183856505
