W,S_real,mean_perm,std_perm,D_excess,z,p_value,hot_channel,hot_delta,cold_channel,cold_delta
1000,0.008458978019010632,0.004332505846199218,0.0012775861845157378,0.0041264721728114144,3.229897303856281,0.0,47,-0.023549491661821964,11,-0.032008469680832596
3000,0.001969568298832991,0.003197960381839641,0.0007735549567791458,-0.0012283920830066502,-1.587982950973919,0.95,17,-0.007187357263046201,29,-0.009156925561879192
5000,0.001733688793534971,0.002343382799427825,0.0005387184500328344,-0.000609694005892854,-1.1317488863722667,0.87,41,-5.252319991488896e-05,59,-0.00178621199344986
10000,0.00023831398597806697,0.0005729742477686084,0.00012043991680096636,-0.00033466026179054147,-2.778649061536518,0.9966666666666667,17,0.0001385521830048475,59,-9.976180297321946e-05
30000,0.0,4.53848178709008e-08,7.84776863993375e-07,-4.53848178709008e-08,-0.05783149319662402,1.0,11,0.0,11,0.0
50000,0.0,0.0,0.0,0.0,,1.0,11,0.0,11,0.0
