N,W,S_real,mean_perm,std_perm,D_excess,z,p_value,hot_channel,hot_delta,cold_channel,cold_delta,Delta_11,Delta_17,Delta_29,Delta_41,Delta_47,Delta_59
10000000,1000,0.014304954682400783,0.009657099871189184,0.003183777080216758,0.0046478548112115995,1.4598556036137944,0.084,17,-0.02063811385696457,11,-0.03494306853936535,-0.03494306853936535,-0.02063811385696457,-0.02956409187716802,-0.02519365022320852,-0.023768347440990212,-0.02494668055800353
20000000,1000,0.010349903916534009,0.007119542838166643,0.0023689012491790555,0.0032303610783673657,1.3636537527627417,0.0945,47,-0.021025622854062842,11,-0.03137552677059685,-0.03137552677059685,-0.024363906300064242,-0.028742076186533017,-0.0302114672020527,-0.021025622854062842,-0.027502627731859408
50000000,1000,0.009939452269756677,0.005969222834678741,0.0018317565311436871,0.003970229435077936,2.167443853795929,0.024,47,-0.02189103978483442,59,-0.0318304920545911,-0.03059163271920584,-0.02776087222407697,-0.027679487371563782,-0.028915397217153527,-0.02189103978483442,-0.0318304920545911
100000000,1000,0.008458978019010632,0.004492638890589363,0.0013965690314549591,0.003966339128421269,2.8400594879932997,0.007,47,-0.023549491661821964,11,-0.032008469680832596,-0.032008469680832596,-0.029026237650816356,-0.026221329988654007,-0.02921521104844249,-0.023549491661821964,-0.02905401582002043
200000000,1000,0.006808396143455242,0.0034549345145334044,0.0010650785496869838,0.0033534616289218376,3.148558038191068,0.001,47,-0.02447975892478188,11,-0.03128815506823712,-0.03128815506823712,-0.028046781239594865,-0.027041723705376164,-0.028234115287417816,-0.02447975892478188,-0.02782890617689504
