observable,corr_with_theta4_res,abs_corr
GP_235_res,0.5705221079897402,0.5705221079897402
BridgeP_W_res,0.03433623728624758,0.03433623728624758
Bridge345_W_res,0.02989607204914242,0.02989607204914242
BridgeP_M_res,0.01432536214475875,0.01432536214475875
Bridge345_M_res,0.013880019360687475,0.013880019360687475
K_add_res,-0.012098498004009639,0.012098498004009639
