m,nu2,nu3,core,omega_E,omega_A,omega_B,omega_C,E_part,A_part,B_part,C_part,profile_weight,channel_count,balance,is_valid,energy,state,profile,is_fullshell_1111
769,0,0,769,1,0,0,0,769,1,1,1,1,1,1,True,6.8612727423764115,"|0,0;1,0,0,0>","(1,0,0,0)",False
233,0,0,233,0,1,0,0,1,233,1,1,1,1,1,True,6.862759613391425,"|0,0;0,1,0,0>","(0,1,0,0)",False
829,0,0,829,1,0,0,0,829,1,1,1,1,1,1,True,6.880055038783824,"|0,0;1,0,0,0>","(1,0,0,0)",False
23,0,0,23,0,0,0,1,1,1,1,23,1,1,1,True,6.883873553982287,"|0,0;0,0,0,1>","(0,0,0,1)",False
853,0,0,853,1,0,0,0,853,1,1,1,1,1,1,True,6.88718988687292,"|0,0;1,0,0,0>","(1,0,0,0)",False
257,0,0,257,0,1,0,0,1,257,1,1,1,1,1,True,6.887269021223805,"|0,0;0,1,0,0>","(0,1,0,0)",False
79,0,0,79,0,0,1,0,1,1,79,1,1,1,1,True,6.892361963116755,"|0,0;0,0,1,0>","(0,0,1,0)",False
877,0,0,877,1,0,0,0,877,1,1,1,1,1,1,True,6.894126748093046,"|0,0;1,0,0,0>","(1,0,0,0)",False
269,0,0,269,0,1,0,0,1,269,1,1,1,1,1,True,6.89867784490046,"|0,0;0,1,0,0>","(0,1,0,0)",False
10,1,0,5,0,1,0,0,1,5,1,1,1,1,1,True,6.902359478108525,"|1,0;0,1,0,0>","(0,1,0,0)",False
281,0,0,281,0,1,0,0,1,281,1,1,1,1,1,True,6.909588667333436,"|0,0;0,1,0,0>","(0,1,0,0)",False
937,0,0,937,1,0,0,0,937,1,1,1,1,1,1,True,6.910670820559606,"|0,0;1,0,0,0>","(1,0,0,0)",False
293,0,0,293,0,1,0,0,1,293,1,1,1,1,1,True,6.920043152254267,"|0,0;0,1,0,0>","(0,1,0,0)",False
997,0,0,997,1,0,0,0,997,1,1,1,1,1,1,True,6.92618769249046,"|0,0;1,0,0,0>","(1,0,0,0)",False
1009,0,0,1009,1,0,0,0,1009,1,1,1,1,1,1,True,6.929178755088403,"|0,0;1,0,0,0>","(1,0,0,0)",False
1021,0,0,1021,1,0,0,0,1021,1,1,1,1,1,1,True,6.932134454541167,"|0,0;1,0,0,0>","(1,0,0,0)",False
1033,0,0,1033,1,0,0,0,1033,1,1,1,1,1,1,True,6.93505561727991,"|0,0;1,0,0,0>","(1,0,0,0)",False
317,0,0,317,0,1,0,0,1,317,1,1,1,1,1,True,6.93972544346932,"|0,0;0,1,0,0>","(0,1,0,0)",False
1069,0,0,1069,1,0,0,0,1069,1,1,1,1,1,1,True,6.9436197277562615,"|0,0;1,0,0,0>","(1,0,0,0)",False
1093,0,0,1093,1,0,0,0,1093,1,1,1,1,1,1,True,6.949170372044135,"|0,0;1,0,0,0>","(1,0,0,0)",False
1117,0,0,1117,1,0,0,0,1117,1,1,1,1,1,1,True,6.9546004497673,"|0,0;1,0,0,0>","(1,0,0,0)",False
1129,0,0,1129,1,0,0,0,1129,1,1,1,1,1,1,True,6.957271891037416,"|0,0;1,0,0,0>","(1,0,0,0)",False
103,0,0,103,0,0,1,0,1,1,103,1,1,1,1,True,6.958682247057409,"|0,0;0,0,1,0>","(0,0,1,0)",False
1153,0,0,1153,1,0,0,0,1153,1,1,1,1,1,1,True,6.962530630067265,"|0,0;1,0,0,0>","(1,0,0,0)",False
353,0,0,353,0,1,0,0,1,353,1,1,1,1,1,True,6.966617014233324,"|0,0;0,1,0,0>","(0,1,0,0)",False
1201,0,0,1201,1,0,0,0,1201,1,1,1,1,1,1,True,6.972727455519996,"|0,0;1,0,0,0>","(1,0,0,0)",False
1213,0,0,1213,1,0,0,0,1213,1,1,1,1,1,1,True,6.975212977236013,"|0,0;1,0,0,0>","(1,0,0,0)",False
1237,0,0,1237,1,0,0,0,1237,1,1,1,1,1,1,True,6.980111093098122,"|0,0;1,0,0,0>","(1,0,0,0)",False
1249,0,0,1249,1,0,0,0,1249,1,1,1,1,1,1,True,6.982524627531395,"|0,0;1,0,0,0>","(1,0,0,0)",False
389,0,0,389,0,1,0,0,1,389,1,1,1,1,1,True,6.990894835904611,"|0,0;0,1,0,0>","(0,1,0,0)",False
1297,0,0,1297,1,0,0,0,1297,1,1,1,1,1,1,True,6.991952296079111,"|0,0;1,0,0,0>","(1,0,0,0)",False
