n,Zeta_Resonance,a,b,c,d
561,2.8847947239750553,0,2,14,19
1105,27.101181946979185,0,0,4,33
1729,15.98313378233563,0,6,18,37
2465,54.37141718028218,0,0,8,49
2821,21.629526995186627,0,2,36,39
6601,86.63438114774563,0,2,6,81
8911,19.90393483848065,1,2,25,91
10585,44.58149499718595,0,0,28,99
15841,63.7228526618088,0,6,26,123
29341,174.2883091070074,0,0,10,171
