n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score
4431973,13,113,7,431,1,0.0044778389850281,0.0005305198039102,0.004477838985028111,0.0005305198039102458,0,0,0,0,22.992360109400693,22.992360109400693,44.91762976495569,0.4379170357420792,96,96,128,0,0.0009128352026000806,0.0009128352026000806,-1.0408340855860843e-17,-4.575333167888829e-17,304.41127536231784
8859877,13,29,331,71,1,0.5309122279468159,0.4826984441661768,0.03330942738196986,0.0005328934659809542,8,0,9,0,87.7829933577064,3.831019268650072,44.88778771829328,0.545875853216936,160,160,96,0,0.0019214206277442195,0.0033004844277193294,0.49760280056484607,0.48216555070019584,135.77753231971755
4484701,13,53,283,23,1,0.8243846338688302,0.8196648285923653,0.005254775063850526,0.000534969787385714,0,9,0,9,89.85419695850187,89.85419695850187,44.81703242675909,0.5199027151661917,160,160,0,0,-0.009495189919423922,-0.009495189919423922,0.8191298588049797,0.8191298588049796,404.7401639970501
6075745,13,5,211,443,1,0.013201910913298,0.0375520861911103,0.013201910913298056,0.0005554833438947565,0,0,9,9,60.366368118496425,43.738396493272816,44.94866378169415,0.5797753349482822,160,160,64,0,9.694114406643315e-05,0.000862417396674531,-5.551115123125783e-17,0.036996602847215544,238.62766570924364
9819265,109,5,43,419,1,0.7199629688583925,0.6653427258127104,0.04394197040380009,0.0005750742160561004,0,9,8,0,84.97055246411068,83.91869582084463,38.96701333364747,0.4412198943360033,96,0,0,0,0.015239175418019986,-0.0022590023980583415,0.6760209984545924,0.6647676515966543,40.75574696912825
9795505,73,5,571,47,1,0.0917764776213539,0.0373067233441408,0.05504862820634295,0.0005788739291298082,8,9,8,9,63.510657488908805,63.510657488908805,43.2401551254358,0.541561637230955,96,96,96,0,-0.0005395985935513566,-0.0005395985935513566,0.03672784941501094,0.03672784941501099,54.78611090180205
4308577,13,113,7,419,1,0.1454756214275103,0.1475761949682382,0.0014848332271971952,0.0006157403135315339,8,9,8,9,71.02619283894313,71.02619283894313,44.92695424016547,0.6037127196542691,96,96,32,0,-0.00494622409154734,-0.00494622409154734,0.1439907882003131,0.14696045465470667,278.3566302779438
4572997,13,113,283,11,1,0.8244419283027756,0.8184499676949402,0.005329517777336228,0.0006624428304996689,0,9,0,9,89.83264985302122,89.83264985302122,44.82803613503952,0.5188613680861827,160,160,0,0,0.0017265253553802734,0.0017265253553802734,0.8191124105254394,0.8177875248644405,403.5751023265528
1809769,13,17,19,431,1,0.1062618576260332,0.1626191250715386,0.057040914960519426,0.0006836475150141027,9,9,9,9,18.035197127589452,18.035197127589452,44.938887841758216,0.679878637056962,96,96,0,0,-0.002306113502875777,-0.002306113502875777,0.04922094266551377,0.16193547755652452,42.343362477369
6124705,61,5,43,467,1,0.393766637604336,0.3689027612894621,0.024152381568680735,0.0007114947461930885,9,8,10,8,6.458720921335856,82.99740714320481,44.54240717346363,0.5273582098920413,96,96,64,0,-0.0012693832040095593,-0.0003894713070132855,0.3696142560356553,0.368191266543269,107.15927829099812
5071405,37,5,79,347,1,0.7904132889067739,0.7776983293328907,0.01195893013393756,0.0007560294399455379,0,9,0,9,88.88807300094331,88.88807300094331,43.48743282650094,0.5135748092137165,96,96,64,0,0.0012886745056566442,0.0012886745056566442,0.7784543587728363,0.7769422998929452,171.13607725363357
7181473,13,29,43,443,1,0.0357663039158449,0.000768668957908,0.008213499011819005,0.0007686689579076061,0,8,0,0,26.70444279583895,57.163187139115934,44.930037495344266,0.5671452487576356,160,160,64,0,-0.002993181911495569,-8.88096206116918e-05,0.027552804904025896,3.9389064926398376e-16,310.75389584363904
8175409,37,53,379,11,1,0.6711668371307341,0.627991788710434,0.043973736145123316,0.000798687724823308,8,0,8,0,87.25558646568301,87.25558646568301,43.525773714910954,0.5003085212783165,160,96,0,0,-0.004397828263283493,-0.004397828263283493,0.6271931009856108,0.6271931009856108,95.17258682902572
5822005,397,5,7,419,1,0.2958659375070113,0.2742506391940003,0.017188356598679518,0.0008017007056521939,9,8,8,0,0.7746611872162643,49.14880188247017,19.729228747785022,0.15598695894588177,128,0,0,0,0.010244014938585018,-0.005673016582068883,0.2786775809083318,0.27344893848834806,304.1695094498163
8277685,13,5,367,347,1,0.0431381140281644,0.0008177361026765,0.043138114028164476,0.0008177361026767033,0,0,2,0,57.1882314077701,32.70628702702072,44.95368522066264,0.5562772698079808,96,96,32,0,2.107932042062269e-05,0.0005369681981645063,-7.632783294297951e-17,-2.0328790734103208e-16,65.2918655114873
4858777,709,89,7,11,1,0.0091030960636806,0.0008338141826587,0.009102905526677753,0.0008335502902620304,9,8,9,9,15.499471084282813,15.533653255955352,15.541933802355178,7.908981527471326e-07,0,0,0,0,0.2736554338021959,-0.008548936282684912,1.9053700284731023e-07,2.638923966696025e-07,292300.58437737287
4195633,13,29,31,359,1,0.4225374477342667,0.4221772762094219,0.0005440409420607206,0.0009042124669057796,8,0,8,0,83.51027468997178,83.51027468997178,44.91243655501628,0.6510690702809672,96,96,0,0,-0.00012058623118007561,-0.00012058623118007561,0.421993406792206,0.4212730637425161,281.1399052546861
8156365,397,5,7,587,1,0.0935648445748893,0.0505363291385228,0.04393653033515756,0.0009080148987908661,0,8,0,8,35.27729578579577,35.27729578579577,26.453890437645327,0.27756916341981297,160,0,128,0,0.009753479575576346,0.009753479575576346,0.049628314239731734,0.049628314239731935,107.54001420396386
3848341,73,17,7,443,1,0.5470434263070756,0.5523652420644932,0.006264271331581073,0.0009424555741632811,9,0,9,0,2.140508127850649,2.140508127850649,42.324436742562206,0.5371396507174553,160,64,64,0,0.014324271332808449,0.014324271332808449,0.5407791549754946,0.5514227864903299,257.54901085890776
2398045,13,5,79,467,1,0.0784258833175043,0.0414139269920126,0.037982988327540435,0.0009710320020484889,0,8,0,8,36.42210309490501,36.42210309490501,44.93990697213924,0.5393782744920018,96,96,64,0,0.007563740798845984,0.007563740798845984,0.04044289498996387,0.04044289498996411,74.57199510034572
3753085,157,5,7,683,1,0.0119859131356145,0.0189620494706274,0.005131353660378016,0.0009794522016792295,9,9,8,9,35.76338438309577,32.230090525667244,41.433156268607604,0.43331433466813907,96,96,0,0,0.005265373691075091,-0.0015685027284437385,0.0068545594752364835,0.01798259726894817,294.35774575748087
5107765,13,5,439,179,1,0.0598804984218613,0.0467029234227038,0.014179741452772298,0.0010021664536147277,0,8,0,8,29.56529823911152,29.56529823911152,44.9414427408704,0.5402628993022949,160,160,64,0,-0.0011281243647470703,-0.0011281243647470703,0.045700756969089,0.045700756969089075,245.7239177156599
3593005,13,5,331,167,1,0.4769788075310786,0.4868385407753485,0.01090703143262944,0.0010472981883592914,8,8,8,8,3.048276420150306,3.048276420150306,44.915228290670726,0.5458986115216526,160,160,96,0,-9.292035081480594e-05,-9.292035081480594e-05,0.46607177609844913,0.4857912425869892,281.2547559371757
7661485,13,5,379,311,1,0.0237709094495214,0.0153167380455098,0.023770909449521455,0.001065574417517981,0,0,9,9,42.12504903826368,33.683099967743956,44.94793166187853,0.5247796576098473,96,96,96,0,-6.264252820328751e-06,-0.00021536499529675252,-5.551115123125783e-17,0.014251163627991819,108.90222005276267
7755601,61,41,7,443,1,0.027759910752629,0.0120976699717296,0.022371176682581415,0.0010688426507806468,9,0,9,9,3.118824527861513,4.497960233208884,44.50051260813239,0.55161755972514,160,128,64,0,0.006642702212664477,0.002223242562047462,0.005388734070047585,0.011028827320948953,161.84544706029925
4876765,73,5,31,431,1,0.4969417632916627,0.4867648676395997,0.005939443293197407,0.0010704379635073746,11,8,9,0,85.94224924451052,1.6633286173655255,42.29848333279469,0.5418055381027425,96,96,96,0,0.0022891364273522207,0.003262586799176745,0.4910023199984653,0.48569442967609233,223.48064624500577
9533545,421,5,7,647,1,0.0898717471772432,0.037087343732702,0.0030804105331587507,0.0010994620239064639,9,8,8,0,21.479137988256184,61.42528201730644,43.210736980213326,0.3613638668710739,0,0,160,0,0.0007041264181361,0.01992666841329699,0.08679133664408445,0.035987881708795535,2.1155958120486646
7502305,37,5,379,107,1,0.6645663857600804,0.6268041114010364,0.03528905474340279,0.001173813555939385,8,0,9,8,87.57112151752663,1.4308076665808416,43.70356444161406,0.5042543536161239,96,96,0,0,-0.0008797950750451924,0.0005872679054760658,0.6292773310166776,0.625630297845097,84.51105726114507
3295045,13,5,163,311,1,0.5120403734014439,0.5276517561915405,0.016811219786631387,0.0011998369965348797,11,8,11,8,88.57165554381368,88.57165554381368,44.911030407134,0.5643681119434965,96,96,64,0,0.001341094423202276,0.001341094423202276,0.49522915361481257,0.5264519191950056,127.54912965194598
4441885,709,5,7,179,1,0.0060101631887393,0.0019168845446088,0.0007518692898053882,0.0012098039995262978,8,0,0,8,22.20627842264968,16.172486610895845,18.099060579825256,0.007812803461481277,0,0,0,0,0.0026240836840223905,-0.008752895503660091,0.0052582938989339115,0.0007070805450825023,119.02920710813338
6249385,157,5,19,419,1,0.7778510841862374,0.7516985151895962,0.0273714577878455,0.0012188887912039663,0,9,0,9,83.03454315935147,83.03454315935147,38.00307699932712,0.4114323041356984,96,0,0,0,0.009985711378862136,0.009985711378862136,0.7504796263983919,0.7504796263983922,63.08589251216761
5843929,13,149,7,431,1,0.0044772218181779,0.017379339229419,0.004477221818177953,0.0012469923871062292,0,0,9,9,22.977346176205522,24.559077323879514,44.89015087144146,0.43770407119982957,96,96,128,0,0.002727909018550957,-0.023731886316607984,-5.2909066017292616e-17,0.01613234684231277,304.57236949744123
1563289,13,41,7,419,1,0.1454754535196382,0.0789051842530682,0.001485058505471563,0.0012549905527270751,8,9,9,8,71.04569148562777,14.516717307509836,44.932529242488876,0.6041157383613602,96,96,32,0,-0.0027916452402525186,-0.008220320912176384,0.14399039501416663,0.07765019370034112,278.1654765470941
592501,13,17,7,383,1,0.2235267474917004,0.3605464202759639,0.03506677964064865,0.0012561268324586604,8,9,8,8,11.836149543334392,5.400942210112205,44.92316151325522,0.6571845828331017,128,128,64,0,-0.003439508089782581,0.00022419580369677962,0.18845996785105174,0.3592902934435052,86.77379077309402
4144105,709,5,7,167,1,0.0059278688437373,0.0063783694814496,0.0017253646156561878,0.001274863977944075,9,0,9,0,13.567325965745246,13.567325965745246,17.821252552124076,0.00621124659704797,0,0,0,0,0.06993549401922841,0.06993549401922841,0.004202504228081112,0.005103505503505525,137.28559066616023
6877045,349,5,7,563,1,0.187738882556301,0.1554887583374162,0.00677756338908748,0.0013011117360639131,0,8,9,9,49.44465998875568,47.572056641916056,28.173563883850466,0.32313692672310845,160,0,64,0,0.006268706335564455,0.00300844937265104,0.18096131916721353,0.15418764660135229,296.967589297151
3220165,13,5,463,107,1,0.0184590125460875,0.0013147837012696,0.012155683013155958,0.0013147837012702302,0,8,0,0,40.989852517237516,52.743498692484266,44.93828355268954,0.5090806192863211,96,96,0,0,0.0008307134962131935,-4.6069923957097195e-05,0.006303329532931541,-6.301383026485752e-16,171.1136870125497
869245,13,5,43,311,1,0.555051173548192,0.6636441522939246,0.0286976091396813,0.0013249192919863725,9,0,0,9,1.6409099785872088,89.7928687001522,44.88849269994306,0.5986431645284503,128,96,32,0,-0.0008152779228991035,-0.00017602021352383388,0.5263535644085107,0.6623192330019382,97.12468670486061
6642649,13,53,31,311,1,0.6144732323932596,0.5844282107603084,0.006860718723250438,0.0013383911668989913,9,0,11,8,0.9456551611189244,88.47094735424106,44.87824043919725,0.6456893701948234,96,96,32,0,0.003572916030058109,0.008729930211938316,0.6076125136700091,0.5830898195934093,177.2788460848801
555373,13,17,7,359,1,0.4226382693834097,0.5645383299294434,0.0004985170510701273,0.001338731617419781,8,0,8,8,83.68928142428828,2.607507751219098,44.914061250190294,0.6534436842743774,96,96,0,0,0.0014271076376956952,-0.0005790870204683287,0.4221397523323396,0.5631995983120236,281.3328991934681
7827157,13,17,331,107,1,0.5181275572007811,0.4776912165881906,0.03831764418619635,0.0014036497511708513,11,0,9,0,2.531408010093794,3.6158451993880365,44.89921453563129,0.5520822126787281,160,160,96,0,-0.0010364801438858522,-0.0027065140474436373,0.47980991301458475,0.4762875668370197,120.33576949500792
6299665,97,5,31,419,1,0.7045098880483273,0.6778453462375424,0.02525452902009326,0.0014100127906917627,9,8,9,8,0.7995091318282187,0.7995091318282187,40.78096876420637,0.45726954437115375,96,96,0,0,0.003012555191215196,0.003012555191215196,0.679255359028234,0.6764353334468507,119.7206773188906
6701905,457,5,7,419,1,0.0535226577191144,0.0229124528737084,0.0023516385238657833,0.0014128806521336117,0,8,8,9,25.8670801992152,21.513148266121487,15.88572979467191,0.10950602814007349,192,0,0,0,0.008968380885004911,-0.0002921300654196331,0.05117101919524862,0.021499572221574788,1426.8908158580136
2302105,13,5,331,107,1,0.5181275604438667,0.5579227903930755,0.038317643120493336,0.0014775868287154328,8,0,8,0,87.37607832824716,87.37607832824716,44.90167832757556,0.5521062366917732,160,160,96,0,1.7714316508162066e-05,1.7714316508162066e-05,0.4798099173233733,0.55644520356436,120.33053594146368
