lambda,features,k,auc_oos_mean,auc_oos_min,rmse_oos_mean,score_sparse
0.0,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.999832420382879
0.001,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.998832420382879
0.0025,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.9973324203828791
0.005,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.994832420382879
0.01,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.989832420382879
0.02,logM,1,0.999832420382879,0.9996471418489767,2.7509705283624832,0.979832420382879
