u,v,weight,contexts
11,23,119.33509864615469,59
11,47,119.33509864615469,59
11,59,119.33509864615469,59
11,71,119.33509864615469,59
23,47,119.33509864615469,59
23,59,119.33509864615469,59
23,71,119.33509864615469,59
47,59,119.33509864615469,59
47,71,119.33509864615469,59
59,71,119.33509864615469,59
11,83,102.84299884056786,54
23,83,102.84299884056786,54
47,83,102.84299884056786,54
59,83,102.84299884056786,54
71,83,102.84299884056786,54
11,107,83.89082515062427,47
23,107,83.89082515062427,47
47,107,83.89082515062427,47
59,107,83.89082515062427,47
71,107,83.89082515062427,47
83,107,83.89082515062427,47
11,131,65.68369373179667,38
23,131,65.68369373179667,38
47,131,65.68369373179667,38
59,131,65.68369373179667,38
71,131,65.68369373179667,38
83,131,65.68369373179667,38
107,131,65.68369373179667,38
11,167,48.95364407541979,31
23,167,48.95364407541979,31
47,167,48.95364407541979,31
59,167,48.95364407541979,31
71,167,48.95364407541979,31
83,167,48.95364407541979,31
107,167,48.95364407541979,31
131,167,48.95364407541979,31
11,179,47.19342320256768,30
23,179,47.19342320256768,30
47,179,47.19342320256768,30
59,179,47.19342320256768,30
71,179,47.19342320256768,30
83,179,47.19342320256768,30
107,179,47.19342320256768,30
131,179,47.19342320256768,30
167,179,47.19342320256768,30
11,191,42.29348537091139,28
23,191,42.29348537091139,28
47,191,42.29348537091139,28
59,191,42.29348537091139,28
71,191,42.29348537091139,28
83,191,42.29348537091139,28
107,191,42.29348537091139,28
131,191,42.29348537091139,28
167,191,42.29348537091139,28
179,191,42.29348537091139,28
11,227,32.92997336767385,23
11,239,32.92997336767385,23
23,227,32.92997336767385,23
23,239,32.92997336767385,23
47,227,32.92997336767385,23
47,239,32.92997336767385,23
59,227,32.92997336767385,23
59,239,32.92997336767385,23
71,227,32.92997336767385,23
71,239,32.92997336767385,23
83,227,32.92997336767385,23
83,239,32.92997336767385,23
107,227,32.92997336767385,23
107,239,32.92997336767385,23
131,227,32.92997336767385,23
131,239,32.92997336767385,23
167,227,32.92997336767385,23
167,239,32.92997336767385,23
179,227,32.92997336767385,23
179,239,32.92997336767385,23
191,227,32.92997336767385,23
191,239,32.92997336767385,23
227,239,32.92997336767385,23
11,251,30.81887007485176,22
23,251,30.81887007485176,22
47,251,30.81887007485176,22
59,251,30.81887007485176,22
71,251,30.81887007485176,22
83,251,30.81887007485176,22
107,251,30.81887007485176,22
131,251,30.81887007485176,22
167,251,30.81887007485176,22
179,251,30.81887007485176,22
191,251,30.81887007485176,22
227,251,30.81887007485176,22
239,251,30.81887007485176,22
11,263,27.81499764206497,20
23,263,27.81499764206497,20
47,263,27.81499764206497,20
59,263,27.81499764206497,20
71,263,27.81499764206497,20
83,263,27.81499764206497,20
107,263,27.81499764206497,20
131,263,27.81499764206497,20
167,263,27.81499764206497,20
179,263,27.81499764206497,20
191,263,27.81499764206497,20
227,263,27.81499764206497,20
239,263,27.81499764206497,20
251,263,27.81499764206497,20
11,311,21.16003073555126,16
23,311,21.16003073555126,16
47,311,21.16003073555126,16
59,311,21.16003073555126,16
71,311,21.16003073555126,16
83,311,21.16003073555126,16
107,311,21.16003073555126,16
131,311,21.16003073555126,16
167,311,21.16003073555126,16
179,311,21.16003073555126,16
191,311,21.16003073555126,16
227,311,21.16003073555126,16
239,311,21.16003073555126,16
251,311,21.16003073555126,16
263,311,21.16003073555126,16
11,347,17.338799390725427,14
11,359,17.338799390725427,14
23,347,17.338799390725427,14
23,359,17.338799390725427,14
47,347,17.338799390725427,14
47,359,17.338799390725427,14
59,347,17.338799390725427,14
59,359,17.338799390725427,14
71,347,17.338799390725427,14
71,359,17.338799390725427,14
83,347,17.338799390725427,14
83,359,17.338799390725427,14
107,347,17.338799390725427,14
107,359,17.338799390725427,14
131,347,17.338799390725427,14
131,359,17.338799390725427,14
167,347,17.338799390725427,14
167,359,17.338799390725427,14
179,347,17.338799390725427,14
179,359,17.338799390725427,14
191,347,17.338799390725427,14
191,359,17.338799390725427,14
227,347,17.338799390725427,14
227,359,17.338799390725427,14
239,347,17.338799390725427,14
239,359,17.338799390725427,14
251,347,17.338799390725427,14
251,359,17.338799390725427,14
263,347,17.338799390725427,14
263,359,17.338799390725427,14
311,347,17.338799390725427,14
311,359,17.338799390725427,14
347,359,17.338799390725427,14
11,383,14.829118236979326,12
23,383,14.829118236979326,12
47,383,14.829118236979326,12
59,383,14.829118236979326,12
71,383,14.829118236979326,12
83,383,14.829118236979326,12
107,383,14.829118236979326,12
131,383,14.829118236979326,12
167,383,14.829118236979326,12
179,383,14.829118236979326,12
191,383,14.829118236979326,12
227,383,14.829118236979326,12
239,383,14.829118236979326,12
251,383,14.829118236979326,12
263,383,14.829118236979326,12
311,383,14.829118236979326,12
347,383,14.829118236979326,12
359,383,14.829118236979326,12
11,419,12.980221573289178,11
11,431,12.980221573289178,11
11,443,12.980221573289178,11
11,467,12.980221573289178,11
11,479,12.980221573289178,11
11,491,12.980221573289178,11
11,503,12.980221573289178,11
23,419,12.980221573289178,11
23,431,12.980221573289178,11
23,443,12.980221573289178,11
23,467,12.980221573289178,11
23,479,12.980221573289178,11
23,491,12.980221573289178,11
23,503,12.980221573289178,11
47,419,12.980221573289178,11
47,431,12.980221573289178,11
47,443,12.980221573289178,11
47,467,12.980221573289178,11
47,479,12.980221573289178,11
47,491,12.980221573289178,11
47,503,12.980221573289178,11
59,419,12.980221573289178,11
59,431,12.980221573289178,11
59,443,12.980221573289178,11
59,467,12.980221573289178,11
59,479,12.980221573289178,11
59,491,12.980221573289178,11
59,503,12.980221573289178,11
71,419,12.980221573289178,11
71,431,12.980221573289178,11
71,443,12.980221573289178,11
71,467,12.980221573289178,11
71,479,12.980221573289178,11
71,491,12.980221573289178,11
71,503,12.980221573289178,11
83,419,12.980221573289178,11
83,431,12.980221573289178,11
83,443,12.980221573289178,11
83,467,12.980221573289178,11
83,479,12.980221573289178,11
83,491,12.980221573289178,11
83,503,12.980221573289178,11
107,419,12.980221573289178,11
107,431,12.980221573289178,11
107,443,12.980221573289178,11
107,467,12.980221573289178,11
107,479,12.980221573289178,11
107,491,12.980221573289178,11
107,503,12.980221573289178,11
131,419,12.980221573289178,11
131,431,12.980221573289178,11
131,443,12.980221573289178,11
131,467,12.980221573289178,11
131,479,12.980221573289178,11
131,491,12.980221573289178,11
131,503,12.980221573289178,11
167,419,12.980221573289178,11
167,431,12.980221573289178,11
167,443,12.980221573289178,11
167,467,12.980221573289178,11
167,479,12.980221573289178,11
167,491,12.980221573289178,11
167,503,12.980221573289178,11
179,419,12.980221573289178,11
179,431,12.980221573289178,11
179,443,12.980221573289178,11
179,467,12.980221573289178,11
179,479,12.980221573289178,11
179,491,12.980221573289178,11
179,503,12.980221573289178,11
191,419,12.980221573289178,11
191,431,12.980221573289178,11
191,443,12.980221573289178,11
191,467,12.980221573289178,11
191,479,12.980221573289178,11
191,491,12.980221573289178,11
191,503,12.980221573289178,11
227,419,12.980221573289178,11
227,431,12.980221573289178,11
227,443,12.980221573289178,11
227,467,12.980221573289178,11
227,479,12.980221573289178,11
227,491,12.980221573289178,11
227,503,12.980221573289178,11
239,419,12.980221573289178,11
239,431,12.980221573289178,11
239,443,12.980221573289178,11
239,467,12.980221573289178,11
239,479,12.980221573289178,11
239,491,12.980221573289178,11
239,503,12.980221573289178,11
251,419,12.980221573289178,11
251,431,12.980221573289178,11
251,443,12.980221573289178,11
251,467,12.980221573289178,11
251,479,12.980221573289178,11
251,491,12.980221573289178,11
251,503,12.980221573289178,11
263,419,12.980221573289178,11
263,431,12.980221573289178,11
263,443,12.980221573289178,11
263,467,12.980221573289178,11
263,479,12.980221573289178,11
263,491,12.980221573289178,11
263,503,12.980221573289178,11
311,419,12.980221573289178,11
311,431,12.980221573289178,11
311,443,12.980221573289178,11
311,467,12.980221573289178,11
311,479,12.980221573289178,11
311,491,12.980221573289178,11
311,503,12.980221573289178,11
347,419,12.980221573289178,11
347,431,12.980221573289178,11
347,443,12.980221573289178,11
347,467,12.980221573289178,11
