x,residual_smooth,fit,fit_residual,left_component,mid_component_negative,right_component,offset
1.0497879476432401,-0.0005350779956712765,0.0014435929092990352,-0.0019786709049703114,1.9283812130551474e-07,-4.600223019415814e-175,2.7409523510297506e-216,0.0014434000711777298
1.1397237703974998,-0.0011424184911240217,0.0014437753682325217,-0.0025861938593565435,3.7529705479199474e-07,-2.5399439677593997e-165,2.6735497662575453e-205,0.0014434000711777298
1.2296595931517598,0.00017064155494684902,0.001444115521376872,-0.001273473966430023,7.154501991421228e-07,-7.333401833468741e-156,1.3391705634902976e-194,0.0014434000711777298
1.3195954159060195,0.00037260288669640015,0.001444736068691091,-0.0010721331819946909,1.3359975133612722e-06,-1.1071919696235705e-146,3.44464405273956e-184,0.0014434000711777298
1.4095312386602792,0.0016652719299098395,0.0014458438048833176,0.00021942812502652193,2.4437337055878466e-06,-8.741308933986598e-138,4.550023538059031e-174,0.0014434000711777298
1.4994670614145391,0.0008870287139564073,0.001447778558497545,-0.0005607498445411376,4.378487319815137e-06,-3.608827379078788e-129,3.0863400204938284e-164,0.0014434000711777298
1.589402884168799,0.0009564887064486016,0.0014510845833336026,-0.000494595876885001,7.6845121558728e-06,-7.790975637068142e-121,1.075065023047156e-154,0.0014434000711777298
1.6793387069230588,-7.64411486428823e-06,0.0014566109130951588,-0.001464255027959447,1.3210841917428942e-05,-8.795361237596147e-113,1.923032081611242e-145,0.0014434000711777298
1.7692745296773185,0.001082681893097829,0.0014656468264762344,-0.00038296493337840534,2.2246755298504665e-05,-5.1922024027300014e-105,1.766441103195875e-136,0.0014434000711777298
1.8592103524315784,0.002297614004728164,0.0014800965883820909,0.0008175174163460731,3.669651720436097e-05,-1.6028232887399176e-97,8.332448324403515e-128,0.0014434000711777298
1.949146175185838,0.004184173517371633,0.0015026932871849694,0.002681480230186663,5.9293216007239733e-05,-2.587353518744004e-90,2.0183985766240348e-119,0.0014434000711777298
2.039081997940098,0.0032600894292570725,0.0015372442100417155,0.001722845219215357,9.384413886398568e-05,-2.184047087200622e-83,2.5107418902038386e-111,0.0014434000711777298
2.129017820694358,0.0023250464327102694,0.0015888894496182142,0.0007361569830920552,0.00014548937844048438,-9.640605696615372e-77,1.6038289222939493e-103,0.0014434000711777298
2.218953643448618,0.001161021514420566,0.001664341628956131,-0.0005033201145355651,0.00022094155777840124,-2.2252701443948232e-70,5.261079305520821e-96,0.0014434000711777298
2.3088894662028774,0.002406449726876132,0.0017720590664198651,0.0006343906604562668,0.00032865899524213546,-2.6859458917349835e-64,8.862423326424536e-89,0.0014434000711777298
2.398825288957137,0.004035017851642597,0.0019222899108076981,0.0021127279408348987,0.0004788898396299684,-1.69530512760219e-58,7.666391055387772e-82,0.0014434000711777298
2.488761111711397,0.004431959358991065,0.0021269145378109036,0.0023050448211801616,0.0006835144666331737,-5.5954444586991615e-53,3.4055736823294666e-75,0.0014434000711777298
2.5786969344656567,0.004024018763894531,0.002399012494389078,0.0016250062695054527,0.0009556124232113485,-9.657337306580591e-48,7.768737168675162e-69,0.0014434000711777298
2.6686327572199167,0.0023082514786329556,0.0027520932882241856,-0.00044384180959122993,0.001308693217046456,-8.715981693053364e-43,9.100629026795486e-63,0.0014434000711777298
2.7585685799741766,0.004033400634174921,0.0031989609892985413,0.0008344396448763799,0.0017555609181208118,-4.1134982409017885e-38,5.474610539099719e-57,0.0014434000711777298
2.8485044027284365,0.0046679525713718755,0.0037502319530437435,0.0009177206183281321,0.002306831881866014,-1.0151785201591226e-33,1.6912035513448805e-51,0.0014434000711777298
2.938440225482696,0.006225473620665055,0.00441258996798548,0.0018128836526795757,0.0029691898968077497,-1.3101156118063825e-29,2.6828683975386453e-46,0.0014434000711777298
3.0283760482369555,0.004829242390525553,0.005186935877748567,-0.00035769348722301374,0.0037435358065708367,-8.84123473614146e-26,2.1855648264253577e-41,0.0014434000711777298
3.1183118709912154,0.005745732587921055,0.0060666566577013215,-0.00032092406978026684,0.004623256586523592,-3.119983651616673e-22,9.143002755695908e-37,0.0014434000711777298
3.2082476937454754,0.0059631830459793336,0.007036286376320945,-0.0010731033303416114,0.005592886305143216,-5.757418686916e-19,1.9641508699868408e-32,0.0014434000711777298
3.2981835164997353,0.007643502129721812,0.008070842639280582,-0.0004273405095587693,0.006627442568103407,-5.555707918229795e-16,2.1668141935874047e-28,0.0014434000711777298
3.388119339253995,0.008616946507511637,0.009136084962779217,-0.0005191384552675794,0.007692684891881829,-2.8034130801371597e-13,1.2275221425925698e-24,0.0014434000711777298
3.4780551620082547,0.01032369353633632,0.010189851687658147,0.000133841848678172,0.008746451690453018,-7.397259988174674e-11,3.571065639770874e-21,0.0014434000711777298
3.567990984762514,0.010560279393627265,0.011184486426873957,-0.0006242070332466917,0.00974109656252356,-1.020682733740985e-08,5.3349108474711055e-18,0.0014434000711777298
3.657926807516774,0.010231411692369765,0.012069543785864549,-0.001838132093494784,0.010626880170591529,-7.364559088013561e-07,4.092769953841151e-15,0.0014434000711777298
3.747862630271034,0.010250235701904494,0.012771621695525863,-0.0025213859936213685,0.01135600844169325,-2.7786818957501408e-05,1.6123834726125405e-12,0.0014434000711777298
3.837798453025294,0.01307616753239149,0.012782037955093762,0.0002941295772977276,0.011886872875331843,-0.0005482353176129713,3.2619716049555226e-10,0.0014434000711777298
3.927734275779554,0.01456502213068325,0.007975122905720397,0.006589899224962852,0.012187973964830902,-0.005656285018827523,3.3888539289038176e-08,0.0014434000711777298
4.017670098533814,-0.019347284856003316,-0.016830062417623,-0.0025172224383803177,0.012241014313603046,-0.030516284752164592,1.8079497608139366e-06,0.0014434000711777298
4.107605921288073,-0.0721497968001595,-0.07255738643110911,0.00040758963094961187,0.012042739217593627,-0.0860930571310863,4.953141120583319e-05,0.0014434000711777298
