run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,257351350360183165042624241123,44149,44012,4,4
2,718051135111619026089311375811,1283,1309,5,5
3,515287974287815524416779101401,2916,859,2,2
4,999354470594604002763375712477,62957,229671,5,5
5,428040776675817545052035641083,1976602,1975628,4,4
6,124855873542643910929444536991,8194,1279,6,6
7,646103617970947564142306876055,13515,17306,6,6
8,897349965102253466788559289223,44117,31630,5,5
9,619087280860403976681576959883,3974,7698,7,7
10,287724681595125546082890455209,41173,102608,3,3
11,454515030493355694679192710199,784,892,2,2
12,488302218886544559228800093163,7993,1844,3,3
13,605438535955602238300829462259,1949751,2000622,3,3
14,817876048654436599568706247007,22994,51299,6,6
15,351662362793610803212692288185,1913230,1910198,4,4
16,227534726973516741176032268803,49094,67358,5,5
17,553514622725109754854559290147,2161,1478,7,7
18,228455747549846487838935600101,4210,1142,2,2
19,775973419644547845415479672109,3033,800,1,1
20,624822784001773277719225773757,11030,9000,5,5
21,131792146860232511875028619779,958,1040,4,4
22,778800036165204815685150061645,67783,56157,5,5
23,690427509510818487212226670875,3841,4933,9,9
24,380210073810789891412035230141,1994140,1984223,3,3
25,966971006802183034150260382901,2168628,2146361,2,2
26,158806256572383289784801986457,1148,1371,3,3
27,922311970564594061593230346929,116761,96433,5,5
28,929735684193554745996065721475,4307,1763,4,4
29,557369339308057877349637626895,2785,860,4,4
30,596247553079177177550344106783,53876,28599,7,7
31,198563790043046783816849768511,2116489,2117492,2,2
32,356848943284087424831552407615,2060375,2062709,3,3
33,663791708166235554222128296833,6327,9009,3,3
34,540189564180216693510905356791,2014367,2021314,4,4
35,512552196883073826728054695029,2102877,2103527,3,3
36,231525479184566496875280793579,7668,10312,5,5
37,380083313450181826630161629313,5413,3985,3,3
38,372864697485096515934076930499,2877,755,2,2
39,485177064745209313821900633519,4618,7807,5,5
40,391588483911125114918206714921,352322,411659,3,3
41,308199579192478980424664077505,88487,38644,5,5
42,925784935240534467506772738203,1849437,1810642,2,2
43,328327949700174282750679991949,67388,53738,8,8
44,929032665589110784843856119523,299787,134905,3,3
45,309666743401637361788820361167,847343,1804609,5,4
46,528603517488661609002371733801,1958993,1955094,4,4
47,649222558047880024251241428971,3834,4937,6,6
48,281349948202442185981323256629,5055,4808,5,5
49,794348077502532732182162932247,2994,756,1,1
50,559610631783840356860834879885,723,841,4,4
51,374675885724188270320858300281,10806,10531,8,8
52,431986356901040479644102885577,16794,12268,6,6
53,290386203794574452985869967991,2236,2315,4,4
54,331711748404802759768979189763,6693,9031,2,2
55,737759207970362042492307623865,11764,7574,6,6
56,416047565834488414992349257433,1717492,1829215,4,3
57,257640171554714344100633289763,17806,23478,4,4
58,793553741647874202612636417491,2696,774,1,1
59,340616169621733573786166148487,2911,811,3,3
60,501567345209611813345805567135,1965153,1973691,3,3
61,966738856361960006570231598327,1535,3232,5,5
62,348582335455600743507292428769,4440,8581,5,5
63,370299306717255198897143526659,2000666,1996279,3,3
64,544990428840053282293251476063,3267,2067,4,4
65,500875191210681342483235660803,75288,21283,6,6
66,777372029622215136696956146733,324914,160448,3,3
67,416441637685260370007754491571,687,881,3,3
68,440724846999861510360417016315,836,1294,6,6
69,452975739243216975978993670635,1562,1918,7,7
70,441966900546202980439216265167,2090,7657,3,3
71,133103692432339675375227830021,1841427,1834842,2,2
72,750934568904638980140464971727,863,1223,5,5
73,264938136451222329762661136699,1778,2482,3,3
74,185947397410355979375955513805,2002039,1993806,3,3
75,969344007411825278502935356985,6175,6792,5,5
76,982869653248151188784583207319,946,1034,3,3
77,893826697742163501218349482463,1104023,507696,5,5
78,691133859638993555977414875885,2095602,2055589,5,5
79,955846667958449196311763543341,4460,3782,3,3
80,250758043895985306709587866395,2654,712,3,3
81,196537900719311734434346297349,3941,2554,4,4
82,590066431714950920924795140977,9472,5100,6,6
83,100841375703174017873573906341,24133,32417,3,3
84,612689799475893980162758330293,2163,1800,5,5
85,589267375867383894003720791403,50744,26998,6,6
86,288277524157734621702884014197,38787,45722,7,7
87,459739342657755109351498235215,3221,2789,7,7
88,476628738875004641308844323625,56652,45481,9,9
89,960650630789004031219207458413,3665,987,2,2
90,890521333140047824442708082511,3009,4189,6,6
91,233781168643250077277088182381,1877337,1874362,3,3
92,497126244618951278911731943747,8630,29235,3,3
93,466750398559538044834503776481,4426,2028,4,4
94,300515775516732962170409628479,4377,7778,2,2
95,978971396898838916726993545541,22488,9321,5,5
96,869287587955496704806706641975,60505,97514,5,5
97,767769800800748831084510566841,2035134,2104977,3,3
98,282741371764478586289768256633,2077305,2071307,2,2
99,819250691694738066455048666301,30589,51238,4,4
100,295175946514202685833147428217,9302,10687,5,5
