,Kategorie,Anzahl,Mittel_C_orbit,Mittel_P2_norm,Median_P2_norm,Mittel_V_eff,Median_V_eff
3,klassischer Drilling,200,2.0,0.0006190062518316437,1.1795841156593413e-09,-1.9938099374816836,-1.9999999882041588
1,gedehnter Drilling,672,2.0,0.024778217659868207,4.829221696789672e-07,-1.752217823401318,-1.9999951707783032
4,klassischer Vierling,200,3.0,0.0009459130204401582,4.460033025308911e-11,-2.9905408697955984,-2.9999999995539968
2,gedehnter Vierling,123,3.0,0.08552473229798936,1.0997954772290211e-08,-2.144752677020106,-2.9999998900204523
0,degenerierte Restform,23,1.308695652173913,0.07272239720912396,0.06837857342576432,-0.5814716800826735,-0.8
