bits,n,sigma,ring,use_sigma,dir_kind,dir_count,lambdas,base_samples,T,S,score,use_score,B,neighbor_safety,shadow,success_prefilter,factor_prefilter,rank_hit,tested,t_prefilter,success_pipeline,factor_pipeline,t_total,fallback_used
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.03316807746887207,True,2264329411,0.04140210151672363,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.03275918960571289,True,2393143409,0.047258853912353516,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.011410951614379883,True,2264329411,0.035491943359375,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.14270377159118652,True,2393143409,0.1619870662689209,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.14521193504333496,True,2393143409,0.1495811939239502,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.1583857536315918,True,2393143409,0.22751998901367188,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03328585624694824,True,2393143409,0.08086204528808594,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017343997955322266,True,2393143409,0.1445770263671875,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.011868000030517578,True,2393143409,0.03479290008544922,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.017452001571655273,True,2393143409,0.0344851016998291,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.01128697395324707,True,2393143409,0.07596111297607422,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.03778386116027832,True,2393143409,0.04296588897705078,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.032401084899902344,True,2264329411,0.05509328842163086,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.037286996841430664,True,2393143409,0.06268024444580078,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.01674509048461914,True,2393143409,0.02632904052734375,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.1469879150390625,True,2264329411,0.16305994987487793,True
64,5418865005739502099,C,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.14530181884765625,True,2393143409,0.17032980918884277,True
64,5418865005739502099,C,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.14731621742248535,True,2264329411,0.16713190078735352,True
64,5418865005739502099,C,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.03812718391418457,True,2393143409,0.050752878189086914,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.007873058319091797,True,3862223633,0.06082010269165039,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.006559133529663086,True,4250375849,0.10023713111877441,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.008594036102294922,True,3862223633,0.05451393127441406,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.008389711380004883,True,4250375849,0.01819014549255371,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.011933088302612305,True,4250375849,0.02309393882751465,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.010550975799560547,True,3862223633,0.01825094223022461,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.01314401626586914,True,3862223633,0.03060603141784668,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.011651992797851562,True,3862223633,0.05909562110900879,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03227591514587402,True,4250375849,0.05683302879333496,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,1000,True,False,False,,,1000,0.032646894454956055,True,3862223633,0.11179804801940918,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03396201133728027,True,3862223633,0.154433012008667,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,1000,True,False,False,,,1000,0.03267621994018555,True,3862223633,0.04187369346618652,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.011430978775024414,True,4250375849,0.02774190902709961,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,50,True,False,False,,,50,0.006272077560424805,True,4250375849,0.053279876708984375,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.011929035186767578,True,4250375849,0.06891107559204102,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,50,True,False,False,,,50,0.011864185333251953,True,4250375849,0.08917927742004395,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.015861034393310547,True,4250375849,0.02639627456665039,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,200,True,False,False,,,200,0.010469198226928711,True,3862223633,0.027564048767089844,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.015455007553100586,True,3862223633,0.022517919540405273,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,200,True,False,False,,,200,0.01677417755126953,True,3862223633,0.1614971160888672,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.04836893081665039,True,3862223633,0.06322622299194336,True
64,16415902053140239417,E,gaussian,True,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,False,1000,True,False,False,,,1000,0.05747675895690918,True,3862223633,0.1056981086730957,True
64,16415902053140239417,E,gaussian,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.0592648983001709,True,3862223633,0.0922539234161377,True
64,16415902053140239417,E,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,phase,True,1000,True,False,False,,,1000,0.04894709587097168,True,4250375849,0.07864594459533691,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.013996124267578125,True,3895696853,0.024253129959106445,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,50,True,False,False,,,50,0.012877941131591797,True,3895696853,0.0944678783416748,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.01444101333618164,True,4162225801,0.02515578269958496,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,50,True,False,False,,,50,0.009046077728271484,True,4162225801,0.03492999076843262,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.0368199348449707,True,3895696853,0.08551812171936035,True
64,16214769954431104253,A,eisenstein,True,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,False,200,True,False,False,,,200,0.03472590446472168,True,3895696853,0.048795223236083984,True
64,16214769954431104253,A,eisenstein,True,surrogate,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.034388065338134766,True,4162225801,0.05695605278015137,True
64,16214769954431104253,A,gaussian,False,e8,240,"1,2,3,5,8,13,21",10,50,50,l1,True,200,True,False,False,,,200,0.012274980545043945,True,3895696853,0.022227764129638672,True
