sigma,corr,rmse,mae
0.25,0.6911130301905858,1.257458438691414,1.1799490768507457
0.5,0.8494807527855113,1.288236174304319,1.2304739885306166
0.75,0.8975005753415478,1.5285718920858162,1.5162947434462357
1.0,0.9563001264880184,2.1773088585156435,2.138079455240603
1.5,0.9937869862689571,5.078079806861479,4.754507183663215
2.0,0.9935778619479079,9.923046589307134,9.116771986591642
