n,Omega_standard,Omega_resonance,S_entropy
10.0,6.239695839739665,6.26409642388239,1.151292546497023
10.115911122238298,6.135073305275504,6.161937816683839,1.1570547714544654
10.233165783302448,6.032152816272422,6.061406189045878,1.162816996411908
10.351779556301762,5.9309087695276155,5.962466437815063,1.1685792213693504
10.471768194855203,5.831315861487557,5.86508379415286,1.1743414463267932
10.5931476351837,5.733349088499541,5.769223863180827,1.1801036712842357
10.715933998226712,5.63698374685294,5.674852665074756,1.1858658962416782
10.84014359178331,5.5421954326214635,5.581936677516603,1.1916281211991206
10.965792912678099,5.448960041317221,5.49044287939691,1.1973903461565634
11.092898648952227,5.35725376736704,5.4003387956439495,1.2031525711140059
11.221477682079803,5.267053103420997,5.3115925430387225,1.2089147960714484
11.35154708920999,5.178334839502673,5.224172876857521,1.2146770210288909
11.483124145435111,5.091076062010257,5.138049238166118,1.2204392459863336
11.616226326085018,5.005254152577267,5.053191801571792,1.226201470943776
11.750871309048076,4.9208467868012224,4.969571523221378,1.2319636959012186
11.887076977119033,4.837831932848288,4.887160188815618,1.237725920858661
12.024861420374123,4.756187849941501,4.805930461392223,1.2434881458161038
12.164242938573679,4.675893086739951,4.725855928612594,1.2492503707735463
12.305240043592615,4.596926479615864,4.646911149269931,1.2550125957309888
12.447871461879062,4.5192671508362965,4.569071698719935,1.2607748206884315
12.59215613694151,4.442894506655809,4.492314212919475,1.266537045645874
12.738113231864785,4.367788235326235,4.416616430743638,1.2722992706033165
12.88576213185518,4.293928305029375,4.3419572342377775,1.278061495560759
13.03512244681509,4.221294961738154,4.26831668644857,1.2838237205182017
13.186214013947485,4.149868727011573,4.195676066467054,1.2895859454756442
13.339056900390586,4.079630395728514,4.12401790130724,1.2953481704330867
13.493671405883065,4.010561033765218,4.053325994236418,1.3011103953905292
13.650078065460137,3.9426419756210676,3.983585449167952,1.306872620347972
13.808297652180924,3.875854821997038,3.9147826907244125,1.3126348453054144
13.968351179887398,3.8101814373310114,3.8469054795784876,1.318397070262857
14.130259905995336,3.745603947293954,3.77994292268161,1.3241592952202994
14.29404533431761,3.6821047362507198,3.7138854779956922,1.3299215201777421
