group,metric,n,mean,min,max,stdev
fit,entropy,11046,1.189817371255874,0.6931471805599453,1.3860619688560958,0.13904544107117484
fit,concentration,11046,0.32621895212620583,0.2501171513393893,0.5,0.05131298928391536
fit,balance,11046,0.19771014672042364,0.0,0.9518143961927424,0.19174538045187708
fit,kappa,11046,995.9385549575284,0.5,1922.5566077552317,407.3172551702582
nonfit,entropy,77685,0.8324294884688219,0.0013974358021846822,1.3310706600537845,0.2670254812764203
nonfit,concentration,77685,0.5301922645188495,0.28053023228944496,0.9997166336129442,0.15914763783344024
nonfit,balance,77685,0.045442914467096515,0.0,0.48736205055179777,0.06683619391962038
nonfit,critical_value,77685,2.222909904567307,1.57093805015138,3.1415740726443677,0.40997990913602667
nonfit,critical_gap,77685,0.9186827490224863,1.85809454253949e-05,1.570654603438413,0.40997990913602667
