run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,5372635754555660928361416450116014796007776431191224572808908095812365,439857,274645,3,3
2,8179784606197265828664819200281468987279985152021298226965610772662261,5965040,5833331,4,4
3,5161894440766039194468986640803435664581971849698286400272968668279137,7451502,7490264,3,3
4,3934947143181525831627718324859446737379069744248284285295348223974309,8151808,8234210,3,3
5,2958217104568167331867410500761709912427664803398224955437264732660819,8035447,8124833,3,3
6,9264295210132491026733883032967344901574589086369253652378564850990993,21584,13077,3,3
7,8294503213086824254981731564847522966014567045155695883573740914636323,8215886,8294168,3,3
8,9104536746790783816336539411604757359203849673093577821693812885423319,7549044,7552827,3,3
9,1563353620467535290851414537131917867592841833794155688160780651850911,7409016,7444799,5,5
10,8541582621580781107433223916928938398302096170927112020918830887403339,5941365,5929404,5,5
11,4257861144173487493712319847081079597647718820094104098407246440204979,8359175,8305490,3,3
12,9205192216105365809377617851259914598144524999176326548105633488094051,8722772,8693428,1,1
13,6561238468456771022988172944798062167461692701230081074494280041824271,8715964,8669386,1,1
14,9703679562535069322405022898932550437284943020651805212690204099224627,443813,453278,6,6
15,9113806868451568580635994132005648766523142381060058081840453449273115,8603341,8548546,2,2
16,6170976394964008015647154344736225384989854959765485249785456393585941,7519304,7342215,4,4
17,6611223277191995586343148095874462412337140380475205822532598968267609,7786959,7848913,2,2
18,4969556494377082602039933704008878300091613113024058747465197182870543,9973927,8145994,6,5
19,2032093013272778975244665821635098803030836116521571461499151294641049,5456970,5535376,7,7
20,2548038092744018742437737127117668228349365178035891367947241000131429,5746493,6010227,4,4
21,6202097259879209346763376841027825897601819403431103141958002808830051,7455696,6334919,4,4
22,9026173114140209901245432758673213379966667139924658584350738233806099,171424,219998,6,6
23,5684751145219201251689034062826281691170522179345805487888999436289197,7614704,7634230,4,4
24,4363260944748020983508115421635052802376883189033362985575343874804481,7505954,7420703,5,5
25,7077179790009473302134767868312375039208188943245246513798009816857071,7253256,7263277,4,4
26,7277399034462121162588692705276106168561442096332159642991518842652235,8254,4279,2,2
27,1713177938423593995613067407973946485792280120560679934102940194658293,9940177,7898631,4,3
28,6090187528967474549283190596325452030046893186605949900513820988970675,6973465,6968667,9,9
29,9028602221157446089798472644997831290841071943030225675955306702592885,8202746,8214676,3,3
30,1509727677995914909266066561535030592442486229212113008892502060787717,8564278,14760902,1,2
