T_K,Korrelation
1.000000000000000000e+02,9.622972541659464973e-02
1.498327759197324553e+02,2.402997638493670207e-02
1.996655518394648823e+02,8.017187994913063664e-02
2.494983277591973092e+02,-2.199296203324322407e-01
2.993311036789297646e+02,-2.475560217323998224e-01
3.491638795986622199e+02,1.829756531647178663e-01
3.989966555183946184e+02,-1.485829612272278333e-01
4.488294314381270738e+02,1.001856176902435058e-01
4.986622073578595291e+02,2.707233495899170617e-01
5.484949832775919276e+02,7.572295773421339193e-02
5.983277591973244398e+02,1.467096001562404883e-01
6.481605351170568383e+02,-2.947421842519726276e-01
6.979933110367892368e+02,-4.920643310268789372e-02
7.478260869565217490e+02,1.361747653717065576e-01
7.976588628762541475e+02,1.166392143636095086e-01
8.474916387959866597e+02,1.944425805584707734e-01
8.973244147157190582e+02,-1.892614793829027198e-01
9.471571906354514567e+02,-3.788143052925158766e-02
9.969899665551839689e+02,9.731849579310672960e-01
1.046822742474916367e+03,8.723867259800384064e-03
1.096655518394648880e+03,-1.212610662568046477e-01
1.146488294314381164e+03,-1.395338905255457396e-01
1.196321070234113677e+03,-5.201954322969496586e-02
1.246153846153846189e+03,-1.514887104435348915e-02
1.295986622073578474e+03,2.426730947186893014e-02
1.345819397993310986e+03,-2.739474384188883820e-03
1.395652173913043498e+03,1.967893725041596278e-02
1.445484949832776010e+03,4.146254388885921988e-03
1.495317725752508295e+03,-2.471546755198126069e-02
1.545150501672240807e+03,-4.766054317056795525e-02
1.594983277591973319e+03,-1.091457840622122311e-01
1.644816053511705604e+03,-1.675579605403172412e-01
1.694648829431438116e+03,-5.673908490788243109e-02
1.744481605351170629e+03,5.061133488048100842e-02
1.794314381270902913e+03,1.283930546456981681e-01
1.844147157190635426e+03,1.872567777061349970e-01
1.893979933110367938e+03,1.917716459053792066e-01
1.943812709030100223e+03,1.100826471934467365e-01
1.993645484949832735e+03,2.908291938267864446e-02
2.043478260869565247e+03,3.835713293760203285e-02
2.093311036789297759e+03,4.380069245506025555e-02
2.143143812709030044e+03,-3.390956970980331386e-02
2.192976588628762329e+03,-1.417702846138352291e-01
2.242809364548495068e+03,-2.027094065520482769e-01
2.292642140468227353e+03,-1.692391913432652051e-01
2.342474916387959638e+03,-1.357569098446983202e-01
2.392307692307692378e+03,-1.092572914226247471e-01
2.442140468227424662e+03,-5.977659617484822052e-02
2.491973244147156947e+03,-2.822803317268410359e-03
2.541806020066889687e+03,3.802665295880382906e-02
2.591638795986621972e+03,8.777010603909816966e-02
2.641471571906354711e+03,1.105725349591948764e-01
2.691304347826086996e+03,1.159691202597987747e-01
2.741137123745819281e+03,1.130027523890693580e-01
2.790969899665552020e+03,8.486004475493391652e-02
2.840802675585284305e+03,3.649793104451195397e-02
2.890635451505016590e+03,-5.876780497382727737e-03
2.940468227424749330e+03,5.998482101709837026e-03
2.990301003344481614e+03,5.122847743435478968e-02
3.040133779264213899e+03,7.961289756941465623e-02
3.089966555183946639e+03,8.473762563283811222e-02
3.139799331103678924e+03,7.606611696171060311e-02
3.189632107023411209e+03,6.783941035451325485e-02
3.239464882943143948e+03,4.850640462520393326e-02
3.289297658862876233e+03,1.309664620694872550e-02
3.339130434782608518e+03,-4.146236120675972359e-02
3.388963210702341257e+03,-9.958846023877954146e-02
3.438795986622073542e+03,-1.389141432942790078e-01
3.488628762541805827e+03,-1.420183786047830021e-01
3.538461538461538566e+03,-1.108856628950822959e-01
3.588294314381270851e+03,-7.264442912862673074e-02
3.638127090301003136e+03,-4.678782452100632705e-02
3.687959866220735876e+03,-3.626794885206693908e-02
3.737792642140468161e+03,-2.811530033559712233e-02
3.787625418060200445e+03,-1.522353909046469944e-02
3.837458193979933185e+03,-8.459152636972751618e-03
3.887290969899665470e+03,-2.445117124004516848e-03
3.937123745819397755e+03,1.370909703259406889e-03
3.986956521739130494e+03,6.382850957189813330e-03
4.036789297658862779e+03,1.248416905824451494e-02
4.086622073578595518e+03,5.121296401611394322e-03
4.136454849498328258e+03,-2.741924776626737063e-03
4.186287625418060088e+03,-7.045147601353649036e-03
4.236120401337792828e+03,2.294672905416678902e-03
4.285953177257524658e+03,2.681512557895905993e-02
4.335785953177257397e+03,4.771479373132297280e-02
4.385618729096990137e+03,6.767387277517153410e-02
4.435451505016721967e+03,7.656710155122942174e-02
4.485284280936454707e+03,8.137674383208422235e-02
4.535117056856187446e+03,8.903995413608066511e-02
4.584949832775919276e+03,8.807233507775506787e-02
4.634782608695652016e+03,9.000102826181406723e-02
4.684615384615384755e+03,8.530308830219497651e-02
4.734448160535116585e+03,8.285982279233534975e-02
4.784280936454849325e+03,8.591139344705736591e-02
4.834113712374582065e+03,8.577911895824917587e-02
4.883946488294313895e+03,8.798960465052856061e-02
4.933779264214046634e+03,8.066158051915514604e-02
4.983612040133779374e+03,6.858050157378042799e-02
5.033444816053512113e+03,5.410862069794049323e-02
5.083277591973243943e+03,3.527339217833088542e-02
5.133110367892976683e+03,1.633184467765797301e-02
5.182943143812709422e+03,-9.734816062424964805e-03
5.232775919732441253e+03,-4.276717403748994673e-02
5.282608695652173992e+03,-8.147452600141004420e-02
5.332441471571906732e+03,-1.169657220859691843e-01
5.382274247491638562e+03,-1.459609508286462409e-01
5.432107023411371301e+03,-1.578657942154382821e-01
