train_A,test_A,width,n_test,primes_test,auc_resid_mult_signed,auc_resid_mult_sieve_signed,delta_auc_signed
1000000,10000000,300,301,14,1.0,0.8451966152314584,-0.1548033847685416
1000000,100000000,300,301,17,0.9922328086164043,0.9141466445733223,-0.078086164043082
1000000,10000000,3000,3001,187,0.9877398720682303,0.8861631491131052,-0.1015767229551251
1000000,100000000,3000,3001,167,0.994746216811261,0.9452203567459295,-0.04952586006533144
1000000,10000000,10000,10001,614,0.992223287525301,0.9849467816916387,-0.007276505833662239
1000000,100000000,10000,10001,551,0.9969312169312169,0.9922222222222222,-0.004708994708994663
