pair_index,p_start,q_start,start_gap,Qp,Qq,sig_p,sig_q,sig_8,p_mod12,q_mod12,p_mod420,q_mod420,P_E,P_A,P_B,P_C,n_E,n_A,n_B,n_C,log_P_EAB,log_P_CE,log_raw_sqrt_EAB_times_CE,shadow_center_mu_geomean,shadow_start_mu_minus_4,root_1,root_2,root_3,root_4,poly_c4,poly_c3,poly_c2,poly_c1,poly_c0,projected_quad_start,projection_distance,projected_quad,projected_mod12,projected_mod420,projection_equals_left,projection_equals_right,projection_between_pair,model_note,p_mod60,q_mod60,R_11_47,energy_level,u_E,u_A,u_B,u_C,E_diag,E_1,E_2,Ptolemy_defect,Ptolemy_energy_norm,log_mu,log_projection_distance,E_EAB_minus_CE,A_EAB_CE_norm
15,15731,16061,330,"(15731,15733,15737,15739)","(16061,16063,16067,16069)",CEAB,ABCE,CEABABCE,11,5,191,101,252813577,252751957,252815557,252749977,2,2,2,2,58.04425284105531,38.696074250148015,48.37016354560166,15899.337316311048,15895.337316311048,15895.337316311048,15897.337316311048,15901.337316311048,15903.337316311048,1.0,-63597.34926524419,1516733542.587046,-16076705051054.254,6.3902236607499096e+16,15731,164.3373163110482,"(15731,15733,15737,15739)",11,191,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,19.348162925282175,19.34791915866376,19.34817075710937,19.34791132486584,6.135295157878917e-11,6.324092071242323e-08,6.330227366400202e-08,-1.2648184142484646e-07,0.9990307938715686,9.67403270912033,5.107987728357662,19.348178590907295,0.20000116986028507
16,16061,18041,1980,"(16061,16063,16067,16069)","(18041,18043,18047,18049)",ABCE,ABCE,ABCEABCE,5,5,101,401,290029381,289756501,289824709,289961149,2,2,2,2,58.45483111258777,38.97075029261063,48.7127907025992,17027.04328437803,17023.04328437803,17023.04328437803,17025.04328437803,17029.04328437803,17031.04328437803,1.0,-68108.17313751212,1739521198.0484977,-19745934701455.445,8.405371831384402e+16,16061,962.043284378029,"(16061,16063,16067,16069)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,19.485492789606003,19.4845514765157,19.484786846466065,19.485257503004632,4.984145564752128e-07,4.4303516078947954e-07,5.5379395685733296e-08,0.0,0.0,9.74255814051984,6.870098358221072,19.484080819977137,0.19998937177435733
17,18041,18911,870,"(18041,18043,18047,18049)","(18911,18913,18917,18919)",ABCE,CEAB,ABCECEAB,5,11,401,11,341360737,341281597,341355517,341286817,2,2,2,2,58.94510391196589,39.29668414314128,49.12089402755358,18475.09347808892,18471.09347808892,18471.09347808892,18473.09347808892,18477.09347808892,18479.09347808892,1.0,-73900.37391235569,2047974454.144743,-25224345828039.016,1.1650553336087504e+17,18041,430.093478088922,"(18041,18043,18047,18049)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,19.648450355852702,19.648218492118467,19.648435063994718,19.64823378728857,2.33891569086813e-10,4.666876870177447e-08,4.690266027086128e-08,-9.333753740354894e-08,0.9950132557996477,9.824178805510716,6.066324953104488,19.64841976882461,0.2000006327022788
18,18911,19421,510,"(18911,18913,18917,18919)","(19421,19423,19427,19429)",CEAB,ABCE,CEABABCE,11,5,11,101,367460677,367387057,367463737,367383997,2,2,2,2,59.166188567941234,39.444045041897624,49.30511680491943,19168.49569220635,19164.49569220635,19164.49569220635,19166.49569220635,19170.49569220635,19172.49569220635,1.0,-76673.98276882542,2204587342.612801,-28172414808817.54,1.3500569930115517e+17,18911,253.49569220635385,"(18911,18913,18917,18919)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,19.722126869531568,19.721926501491115,19.72213519691855,19.721918172366053,6.935984762264121e-11,4.348478431415035e-08,4.355414416177299e-08,-8.69695686283007e-08,0.9984075029148772,9.861023360983888,5.539283909349695,19.72214352604361,0.20000098168387087
19,19421,21011,1590,"(19421,19423,19427,19429)","(21011,21013,21017,21019)",ABCE,CEAB,ABCECEAB,5,11,101,11,408261577,408171157,408252037,408180697,2,2,2,2,59.48201107328176,39.654639166164614,49.568325119723184,20204.588760344966,20200.588760344966,20200.588760344966,20202.588760344966,20206.588760344966,20208.588760344966,1.0,-80818.35504137987,2449352421.847949,-32992105069606.16,1.6664797473511722e+17,19421,779.5887603449664,"(19421,19423,19427,19429)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,11,0,neutral_0,19.827418647036783,19.827197146852864,19.827395279392114,19.82722051912783,5.461550165349342e-10,3.870943068040914e-08,3.925558569694408e-08,-7.741886136081829e-08,0.9860872024493205,9.913665023944638,6.660048455904659,19.827371907117147,0.20000042223766662
20,21011,22271,1260,"(21011,21013,21017,21019)","(22271,22273,22277,22279)",CEAB,CEAB,CEABCEAB,11,11,11,11,468022549,468195709,468282301,467935981,2,2,2,2,59.89300586172794,39.927869086135054,49.910437473931495,21635.42928868342,21631.42928868342,21631.42928868342,21633.42928868342,21637.42928868342,21639.42928868342,1.0,-86541.71715473368,2808550783.033722,-40509467336390.24,2.191099243387575e+17,21011,620.4292886834191,"(21011,21013,21017,21019)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,11,-2,cold_-2,19.964027034345154,19.964396948092286,19.964581879290503,19.9638420517899,3.0788140857159726e-07,2.736723629793648e-07,3.420904559223249e-08,-6.617444900424222e-24,1.074674325274393e-17,9.982087494786299,6.432022129229954,19.96513677559289,0.20000963511911504
21,22271,25301,3030,"(22271,22273,22277,22279)","(25301,25303,25307,25309)",CEAB,ABCE,CEABABCE,11,5,11,101,563707357,563630377,563725537,563612197,2,2,2,2,60.45003309341764,40.29992278322459,50.37497793832111,23741.873622875097,23737.873622875097,23737.873622875097,23739.873622875097,23743.873622875097,23745.873622875097,1.0,-94967.4944915004,3382059358.7474337,-53530949953845.74,3.177312565423987e+17,22271,1466.8736228750968,"(22271,22273,22277,22279)",11,11,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",11,41,0,neutral_0,20.15004580423504,20.149909234691066,20.15007805449153,20.14987697898955,1.0402546471057575e-09,2.74607896101794e-08,2.8501044257285158e-08,-5.49215792203588e-08,0.9635011742827683,10.074995587664223,7.291570117508936,20.15011031019305,0.2000011824805636
22,25301,31721,6420,"(25301,25303,25307,25309)","(31721,31723,31727,31729)",ABCE,ABCE,ABCEABCE,5,5,101,221,803029261,802573021,802687069,802915189,2,2,2,2,61.51071060516908,41.00766135949803,51.259185982333555,28334.550266567,28330.550266567,28330.550266567,28332.550266567,28336.550266567,28338.550266567,1.0,-113338.201066268,4817080412.851671,-90993203975106.0,6.44562869958689e+17,25301,3029.550266566999,"(25301,25303,25307,25309)",5,101,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,20.503901710848623,20.503333400729243,20.503475493591207,20.50375964864941,1.816742195131252e-07,1.6148819505005572e-07,2.018602446306948e-08,-6.617444900424222e-24,1.8212393916314964e-17,10.251837196466711,8.01649948814274,20.50304924567105,0.19999390209529871
23,31721,34841,3120,"(31721,31723,31727,31729)","(34841,34843,34847,34849)",ABCE,ABCE,ABCEABCE,5,5,221,401,1105723921,1105191361,1105324489,1105590769,2,2,2,2,62.47045520784718,41.64741175116769,52.05893347950743,33249.22361549583,33245.22361549583,33245.22361549583,33247.22361549583,33251.22361549583,33253.22361549583,1.0,-132996.89446198332,6633065206.199473,-147029511311414.88,1.2221542638624678e+18,31721,1524.22361549583,"(31721,31723,31727,31729)",5,221,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,20.823766089537454,20.823284334298222,20.823404784011498,20.823645661630234,1.3054956173500536e-07,1.1604405484002597e-07,1.4505506894979392e-08,-6.617444900424222e-24,2.5344569573724696e-17,10.411786695901487,7.329896311403948,20.823043456679493,0.19999491023837734
24,34841,43781,8940,"(34841,34843,34847,34849)","(43781,43783,43787,43789)",ABCE,ABCE,ABCEABCE,5,5,401,101,1526002861,1525373821,1525531069,1525845589,2,2,2,2,63.43703141848522,42.291732222569266,52.86438182052724,39060.86556648716,39056.86556648716,39056.86556648716,39058.86556648716,39062.86556648716,39064.86556648716,1.0,-156243.46226594865,9154507292.819096,-238388651419865.56,2.3279167511643725e+18,34841,4215.865566487162,"(34841,34843,34847,34849)",5,401,True,False,True,"normalized quartic shadow: mu=(P_E^2*P_A*P_B*P_C)^(1/10); roots=mu+[-4,-2,2,4]; P(t)=(t-mu)^4-20*(t-mu)^2+64",41,41,2,warm_+2,21.14591764464309,21.145505345491287,21.14560842835084,21.14581457792617,9.56197069585145e-08,8.499529505353288e-08,1.0624411904981611e-08,8.271806125530277e-24,4.32536680389487e-17,10.572876364105449,8.346847374292995,21.145299195915953,0.19999571041711522
