mode,T,T_over_2pi,Delta_eff,sigma_t,N_active,N_trans,R8,R10,D_order
Low-T,0.01,0.0015915494309189536,8.009052237281722,0.0034893534183931974,667,666,0.987987987987988,0.503003003003003,-0.484984984984985
High-T,6.283185307179586,1.0,9.805809230881877,0.0034893534183931974,662,661,0.4826021180030257,0.9652042360060514,0.4826021180030257
