n,e(E),a(A),b(B),c(C),k_ABC,resid_E8_abs_base,resid_E8_rel_base,min_resid_E8_abs_over_2s,min_resid_E8_rel_over_2s,best_u_abs_idx,best_v_abs_idx,best_u_rel_idx,best_v_rel_idx,theta_best_abs_deg,theta_best_rel_deg,pol_axial_mean_deg,pol_axial_spread_1minusR,octo0_count_tol5deg,octo90_count_tol5deg,tri60_count_tol5deg,tri120_count_tol5deg,H_balance_alpha_at_best_abs,H_balance_alpha_at_best_rel,improve_abs,improve_rel,stability_score,u_a,u_b,u_c,u_d,v_a,v_b,v_c,v_d
8227945,709,5,211,11,1,0.0016863128952012,0.0418910975846704,0.0003863710000439799,0.04006671529127448,8,9,9,9,15.324011060876993,18.95154036825343,18.89274671041263,0.013198335837528608,0,0,0,0,-0.005202939633815982,-0.004216114846469682,0.00129994189515722,0.001824382293395918,72.94307869143276,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5
8286157,73,17,607,11,1,0.0494679346231367,0.0054478674306599,0.00042892141886775436,0.005447867430659912,0,8,0,0,28.305000629428513,39.857652835463156,43.30986583994756,0.4663514023904981,96,96,64,0,-0.004035143480673506,-1.0979263408420318e-05,0.04903901320426895,-1.214306433183765e-17,396.82926769510976,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5
555373,13,17,7,359,1,0.4226382693834097,0.5645383299294434,0.0004985170510701273,0.001338731617419781,8,0,8,8,83.68928142428828,2.607507751219098,44.914061250190294,0.6534436842743774,96,96,0,0,0.0014271076376956952,-0.0005790870204683287,0.4221397523323396,0.5631995983120236,281.3328991934681,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
947401,13,29,7,359,1,0.4226382582329181,0.5249551750652309,0.0004985218347496498,0.04092187892680754,8,0,8,8,83.68583678596531,2.6075191034548486,44.91136143564367,0.6533991562285788,96,96,0,0,0.002385149409925403,-0.0007374305120818369,0.4221397363981685,0.4840332961384234,281.3519433258734,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
1731457,13,53,7,359,1,0.4226381198397261,0.4820701945592259,0.0004985812069062143,0.05893349351259341,8,0,8,0,83.67147685272656,83.67147685272656,44.89958876716607,0.6532231879324625,96,96,0,0,0.002714658130664724,0.002714658130664724,0.4221395386328199,0.4231367010466325,281.42614355733775,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
1526785,13,5,283,83,1,0.816384907291045,0.8846132055436448,0.0004990271911218923,0.06772927106147764,0,9,0,9,89.82561791777664,89.82561791777664,44.86519517571089,0.5265442250732748,160,160,64,0,-0.0005582778661564672,-0.0005582778661564672,0.815885880099923,0.8168839344821671,580.6578385651958,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
5191069,13,17,283,83,1,0.8163849014023173,0.8021605203100993,0.0004990283405586878,0.01472340943277715,0,9,0,9,89.8232768611641,89.8232768611641,44.86182050328978,0.5265151916708233,160,160,64,0,-0.0007974446876952112,-0.0007974446876952112,0.8158858730617586,0.7874371108773222,580.6897938975983,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
8855353,13,29,283,83,1,0.8163848768948746,0.7682030212098299,0.0004990331242335472,0.048680888809278386,0,9,0,9,89.82011222382887,89.82011222382887,44.85748547958046,0.5264740119607064,160,160,64,0,-0.001234328881066662,-0.001234328881066662,0.8158858437706411,0.7195221324005515,580.7349495675496,-1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.5
3299569,13,101,7,359,1,0.4226364604118682,0.4381564271160723,0.0004992931198994166,0.015020673584304237,8,0,8,0,83.62110570827998,83.62110570827998,44.85822512653816,0.652608288108239,96,96,0,0,0.002408912536930864,0.002408912536930864,0.42213716729196876,0.423135753531768,281.67220786042185,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
4475653,13,137,7,359,1,0.4226347887246902,0.4180468503104613,0.0005000102936411776,0.005087948707870274,8,0,8,0,83.5940403798943,83.5940403798943,44.838105084716034,0.6522396960269066,96,96,0,0,0.004998956662386261,0.004998956662386261,0.422134778431049,0.412958901602591,281.81213581472576,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
5651737,13,173,7,359,1,0.4226274213212805,0.4029194088320201,0.0005031710139072005,0.02021118350316775,8,0,8,0,83.51853192622846,83.51853192622846,44.77464712264951,0.6513493117815232,96,96,0,0,0.003719602949782141,0.003719602949782141,0.4221242503073733,0.38270822532885235,282.11244629105676,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
6435793,13,197,7,359,1,0.4226203534554796,0.3945912219903258,0.0005062032532949314,0.028535334718448938,11,0,11,0,6.171038780558463,6.171038780558463,44.73429439494643,0.6507458103659045,96,96,0,0,0.014267906826016382,0.014267906826016382,0.4221141502021847,0.3660558872718769,282.29257969708766,-0.5,-0.5,0.5,0.5,-1.0,0.0,0.0,0.0
8395933,13,257,7,359,1,0.4225942046065129,0.3777482982981666,0.0005174217845793487,0.030659038681751887,8,0,9,8,83.34248108965708,8.791526345877303,44.63170360803194,0.6491954122305399,96,96,0,0,0.003415302827796057,0.01893029405631771,0.42207678282193356,0.3470892596164147,282.66491550051,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
9179989,13,281,7,359,1,0.4225941907779634,0.3721641344769892,0.0005174277174725676,0.02507488178197681,8,0,9,8,83.34320323858189,8.798117586961416,44.63680852622873,0.6491208936712196,96,96,0,0,0.0066860065671739315,0.017935372212491106,0.42207676306049086,0.3470892526950124,282.69720568678486,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
9572017,13,293,7,359,1,0.4225720702689809,0.3695370925982615,0.0005269182486132604,0.022458911436246468,8,0,9,8,83.26368300464765,8.778739520829943,44.56824504594837,0.6482283069713575,96,96,0,0,0.004403325092122189,0.0198545702830717,0.42204515202036763,0.34707818116201505,282.83125252890784,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
1507441,13,17,19,359,1,0.4226246440112557,0.4917488415586603,0.0005354620018193446,0.0685887355455852,8,0,8,0,83.74729296716964,83.74729296716964,44.91450110171178,0.65329496731284,96,96,0,0,0.0013464730658899107,0.0013464730658899107,0.42208918200943635,0.4231601060130751,280.41016087076173,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
2571517,13,29,19,359,1,0.422624632861068,0.4548935059521273,0.0005354667851455209,0.03173340630591386,8,0,8,0,83.74387513987199,83.74387513987199,44.91181506522528,0.6532506568471018,96,96,0,0,0.001211630071843412,0.001211630071843412,0.42208916607592245,0.42316009964621343,280.4290539453702,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
4699669,13,53,19,359,1,0.422624494471647,0.4148524379443172,0.0005355261529151431,0.00830758268024494,8,0,8,0,83.72962769138577,83.72962769138577,44.900102466767144,0.6530755485295345,96,96,0,0,0.0021931966228483464,0.0021931966228483464,0.4220889683187319,0.40654485526407225,280.5026642728453,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0
8955973,13,101,19,359,1,0.4226228350890094,0.3737349163456857,0.0005362380133069883,0.026599358358163787,11,0,9,8,6.130571087827586,8.762694228362816,44.85894955759712,0.6524636534600132,96,96,0,0,-0.0029031763361393836,-0.005230148999145418,0.4220865970757024,0.3471355579875219,280.74675617954193,-0.5,-0.5,0.5,0.5,-1.0,0.0,0.0,0.0
