window_index,n_start,n_end,gamma_mean,r_mean,d_mean,theta12_mean,theta12log_mean,theta4_mean,theta4log_mean,z_r_mean,z_theta12log_mean,alignment_score
0,1,1000,789.669300060408,0.14914157021397942,0.9353251625506834,0.028873819932953328,0.02802763621336968,0.029704721090342275,0.028234905204109234,6.450072433679447,5.160394161752048,33.284916129637246
1,1001,2000,1977.0276727707967,0.10010254203558205,0.9539012474996608,0.023934916845126556,0.022919366537047493,0.02410155286373042,0.022941888132211218,3.5031787900296005,3.9715297487643615,13.912978779842899
5,5001,6000,5908.995366625017,0.06911850611199699,0.967293303467306,0.0189163163079359,0.018520724754477923,0.018965374193643202,0.018526439753254662,1.641260601405022,2.9478193708614655,4.838139793453462
3,3001,4000,4023.4004821182025,0.0786163194160982,0.9630998180108422,0.015034556798829994,0.013627964188145963,0.015089233866972956,0.013634185671855597,2.2120110158016617,1.8091111022781383,4.0017736870483285
4,4001,5000,4979.757110474697,0.07319085045271771,0.9654860046504201,0.015658986086300054,0.014628152943506318,0.01570605038761461,0.014633498492278043,1.885979269335515,2.0418883229151046,3.8509590473161492
2,2001,3000,3029.595031572505,0.08650222909228916,0.959676272800738,0.013656800448042659,0.011479442275543043,0.013721316128595404,0.011486576945186872,2.685897590686952,1.3090785268137823,3.5160508611891625
6,6001,7000,6817.174844753822,0.06589356761631529,0.9687343079311956,0.014271913237352898,0.013261524538083335,0.01430450856432002,0.013265058445752985,1.4474649429854982,1.7238283965732246,2.4951811717626455
12,12001,13000,11983.385799118794,0.05458625613056907,0.9738542975104982,0.014132325256989516,0.01380459063029595,0.01415206930362309,0.01380668767008588,0.7679766745211332,1.8502179554339275,1.420924232553438
11,11001,12000,11147.567205966006,0.05591865233965501,0.9732455623450055,0.012796183304186443,0.012252136731841024,0.012815155422634133,0.012254127572792324,0.8480441241674576,1.488910250550601,1.2626615893921342
7,7001,8000,7708.255329017403,0.06324479798822284,0.9699242873637498,0.010310992601146447,0.008837504197642346,0.010332411477502695,0.008839624869118275,1.2882928983821156,0.6942115833765681,0.8943478528386366
79,79001,80000,61052.447934601994,0.0317203302124511,0.9845230825411727,0.0012347802051988336,0.00039996596294193323,0.001235181940836347,0.00039997774141789754,-0.6061013659151125,-1.2694844577612567,0.7694362638571037
88,88001,89000,67178.94481443122,0.030725159166165285,0.9849968248150339,0.002166489962125731,0.0014921171059436315,0.0021671379221419903,0.001492157138821264,-0.665904003519908,-1.015304528002072,0.6760953499884703
78,78001,79000,60367.70538072763,0.03183981457393394,0.9844662553361482,0.0018706111765003834,0.0010994150432139032,0.0018712261379496425,0.001099447823177514,-0.598921213321378,-1.1066993714360949,0.6628257303225124
80,80001,81000,61736.3565061824,0.03160276176982393,0.9845790094676411,0.002316680414341501,0.0016133945661235072,0.0023174266480476967,0.0016134415496880617,-0.6131663855360451,-0.9870792255726215,0.6052438009820829
19,19001,20000,17651.67491074562,0.04797245091173596,0.9768972075311151,0.012936917247961723,0.012727383290096345,0.012949695805608069,0.012728687234750395,0.3705344477132359,1.5995159460806416,0.5926757576895045
