Typ;Bits;MS-Span;Resonanz_Prozent;Rel_Fehler;Urteil;Faktor_P;Faktor_Q
ECHTE PRIMZAHL (1024-Bit);1024;3.304793692351301653431385942642e-308;1.000000000000000000000000000000e+02;4.658660352663066703632501450429e-311;PRIMVERTRAEGLICH;;
SEMIPRIMZAHL (p*q, 1024-Bit);1024;3.747092094364160946034589390354e-308;0.000000000000000000000000000000e+00;5.283089485826790205578069056349e-311;KOMPOSIT-VERDACHT;13250261472193954783858424180989483967957047404903535760465844781862997781812492697677486977587110296363764559127167980560048202033914355325844590181255449;8056402874799825871383636586327714258229769069519552530881710577460078307375669701523442035304447775623850808344721878371604058189895386200358645669831707
CARMICHAEL-ZAHL 561;10;7.079498160550462851782099925824e-03;0.000000000000000000000000000000e+00;1.118453446244933885349233541500e-03;KOMPOSIT-VERDACHT;;
STARKE PSEUDOPRIMZAHL 3215031751;32;1.244155673977161073925419988535e-09;5.000000000000000000000000000000e+01;5.683385026197298160414858377376e-11;ARITHMETISCH GRENZFALL;;
