pairing,u,v,score,lift_1B,count_1B,status,lift_ratio(1B/100M),stability_factor
A↔C,,,1.0782920212753873,1.8301724137931037,1.0,only_1B,,0.85
A↔C,,,1.0690758501533753,1.8145299145299143,1.0,only_1B,,0.85
A↔C,,,1.0663416408179451,1.8098891730605289,1.0,only_1B,,0.85
A↔C,,,1.0294804482958428,1.7473251028806582,1.0,only_1B,,0.85
A↔C,,,1.0263128161472406,1.741948717948718,1.0,only_1B,,0.85
A↔C,,,1.0126037196352555,1.718680429062943,1.0,only_1B,,0.85
A↔C,,,1.0095389384014926,1.7134786117836969,1.0,only_1B,,0.85
A↔C,,,0.985672769644956,1.672970843183609,1.0,only_1B,,0.85
A↔C,,,0.9787314121122448,1.6611893583724568,1.0,only_1B,,0.85
A↔C,,,0.9787314121122448,1.6611893583724568,1.0,only_1B,,0.85
A↔C,,,0.9787314121122448,1.6611893583724568,1.0,only_1B,,0.85
A↔C,,,0.969626933860038,1.645736434108527,1.0,only_1B,,0.85
A↔C,17·17,11·11,,,,only_100M,,0.75
A↔C,17·17,11·47,,,,only_100M,,0.75
A↔C,17·17,23·23,,,,only_100M,,0.75
A↔C,17·29,11·23,,,,only_100M,,0.75
A↔C,17·41,11·11,,,,only_100M,,0.75
A↔C,17·53,11·11,,,,only_100M,,0.75
A↔C,29·29,11·11,,,,only_100M,,0.75
A↔C,5·101,11·23,,,,only_100M,,0.75
A↔C,5·113,11·23,,,,only_100M,,0.75
A↔C,5·137,11·11,,,,only_100M,,0.75
B↔C,,,1.4706863547083473,2.496178718400941,1.0,only_1B,,0.85
B↔C,,,1.4477068804160294,2.457175925925926,1.0,only_1B,,0.85
B↔C,,,1.4426975140478078,2.448673587081892,1.0,only_1B,,0.85
B↔C,,,1.4364843464593156,2.438128050531151,1.0,only_1B,,0.85
B↔C,,,1.4085796674318125,2.390765765765766,1.0,only_1B,,0.85
B↔C,,,1.3882560984233625,2.356270810210877,1.0,only_1B,,0.85
B↔C,,,1.3851813340857688,2.3510520487264674,1.0,only_1B,,0.85
B↔C,,,1.3715117814467643,2.3278508771929824,1.0,only_1B,,0.85
B↔C,,,1.352967814688425,2.2963764196863163,1.0,only_1B,,0.85
B↔C,,,1.3478650265942342,2.2877155172413794,1.0,only_1B,,0.85
B↔C,,,1.3257220399358234,2.250132485426603,1.0,only_1B,,0.85
B↔C,,,1.3236177192375125,2.2465608465608464,1.0,only_1B,,0.85
B↔C,,,1.3236177192375125,2.246560846560847,1.0,only_1B,,0.85
B↔C,,,1.292835911813384,2.194315245478036,1.0,only_1B,,0.85
B↔C,,,1.2868505603698035,2.184156378600823,1.0,only_1B,,0.85
B↔C,,,1.275694793145792,2.165221825599184,1.0,only_1B,,0.85
B↔C,,,1.2539536287513275,2.1283208020050126,1.0,only_1B,,0.85
B↔C,,,1.2323337386004425,2.091625615763547,1.0,only_1B,,0.85
B↔C,,,1.2120336673250476,2.057170542635659,1.0,only_1B,,0.85
B↔C,,,1.2111534685833447,2.0556765916243043,1.0,only_1B,,0.85
B↔C,,,1.167897987562511,1.982259570494865,1.0,only_1B,,0.85
B↔C,,,1.1654495641085014,1.9781038900535757,1.0,only_1B,,0.85
B↔C,,,1.1581655043328234,1.9657407407407408,1.0,only_1B,,0.85
B↔C,,,1.1496495815068468,1.9512867647058825,1.0,only_1B,,0.85
B↔C,,,1.1407375692471038,1.9361605107159143,1.0,only_1B,,0.85
B↔C,,,1.1407375692471038,1.9361605107159143,1.0,only_1B,,0.85
B↔C,,,1.1299175652027544,1.917795844625113,1.0,only_1B,,0.85
B↔C,,,1.1299175652027544,1.917795844625113,1.0,only_1B,,0.85
B↔C,,,1.097690868520798,1.8630978499341813,1.0,only_1B,,0.85
B↔C,,,1.0900381217250104,1.8501089324618736,1.0,only_1B,,0.85
B↔C,,,1.0704482196657676,1.8168592212237915,1.0,only_1B,,0.85
B↔C,,,1.0704482196657676,1.8168592212237915,1.0,only_1B,,0.85
B↔C,,,1.0564347505738592,1.793074324324324,1.0,only_1B,,0.85
B↔C,,,1.0519922158784267,1.7855340622371745,1.0,only_1B,,0.85
B↔C,,,1.0519922158784267,1.7855340622371745,1.0,only_1B,,0.85
B↔C,,,1.05110818880626,1.784033613445378,1.0,only_1B,,0.85
B↔C,,,1.0489046076976514,1.7802935010482182,1.0,only_1B,,0.85
B↔C,,,1.029480448295843,1.747325102880659,1.0,only_1B,,0.85
B↔C,,,1.021910739117197,1.7344771241830068,1.0,only_1B,,0.85
B↔C,,,1.0095389384014926,1.7134786117836969,1.0,only_1B,,0.85
B↔C,19·127,11·11,,,,only_100M,,0.75
B↔C,19·19,11·59,,,,only_100M,,0.75
B↔C,19·19,11·71,,,,only_100M,,0.75
B↔C,19·19,23·23,,,,only_100M,,0.75
B↔C,19·31,11·47,,,,only_100M,,0.75
B↔C,19·43,11·11,,,,only_100M,,0.75
B↔C,19·43,11·23,,,,only_100M,,0.75
B↔C,31·31,11·23,,,,only_100M,,0.75
B↔C,31·67,11·11,,,,only_100M,,0.75
B↔C,7·103,11·11,,,,only_100M,,0.75
