lag,corr
1,-0.0026123902441087376
2,-0.0011651961122244785
3,-0.041402139396168505
4,0.005197122907504729
5,0.026264051661656324
6,-0.017807384244507694
7,0.01119452343178725
8,-0.0054554339936279395
9,0.004967421770236258
10,-0.019004898420189154
11,-0.0008514474830615407
12,-0.014952016483142089
13,0.029620246199013017
14,-0.008222342785627917
15,-0.03584842879116931
16,-0.0025548880973874978
17,-0.05292990012891778
18,0.04714708109811649
19,-0.022076687554740904
20,0.04474450807443792
21,-0.01420161919302264
22,0.0019699660250683923
23,0.001852410648261312
24,-0.0032394953611643083
25,0.017014008320534017
26,0.03979623993651645
27,-0.002807500947545019
28,-0.015113871874835134
29,-0.0002711281746360969
30,-0.0023492559162777336
31,0.02922618306405277
32,0.017632378082742504
33,0.02802623929196605
34,0.011093617023561148
35,0.003890735281929705
36,0.006841522970614117
37,-0.05206686495159723
38,0.0559460353169729
39,0.023027479720070722
40,0.015129867092308156
41,-0.009102992439937872
42,-0.02491597908421242
43,-0.007675767227875655
44,0.020830032165886272
45,-0.017015742041810104
46,7.763138154682109e-05
47,0.0018866060179639672
48,-0.004087583078362191
49,-0.009400137831532594
50,0.024843183047957334
