cluster_triple,states,total_records,mean_sub_index,median_sub_index,mean_rigidity
2-2 | 1-1 | 2-2,2410,6326,0.39474791193699266,0.39731088092053857,0.6052520880630073
2-2 | 1-1 | 1-2,693,983,0.3951141236277217,0.3988193090131886,0.6048858763722782
2-2 | 1-2 | 2-2,484,663,0.398271084092768,0.4006527443537089,0.601728915907232
1-2 | 1-1 | 2-2,313,395,0.385303362479141,0.3986845028568987,0.614696637520859
2-2 | 1-1 | 0-2,125,125,0.27743314784240924,0.2780039454451749,0.7225668521575906
