observable,corr_with_Delta_res,corr_with_Lambda_res,corr_with_thetaZ_res,score_abs_sum
BridgeP_W_abs,-0.3014675952874595,-0.5095771371345603,0.4512846467006875,1.2623293791227073
BridgeP_M_abs,-0.17084904897594191,-0.39082199793212147,0.37840747100578753,0.9400785179138509
e_distance,0.19678541323146617,0.1287995031015017,0.6089644779018313,0.9345493942347991
K_add_abs,-0.16017826685468425,-0.3808761717418982,0.3721602525483081,0.9132146911448905
GP_235,-0.18569842417830612,0.03994338482608472,-0.14736209803315706,0.37300390703754793
