n,Faktorisierung,P_A,P_B,P_C,R_A,R_B,R_C,exc_combo,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
423376525,13 * 5 * 5 * 19 * 271 * 11 * 23,25,5149,253,1.0,105.08163265306122,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
423478825,2857 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.4810928230429328,820.0,1.0856142807140357
423608185,13 * 5 * 113 * 7 * 7 * 11 * 107,565,49,1177,22.6,1.0,9.727272727272727,A+C,2.9419087682146916,64.0,1.3571136827773995
423825025,13 * 5 * 5 * 31 * 31 * 23 * 59,25,961,1357,1.0,19.612244897959183,11.214876033057852,B+C,3.19709115883551,10.0,1.2615384615384615
423900925,241 * 5 * 5 * 7 * 19 * 23 * 23,25,133,529,1.0,2.7142857142857144,4.371900826446281,B+C,3.5244913706357366,64.0,1.0489626556016598
423963925,73 * 5 * 5 * 7 * 7 * 11 * 431,25,49,4741,1.0,1.0,39.18181818181818,C,3.426323092112505,28.0,1.1287671232876713
423968545,13 * 5 * 29 * 7 * 127 * 11 * 23,145,889,253,5.8,18.142857142857142,2.090909090909091,A+B+C,3.2802323907239512,18.0,1.2063660477453582
424056325,109 * 5 * 5 * 7 * 43 * 11 * 47,25,301,517,1.0,6.142857142857143,4.2727272727272725,B+C,3.4936369679052106,34.0,1.075229357798165
424190305,349 * 5 * 41 * 7 * 7 * 11 * 11,205,49,121,8.2,1.0,1.0,A,3.3030535788219106,112.0,1.145684534209239
424345285,13 * 5 * 41 * 7 * 43 * 23 * 23,205,301,529,8.2,6.142857142857143,4.371900826446281,A+B+C,2.9859978256127633,28.0,1.349343339587242
424384345,157 * 5 * 17 * 7 * 7 * 11 * 59,85,49,649,3.4,1.0,5.363636363636363,A+C,3.5044159865768894,72.0,1.0556762832521545
424444405,61 * 5 * 53 * 7 * 31 * 11 * 11,265,217,121,10.6,4.428571428571429,1.0,A+B,3.275703436182069,46.0,1.155954222084751
424449025,13 * 5 * 5 * 7 * 7 * 11 * 2423,25,49,26653,1.0,1.0,220.27272727272728,C,3.19709115883551,10.0,1.2615384615384615
424749325,13 * 5 * 5 * 7 * 1543 * 11 * 11,25,10801,121,1.0,220.42857142857142,1.0,B,3.19709115883551,10.0,1.2615384615384615
424845925,157 * 5 * 5 * 7 * 7 * 47 * 47,25,49,2209,1.0,1.0,18.25619834710744,C,3.2857470407029474,70.0,1.2203821656050957
424984105,13 * 5 * 17 * 7 * 7 * 47 * 167,85,49,7849,3.4,1.0,64.86776859504133,A+C,3.4157601047094523,12.0,1.0968325791855205
425142025,37 * 5 * 5 * 7 * 127 * 11 * 47,25,889,517,1.0,18.142857142857142,4.2727272727272725,B+C,3.6199450849684505,10.0,0.9621621621621622
425169745,13 * 5 * 17 * 7 * 19 * 11 * 263,85,133,2893,3.4,2.7142857142857144,23.90909090909091,A+B+C,3.4157601047094523,12.0,1.0968325791855205
425234005,193 * 5 * 17 * 7 * 7 * 23 * 23,85,49,529,3.4,1.0,4.371900826446281,A+C,3.47568825983066,90.0,1.0705272782688204
425349925,13 * 5 * 5 * 7 * 739 * 11 * 23,25,5173,253,1.0,105.57142857142857,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
425419225,241 * 5 * 5 * 7 * 7 * 11 * 131,25,49,1441,1.0,1.0,11.909090909090908,C,3.5244913706357366,64.0,1.0489626556016598
425483905,37 * 5 * 17 * 7 * 7 * 11 * 251,85,49,2761,3.4,1.0,22.818181818181817,A+C,3.8386140308423924,12.0,0.7974562798092211
425508325,37 * 5 * 5 * 19 * 31 * 11 * 71,25,589,781,1.0,12.020408163265307,6.454545454545454,B+C,3.6199450849684505,10.0,0.9621621621621622
425710285,13 * 5 * 29 * 7 * 7 * 11 * 419,145,49,4609,5.8,1.0,38.09090909090909,A+C,3.2802323907239512,18.0,1.2063660477453582
425895925,13 * 5 * 5 * 7 * 19 * 59 * 167,25,133,9853,1.0,2.7142857142857144,81.4297520661157,B+C,3.19709115883551,10.0,1.2615384615384615
425977825,13 * 5 * 5 * 7 * 7 * 23 * 1163,25,49,26749,1.0,1.0,221.06611570247935,C,3.19709115883551,10.0,1.2615384615384615
426135325,61 * 5 * 5 * 7 * 19 * 11 * 191,25,133,2101,1.0,2.7142857142857144,17.363636363636363,B+C,3.0903554861863745,34.0,1.2918032786885245
426153637,13 * 17 * 29 * 7 * 7 * 23 * 59,493,49,1357,19.72,1.0,11.214876033057852,A+C,3.498901336597893,20.0,1.041660165392417
426227725,673 * 5 * 5 * 7 * 7 * 11 * 47,25,49,517,1.0,1.0,4.2727272727272725,C,3.304206482187742,280.0,1.210104011887073
426324745,73 * 5 * 197 * 7 * 7 * 11 * 11,985,49,121,39.4,1.0,1.0,A,3.818663236328021,40.0,0.799833113135387
426574225,109 * 5 * 5 * 7 * 19 * 11 * 107,25,133,1177,1.0,2.7142857142857144,9.727272727272727,B+C,3.4936369679052106,34.0,1.075229357798165
426599173,13 * 17 * 53 * 7 * 43 * 11 * 11,901,301,121,36.04,6.142857142857143,1.0,A+B,3.601108054705147,24.0,0.9609835225817467
426605725,13 * 5 * 5 * 7 * 31 * 23 * 263,25,217,6049,1.0,4.428571428571429,49.99173553719008,B+C,3.19709115883551,10.0,1.2615384615384615
426636925,13 * 5 * 5 * 19 * 571 * 11 * 11,25,10849,121,1.0,221.40816326530611,1.0,B,3.19709115883551,10.0,1.2615384615384615
426662005,73 * 5 * 17 * 7 * 19 * 11 * 47,85,133,517,3.4,2.7142857142857144,4.2727272727272725,A+B+C,3.644992037986447,30.0,0.96406124093473
426680485,37 * 5 * 389 * 7 * 7 * 11 * 11,1945,49,121,77.8,1.0,1.0,A,3.5518686267104513,178.0,0.999180157020774
426789265,37 * 5 * 89 * 7 * 7 * 23 * 23,445,49,529,17.8,1.0,4.371900826446281,A+C,3.524993378625694,48.0,1.0116003644093532
426920065,13 * 5 * 17 * 31 * 103 * 11 * 11,85,3193,121,3.4,65.16326530612245,1.0,A+B,3.4157601047094523,12.0,1.0968325791855205
427262605,61 * 5 * 113 * 7 * 7 * 11 * 23,565,49,253,22.6,1.0,2.090909090909091,A+C,2.835173095565556,88.0,1.3873784999274625
427333165,37 * 5 * 17 * 7 * 7 * 47 * 59,85,49,2773,3.4,1.0,22.917355371900825,A+C,3.8386140308423924,12.0,0.7974562798092211
427391965,13 * 5 * 1109 * 7 * 7 * 11 * 11,5545,49,121,221.8,1.0,1.0,A,2.939083916971555,558.0,1.3574807518901297
427544425,61 * 5 * 5 * 7 * 331 * 11 * 11,25,2317,121,1.0,47.285714285714285,1.0,B,3.0903554861863745,34.0,1.2918032786885245
427577425,73 * 5 * 5 * 19 * 19 * 11 * 59,25,361,649,1.0,7.36734693877551,5.363636363636363,B+C,3.426323092112505,28.0,1.1287671232876713
427697725,13 * 5 * 5 * 7 * 7 * 107 * 251,25,49,26857,1.0,1.0,221.95867768595042,C,3.19709115883551,10.0,1.2615384615384615
428006425,1381 * 5 * 5 * 7 * 7 * 11 * 23,25,49,253,1.0,1.0,2.090909090909091,C,3.369601666442187,514.0,1.1692976104272268
428103025,73 * 5 * 5 * 7 * 31 * 23 * 47,25,217,1081,1.0,4.428571428571429,8.933884297520661,B+C,3.426323092112505,28.0,1.1287671232876713
428154265,313 * 5 * 17 * 7 * 19 * 11 * 11,85,133,121,3.4,2.7142857142857144,1.0,A+B,3.2583432319828614,162.0,1.133696673557602
428232805,13 * 5 * 17 * 7 * 7 * 11 * 719,85,49,7909,3.4,1.0,65.36363636363636,A+C,3.4157601047094523,12.0,1.0968325791855205
428250025,37 * 5 * 5 * 7 * 19 * 59 * 59,25,133,3481,1.0,2.7142857142857144,28.768595041322314,B+C,3.6199450849684505,10.0,0.9621621621621622
428292205,37 * 5 * 53 * 19 * 19 * 11 * 11,265,361,121,10.6,7.36734693877551,1.0,A+B,3.805293034964145,22.0,0.8263131055583885
428344525,661 * 5 * 5 * 7 * 7 * 23 * 23,25,49,529,1.0,1.0,4.371900826446281,C,3.5495487816622138,154.0,1.026928895612708
428459185,97 * 5 * 149 * 7 * 7 * 11 * 11,745,49,121,29.8,1.0,1.0,A,3.219791077415446,108.0,1.2409326783366774
428489425,13 * 5 * 5 * 7 * 19 * 23 * 431,25,133,9913,1.0,2.7142857142857144,81.92561983471074,B+C,3.19709115883551,10.0,1.2615384615384615
428560825,37 * 5 * 5 * 7 * 547 * 11 * 11,25,3829,121,1.0,78.14285714285714,1.0,B,3.6199450849684505,10.0,0.9621621621621622
428653225,13 * 5 * 5 * 7 * 7 * 11 * 2447,25,49,26917,1.0,1.0,222.45454545454547,C,3.19709115883551,10.0,1.2615384615384615
428845417,13 * 17 * 29 * 7 * 79 * 11 * 11,493,553,121,19.72,11.285714285714286,1.0,A+B,3.498901336597893,20.0,1.041660165392417
429022825,73 * 5 * 5 * 7 * 43 * 11 * 71,25,301,781,1.0,6.142857142857143,6.454545454545454,B+C,3.426323092112505,28.0,1.1287671232876713
429117325,13 * 5 * 5 * 7 * 139 * 23 * 59,25,973,1357,1.0,19.857142857142858,11.214876033057852,B+C,3.19709115883551,10.0,1.2615384615384615
429291205,37 * 5 * 29 * 7 * 7 * 23 * 71,145,49,1633,5.8,1.0,13.49586776859504,A+C,3.7030863168568917,18.0,0.9069897483690588
429395725,241 * 5 * 5 * 19 * 31 * 11 * 11,25,589,121,1.0,12.020408163265307,1.0,B,3.5244913706357366,64.0,1.0489626556016598
429468325,13 * 5 * 5 * 67 * 163 * 11 * 11,25,10921,121,1.0,222.87755102040816,1.0,B,3.19709115883551,10.0,1.2615384615384615
429600325,313 * 5 * 5 * 7 * 31 * 11 * 23,25,217,253,1.0,4.428571428571429,2.090909090909091,B+C,3.0396742861089194,160.0,1.2984025559105432
429745225,13 * 5 * 5 * 7 * 43 * 23 * 191,25,301,4393,1.0,6.142857142857143,36.30578512396694,B+C,3.19709115883551,10.0,1.2615384615384615
429845845,13 * 5 * 41 * 31 * 43 * 11 * 11,205,1333,121,8.2,27.20408163265306,1.0,A+B,2.9859978256127633,28.0,1.349343339587242
429882145,853 * 5 * 17 * 7 * 7 * 11 * 11,85,49,121,3.4,1.0,1.0,A,3.339716545430335,420.0,1.1206399558651128
429960025,61 * 5 * 5 * 19 * 19 * 11 * 71,25,361,781,1.0,7.36734693877551,6.454545454545454,B+C,3.0903554861863745,34.0,1.2918032786885245
430024441,61 * 29 * 41 * 7 * 7 * 11 * 11,1189,49,121,47.56,1.0,1.0,A,2.9624033848520694,60.0,1.3244357429442015
430085425,1069 * 5 * 5 * 7 * 19 * 11 * 11,25,133,121,1.0,2.7142857142857144,1.0,B,3.376185933432152,394.0,1.1648269410664174
430108525,541 * 5 * 5 * 7 * 7 * 11 * 59,25,49,649,1.0,1.0,5.363636363636363,C,3.3406745524819783,214.0,1.188170055452865
430270225,37 * 5 * 5 * 7 * 7 * 11 * 863,25,49,9493,1.0,1.0,78.45454545454545,C,3.6199450849684505,10.0,0.9621621621621622
430334905,13 * 5 * 173 * 7 * 7 * 11 * 71,865,49,781,34.6,1.0,6.454545454545454,A+C,3.508089439441051,34.0,1.011827478879502
430441165,37 * 5 * 41 * 7 * 67 * 11 * 11,205,469,121,8.2,9.571428571428571,1.0,A+B,3.408851751745704,28.0,1.0499670402109427
430455025,13 * 5 * 5 * 7 * 103 * 11 * 167,25,721,1837,1.0,14.714285714285714,15.181818181818182,B+C,3.19709115883551,10.0,1.2615384615384615
430746085,193 * 5 * 17 * 7 * 31 * 11 * 11,85,217,121,3.4,4.428571428571429,1.0,A+B,3.47568825983066,90.0,1.0705272782688204
430755325,13 * 5 * 5 * 7 * 7 * 11 * 2459,25,49,27049,1.0,1.0,223.54545454545453,C,3.19709115883551,10.0,1.2615384615384615
430875445,13 * 5 * 197 * 7 * 19 * 11 * 23,985,133,253,39.4,2.7142857142857144,2.090909090909091,A+B+C,3.589431303051026,22.0,0.9326044513861773
430981705,409 * 5 * 17 * 7 * 7 * 11 * 23,85,49,253,3.4,1.0,2.090909090909091,A+C,3.854872760647522,66.0,0.7819933841507263
431216305,13 * 5 * 17 * 19 * 19 * 23 * 47,85,361,1081,3.4,7.36734693877551,8.933884297520661,A+B+C,3.4157601047094523,12.0,1.0968325791855205
431277301,13 * 17 * 17 * 7 * 31 * 23 * 23,289,217,529,11.56,4.428571428571429,4.371900826446281,A+B+C,3.6344290505833943,14.0,0.9321266968325792
431355925,13 * 5 * 5 * 7 * 1567 * 11 * 11,25,10969,121,1.0,223.85714285714286,1.0,B,3.19709115883551,10.0,1.2615384615384615
431387425,61 * 5 * 5 * 7 * 7 * 23 * 251,25,49,5773,1.0,1.0,47.710743801652896,C,3.0903554861863745,34.0,1.2918032786885245
431656225,13 * 5 * 5 * 7 * 367 * 11 * 47,25,2569,517,1.0,52.42857142857143,4.2727272727272725,B+C,3.19709115883551,10.0,1.2615384615384615
431827825,13 * 5 * 5 * 79 * 139 * 11 * 11,25,10981,121,1.0,224.10204081632654,1.0,B,3.19709115883551,10.0,1.2615384615384615
432131245,13 * 5 * 17 * 7 * 7 * 23 * 347,85,49,7981,3.4,1.0,65.95867768595042,A+C,3.4157601047094523,12.0,1.0968325791855205
432154525,73 * 5 * 5 * 19 * 103 * 11 * 11,25,1957,121,1.0,39.93877551020408,1.0,B,3.426323092112505,28.0,1.1287671232876713
432256825,13 * 5 * 5 * 7 * 751 * 11 * 23,25,5257,253,1.0,107.28571428571429,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
432321505,37 * 5 * 89 * 7 * 31 * 11 * 11,445,217,121,17.8,4.428571428571429,1.0,A+B,3.524993378625694,48.0,1.0116003644093532
432372325,2917 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.7665773603150683,58.0,0.81851217003771
432677245,13 * 5 * 29 * 7 * 271 * 11 * 11,145,1897,121,5.8,38.714285714285715,1.0,A+B,3.2802323907239512,18.0,1.2063660477453582
432712225,37 * 5 * 5 * 43 * 43 * 11 * 23,25,1849,253,1.0,37.734693877551024,2.090909090909091,B+C,3.6199450849684505,10.0,0.9621621621621622
432834325,37 * 5 * 5 * 7 * 103 * 11 * 59,25,721,649,1.0,14.714285714285714,5.363636363636363,B+C,3.6199450849684505,10.0,0.9621621621621622
432941509,13 * 41 * 137 * 7 * 7 * 11 * 11,5617,49,121,224.68,1.0,1.0,A,3.1008744310296628,70.0,1.2705112227989208
433010305,13 * 5 * 257 * 7 * 7 * 23 * 23,1285,49,529,51.4,1.0,4.371900826446281,A+C,3.598319957840359,24.0,0.923795270876983
433048525,13 * 5 * 5 * 7 * 7 * 71 * 383,25,49,27193,1.0,1.0,224.73553719008265,C,3.19709115883551,10.0,1.2615384615384615
433157725,13 * 5 * 5 * 7 * 19 * 11 * 911,25,133,10021,1.0,2.7142857142857144,82.81818181818181,B+C,3.19709115883551,10.0,1.2615384615384615
433213165,241 * 5 * 29 * 7 * 7 * 11 * 23,145,49,253,5.8,1.0,2.090909090909091,A+C,3.607632602524178,72.0,0.9937902418085564
433277845,13 * 5 * 149 * 7 * 7 * 11 * 83,745,49,913,29.8,1.0,7.545454545454546,A+C,3.0500128034471077,78.0,1.3313371192565824
433337905,13 * 5 * 17 * 7 * 463 * 11 * 11,85,3241,121,3.4,66.14285714285714,1.0,A+B,3.4157601047094523,12.0,1.0968325791855205
433388725,97 * 5 * 5 * 7 * 211 * 11 * 11,25,1477,121,1.0,30.142857142857142,1.0,B,3.366869432803848,40.0,1.1711340206185568
433533925,397 * 5 * 5 * 19 * 19 * 11 * 11,25,361,121,1.0,7.36734693877551,1.0,B,3.4792148909782252,118.0,1.087153652392947
433602325,13 * 5 * 5 * 19 * 43 * 23 * 71,25,817,1633,1.0,16.6734693877551,13.49586776859504,B+C,3.19709115883551,10.0,1.2615384615384615
433896925,661 * 5 * 5 * 7 * 31 * 11 * 11,25,217,121,1.0,4.428571428571429,1.0,B,3.5495487816622138,154.0,1.026928895612708
433899025,109 * 5 * 5 * 7 * 43 * 23 * 23,25,301,529,1.0,6.142857142857143,4.371900826446281,B+C,3.4936369679052106,34.0,1.075229357798165
434201845,37 * 5 * 17 * 7 * 163 * 11 * 11,85,1141,121,3.4,23.285714285714285,1.0,A+B,3.8386140308423924,12.0,0.7974562798092211
434222425,13 * 5 * 5 * 7 * 31 * 47 * 131,25,217,6157,1.0,4.428571428571429,50.88429752066116,B+C,3.19709115883551,10.0,1.2615384615384615
434312725,193 * 5 * 5 * 7 * 7 * 11 * 167,25,49,1837,1.0,1.0,15.181818181818182,C,3.257019313956718,88.0,1.2352331606217617
434659225,13 * 5 * 5 * 7 * 1579 * 11 * 11,25,11053,121,1.0,225.57142857142858,1.0,B,3.19709115883551,10.0,1.2615384615384615
434768425,13 * 5 * 5 * 7 * 7 * 23 * 1187,25,49,27301,1.0,1.0,225.62809917355372,C,3.19709115883551,10.0,1.2615384615384615
435009925,37 * 5 * 5 * 7 * 127 * 23 * 23,25,889,529,1.0,18.142857142857142,4.371900826446281,B+C,3.6199450849684505,10.0,0.9621621621621622
435216925,13 * 5 * 5 * 67 * 79 * 11 * 23,25,5293,253,1.0,108.0204081632653,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
435218245,277 * 5 * 53 * 7 * 7 * 11 * 11,265,49,121,10.6,1.0,1.0,A,3.3991042325451453,142.0,1.1190245896056128
435762145,13 * 5 * 41 * 7 * 7 * 47 * 71,205,49,3337,8.2,1.0,27.578512396694215,A+C,2.9859978256127633,28.0,1.349343339587242
435768025,73 * 5 * 5 * 7 * 7 * 11 * 443,25,49,4873,1.0,1.0,40.27272727272727,C,3.426323092112505,28.0,1.1287671232876713
435975925,229 * 5 * 5 * 7 * 43 * 11 * 23,25,301,253,1.0,6.142857142857143,2.090909090909091,B+C,3.6525422300864037,34.0,0.9310043668122271
435999025,61 * 5 * 5 * 7 * 79 * 11 * 47,25,553,517,1.0,11.285714285714286,4.2727272727272725,B+C,3.0903554861863745,34.0,1.2918032786885245
436120825,673 * 5 * 5 * 7 * 7 * 23 * 23,25,49,529,1.0,1.0,4.371900826446281,C,3.304206482187742,280.0,1.210104011887073
436400965,13 * 5 * 17 * 7 * 223 * 11 * 23,85,1561,253,3.4,31.857142857142858,2.090909090909091,A+B+C,3.4157601047094523,12.0,1.0968325791855205
436461025,13 * 5 * 5 * 7 * 163 * 11 * 107,25,1141,1177,1.0,23.285714285714285,9.727272727272727,B+C,3.19709115883551,10.0,1.2615384615384615
436526545,13 * 5 * 101 * 7 * 7 * 23 * 59,505,49,1357,20.2,1.0,11.214876033057852,A+C,3.5610701153451543,18.0,0.9605483625285606
436565185,73 * 5 * 17 * 7 * 19 * 23 * 23,85,133,529,3.4,2.7142857142857144,4.371900826446281,A+B+C,3.644992037986447,30.0,0.96406124093473
436576525,181 * 5 * 5 * 7 * 7 * 11 * 179,25,49,1969,1.0,1.0,16.272727272727273,C,3.0522786605965706,94.0,1.2972375690607736
436729405,97 * 5 * 17 * 7 * 7 * 23 * 47,85,49,1081,3.4,1.0,8.933884297520661,A+C,3.58553837867779,42.0,1.0064281382656155
436761325,13 * 5 * 5 * 7 * 31 * 11 * 563,25,217,6193,1.0,4.428571428571429,51.18181818181818,B+C,3.19709115883551,10.0,1.2615384615384615
436797025,37 * 5 * 5 * 7 * 7 * 23 * 419,25,49,9637,1.0,1.0,79.64462809917356,C,3.6199450849684505,10.0,0.9621621621621622
436844485,61 * 5 * 89 * 7 * 19 * 11 * 11,445,133,121,17.8,2.7142857142857144,1.0,A+B,2.9954037798436177,72.0,1.3412414809357156
436867717,13 * 17 * 17 * 31 * 31 * 11 * 11,289,961,121,11.56,19.612244897959183,1.0,A+B,3.6344290505833943,14.0,0.9321266968325792
437223325,457 * 5 * 5 * 7 * 7 * 11 * 71,25,49,781,1.0,1.0,6.454545454545454,C,3.5968722570783065,88.0,0.9838074398249453
437449705,37 * 5 * 41 * 7 * 7 * 11 * 107,205,49,1177,8.2,1.0,9.727272727272727,A+C,3.408851751745704,28.0,1.0499670402109427
437454325,73 * 5 * 5 * 7 * 283 * 11 * 11,25,1981,121,1.0,40.42857142857143,1.0,B,3.426323092112505,28.0,1.1287671232876713
437666425,97 * 5 * 5 * 7 * 19 * 23 * 59,25,133,1357,1.0,2.7142857142857144,11.214876033057852,B+C,3.366869432803848,40.0,1.1711340206185568
437708425,2953 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.5624328217467127,640.0,1.0153741957331528
437902465,13 * 5 * 29 * 7 * 7 * 11 * 431,145,49,4741,5.8,1.0,39.18181818181818,A+C,3.2802323907239512,18.0,1.2063660477453582
437914225,73 * 5 * 5 * 7 * 7 * 59 * 83,25,49,4897,1.0,1.0,40.47107438016529,C,3.426323092112505,28.0,1.1287671232876713
438091225,13 * 5 * 5 * 31 * 67 * 11 * 59,25,2077,649,1.0,42.38775510204081,5.363636363636363,B+C,3.19709115883551,10.0,1.2615384615384615
438128845,73 * 5 * 17 * 7 * 7 * 11 * 131,85,49,1441,3.4,1.0,11.909090909090908,A+C,3.644992037986447,30.0,0.96406124093473
438262825,13 * 5 * 5 * 7 * 211 * 11 * 83,25,1477,913,1.0,30.142857142857142,7.545454545454546,B+C,3.19709115883551,10.0,1.2615384615384615
438623185,13 * 5 * 257 * 7 * 31 * 11 * 11,1285,217,121,51.4,4.428571428571429,1.0,A+B,3.598319957840359,24.0,0.923795270876983
438646285,37 * 5 * 53 * 7 * 7 * 11 * 83,265,49,913,10.6,1.0,7.545454545454546,A+C,3.805293034964145,22.0,0.8263131055583885
438781525,13 * 5 * 5 * 7 * 7 * 59 * 467,25,49,27553,1.0,1.0,227.71074380165288,C,3.19709115883551,10.0,1.2615384615384615
439283845,13 * 5 * 101 * 7 * 79 * 11 * 11,505,553,121,20.2,11.285714285714286,1.0,A+B,3.5610701153451543,18.0,0.9605483625285606
439354825,13 * 5 * 5 * 7 * 7 * 47 * 587,25,49,27589,1.0,1.0,228.0082644628099,C,3.19709115883551,10.0,1.2615384615384615
439523425,109 * 5 * 5 * 31 * 43 * 11 * 11,25,1333,121,1.0,27.20408163265306,1.0,B,3.4936369679052106,34.0,1.075229357798165
439741225,1093 * 5 * 5 * 7 * 19 * 11 * 11,25,133,121,1.0,2.7142857142857144,1.0,B,3.7245617426009705,70.0,0.860384263494968
439842865,37 * 5 * 401 * 7 * 7 * 11 * 11,2005,49,121,80.2,1.0,1.0,A,4.033634298247314,28.0,0.6120374738828604
440013805,37 * 5 * 17 * 7 * 79 * 11 * 23,85,553,253,3.4,11.285714285714286,2.090909090909091,A+B+C,3.8386140308423924,12.0,0.7974562798092211
440226325,61 * 5 * 5 * 7 * 163 * 11 * 23,25,1141,253,1.0,23.285714285714285,2.090909090909091,B+C,3.0903554861863745,34.0,1.2918032786885245
440340901,13 * 29 * 197 * 7 * 7 * 11 * 11,5713,49,121,228.52,1.0,1.0,A,3.672572534939467,30.0,0.8774320375930739
440341825,157 * 5 * 5 * 7 * 31 * 11 * 47,25,217,517,1.0,4.428571428571429,4.2727272727272725,B+C,3.2857470407029474,70.0,1.2203821656050957
440354425,61 * 5 * 5 * 7 * 7 * 71 * 83,25,49,5893,1.0,1.0,48.70247933884298,C,3.0903554861863745,34.0,1.2918032786885245
440419525,13 * 5 * 5 * 7 * 19 * 23 * 443,25,133,10189,1.0,2.7142857142857144,84.20661157024793,B+C,3.19709115883551,10.0,1.2615384615384615
440430925,97 * 5 * 5 * 19 * 79 * 11 * 11,25,1501,121,1.0,30.632653061224488,1.0,B,3.366869432803848,40.0,1.1711340206185568
440485045,13 * 5 * 17 * 7 * 31 * 11 * 167,85,217,1837,3.4,4.428571428571429,15.181818181818182,A+B+C,3.4157601047094523,12.0,1.0968325791855205
440545105,13 * 5 * 89 * 7 * 43 * 11 * 23,445,301,253,17.8,6.142857142857143,2.090909090909091,A+B+C,3.1021394524927537,48.0,1.3109766637856526
440605165,13 * 5 * 53 * 7 * 151 * 11 * 11,265,1057,121,10.6,21.571428571428573,1.0,A+B,3.382439108831205,22.0,1.125689404934688
440648725,37 * 5 * 5 * 31 * 127 * 11 * 11,25,3937,121,1.0,80.34693877551021,1.0,B,3.6199450849684505,10.0,0.9621621621621622
440681725,193 * 5 * 5 * 19 * 19 * 11 * 23,25,361,253,1.0,7.36734693877551,2.090909090909091,B+C,3.257019313956718,88.0,1.2352331606217617
440689249,13 * 17 * 29 * 7 * 19 * 11 * 47,493,133,517,19.72,2.7142857142857144,4.2727272727272725,A+B+C,3.498901336597893,20.0,1.041660165392417
440965525,13 * 5 * 5 * 7 * 67 * 11 * 263,25,469,2893,1.0,9.571428571428571,23.90909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
441634765,13 * 5 * 29 * 19 * 19 * 11 * 59,145,361,649,5.8,7.36734693877551,5.363636363636363,A+B+C,3.2802323907239512,18.0,1.2063660477453582
441675325,13 * 5 * 5 * 7 * 367 * 23 * 23,25,2569,529,1.0,52.42857142857143,4.371900826446281,B+C,3.19709115883551,10.0,1.2615384615384615
441774025,673 * 5 * 5 * 7 * 31 * 11 * 11,25,217,121,1.0,4.428571428571429,1.0,B,3.304206482187742,280.0,1.210104011887073
441977305,877 * 5 * 17 * 7 * 7 * 11 * 11,85,49,121,3.4,1.0,1.0,A,3.7997447286644705,180.0,0.8336977664497955
442123825,13 * 5 * 5 * 19 * 283 * 11 * 23,25,5377,253,1.0,109.73469387755102,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
442177645,13 * 5 * 29 * 7 * 31 * 23 * 47,145,217,1081,5.8,4.428571428571429,8.933884297520661,A+B+C,3.2802323907239512,18.0,1.2063660477453582
442224145,73 * 5 * 17 * 19 * 31 * 11 * 11,85,589,121,3.4,12.020408163265307,1.0,A+B,3.644992037986447,30.0,0.96406124093473
442236025,37 * 5 * 5 * 7 * 7 * 11 * 887,25,49,9757,1.0,1.0,80.63636363636364,C,3.6199450849684505,10.0,0.9621621621621622
442303225,13 * 5 * 5 * 7 * 79 * 23 * 107,25,553,2461,1.0,11.285714285714286,20.33884297520661,B+C,3.19709115883551,10.0,1.2615384615384615
442322881,13 * 17 * 17 * 7 * 139 * 11 * 11,289,973,121,11.56,19.857142857142858,1.0,A+B,3.6344290505833943,14.0,0.9321266968325792
442351525,97 * 5 * 5 * 7 * 103 * 11 * 23,25,721,253,1.0,14.714285714285714,2.090909090909091,B+C,3.366869432803848,40.0,1.1711340206185568
442513225,73 * 5 * 5 * 7 * 67 * 11 * 47,25,469,517,1.0,9.571428571428571,4.2727272727272725,B+C,3.426323092112505,28.0,1.1287671232876713
442527085,13 * 5 * 17 * 7 * 7 * 11 * 743,85,49,8173,3.4,1.0,67.54545454545455,A+C,3.4157601047094523,12.0,1.0968325791855205
442688785,109 * 5 * 137 * 7 * 7 * 11 * 11,685,49,121,27.4,1.0,1.0,A,3.60851357332211,76.0,0.9963972410098441
442805545,13 * 5 * 17 * 7 * 19 * 23 * 131,85,133,3013,3.4,2.7142857142857144,24.90082644628099,A+B+C,3.4157601047094523,12.0,1.0968325791855205
442882825,1429 * 5 * 5 * 7 * 7 * 11 * 23,25,49,253,1.0,1.0,2.090909090909091,C,3.131011037968717,694.0,1.2828551434569628
442919785,37 * 5 * 17 * 7 * 31 * 11 * 59,85,217,649,3.4,4.428571428571429,5.363636363636363,A+B+C,3.8386140308423924,12.0,0.7974562798092211
442947505,13 * 5 * 269 * 7 * 7 * 11 * 47,1345,49,517,53.8,1.0,4.2727272727272725,A+C,3.00504314159478,138.0,1.3448098370031456
