n,Faktorisierung,P_A,P_B,P_C,R_A,R_B,R_C,exc_combo,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
520059925,241 * 5 * 5 * 7 * 19 * 11 * 59,25,133,649,1.0,2.7142857142857144,5.363636363636363,B+C,3.5244913706357366,64.0,1.0489626556016598
520112593,13 * 29 * 41 * 7 * 19 * 11 * 23,1189,133,253,47.56,2.7142857142857144,2.090909090909091,A+B+C,3.0691390575012045,36.0,1.2941709257941385
520307725,313 * 5 * 5 * 7 * 7 * 23 * 59,25,49,1357,1.0,1.0,11.214876033057852,C,3.0396742861089194,160.0,1.2984025559105432
520373425,13 * 5 * 5 * 19 * 163 * 11 * 47,25,3097,517,1.0,63.204081632653065,4.2727272727272725,B+C,3.19709115883551,10.0,1.2615384615384615
520390525,109 * 5 * 5 * 19 * 19 * 23 * 23,25,361,529,1.0,7.36734693877551,4.371900826446281,B+C,3.4936369679052106,34.0,1.075229357798165
520595845,1033 * 5 * 17 * 7 * 7 * 11 * 11,85,49,121,3.4,1.0,1.0,A,3.91028592709843,102.0,0.7282273219064974
520605085,13 * 5 * 41 * 7 * 43 * 11 * 59,205,301,649,8.2,6.142857142857143,5.363636363636363,A+B+C,2.9859978256127633,28.0,1.349343339587242
520725205,13 * 5 * 89 * 7 * 7 * 11 * 167,445,49,1837,17.8,1.0,15.181818181818182,A+C,3.1021394524927537,48.0,1.3109766637856526
520809289,13 * 29 * 233 * 7 * 7 * 11 * 11,6757,49,121,270.28,1.0,1.0,A,3.1922250171962103,120.0,1.2527179790758303
520868425,37 * 5 * 5 * 7 * 103 * 11 * 71,25,721,781,1.0,14.714285714285714,6.454545454545454,B+C,3.6199450849684505,10.0,0.9621621621621622
520881025,109 * 5 * 5 * 7 * 7 * 47 * 83,25,49,3901,1.0,1.0,32.239669421487605,C,3.4936369679052106,34.0,1.075229357798165
521307325,3517 * 5 * 5 * 7 * 7 * 11 * 11,25,49,121,1.0,1.0,1.0,grundzustand,3.6837472591174096,358.0,0.9006539664486779
521445925,13 * 5 * 5 * 7 * 67 * 11 * 311,25,469,3421,1.0,9.571428571428571,28.272727272727273,B+C,3.19709115883551,10.0,1.2615384615384615
521552185,37 * 5 * 41 * 7 * 19 * 11 * 47,205,133,517,8.2,2.7142857142857144,4.2727272727272725,A+B+C,3.408851751745704,28.0,1.0499670402109427
521695405,193 * 5 * 17 * 7 * 7 * 11 * 59,85,49,649,3.4,1.0,5.363636363636363,A+C,3.47568825983066,90.0,1.0705272782688204
521769325,73 * 5 * 5 * 7 * 79 * 11 * 47,25,553,517,1.0,11.285714285714286,4.2727272727272725,B+C,3.426323092112505,28.0,1.1287671232876713
521795365,13 * 5 * 17 * 7 * 7 * 23 * 419,85,49,9637,3.4,1.0,79.64462809917356,A+C,3.4157601047094523,12.0,1.0968325791855205
521815525,1297 * 5 * 5 * 7 * 19 * 11 * 11,25,133,121,1.0,2.7142857142857144,1.0,B,3.7573231257896564,40.0,0.8277563608326909
521986465,13 * 5 * 317 * 7 * 7 * 11 * 47,1585,49,517,63.4,1.0,4.2727272727272725,A+C,2.9947695304572064,162.0,1.3473428779422472
521998225,97 * 5 * 5 * 7 * 7 * 23 * 191,25,49,4393,1.0,1.0,36.30578512396694,C,3.366869432803848,40.0,1.1711340206185568
522046525,13 * 5 * 5 * 7 * 907 * 11 * 23,25,6349,253,1.0,129.57142857142858,2.090909090909091,B+C,3.19709115883551,10.0,1.2615384615384615
522120445,97 * 5 * 41 * 7 * 31 * 11 * 11,205,217,121,8.2,4.428571428571429,1.0,A+B,3.155776099581102,58.0,1.258938898667337
522254425,109 * 5 * 5 * 7 * 19 * 11 * 131,25,133,1441,1.0,2.7142857142857144,11.909090909090908,B+C,3.4936369679052106,34.0,1.075229357798165
522262825,193 * 5 * 5 * 7 * 7 * 47 * 47,25,49,2209,1.0,1.0,18.25619834710744,C,3.257019313956718,88.0,1.2352331606217617
522575053,13 * 17 * 41 * 7 * 7 * 11 * 107,697,49,1177,27.88,1.0,9.727272727272727,A+C,3.204666771486705,30.0,1.1846374572343008
522674425,13 * 5 * 5 * 7 * 7 * 23 * 1427,25,49,32821,1.0,1.0,271.24793388429754,C,3.19709115883551,10.0,1.2615384615384615
