run_id,n,aqg_us,classic_us,aqg_factor_count,classic_factor_count
1,4707522539932198999798680695007228960569,2364562,2303282,3,3
2,6357702380579088205156993088326633523349,1314,1213,3,3
3,8043614667081213974528100499264140087969,2168965,2144049,5,5
4,7831053048729569109133417000748093099593,7102,2636,8,8
5,3159354640312561530584702356725333454793,4168,1575,1,1
6,5684688132854628996692314255897835650465,285919,85684,4,4
7,3650043838890840232589755912531535927559,1798570,2398059,5,4
8,3595909244144715282018671668692865695261,1477,1373,5,5
9,9464732319556071183752311615824581601575,2169447,2177609,6,6
10,7851324079920528628117397764154676680449,2241223,2244769,3,3
11,6481308210689669397733902430683558919929,70263,84308,4,4
12,9818998258047671835900125656484151679415,1928568,1929070,6,6
13,1983411804187330574755209413679526763197,10467,3138,3,3
14,4490456436077973704683332920920337371419,2447013,2452686,4,4
15,1972920870117632692711123570153320253939,2555345,2576444,2,2
16,5202586931154064563460418144454334511999,11093,13126,5,5
17,6597566257294644896252390901661392219095,4171,5936,5,5
18,8742858680766489594307450911982597266453,3108,994,4,4
19,4086465202084423267762817846033688918621,21224,11368,9,9
20,8688918443014330837270844510203509774395,44774,7684,4,4
21,7618792131198799539876016374410068659059,1158146,896392,4,4
22,7304972752702114166089093349848926446755,2360838,2329471,4,4
23,5418969785948597062533489513127120840669,2388292,2409184,5,5
24,8052063655619628963004289408409034758149,5881,4570,3,3
25,5078987610785263517434553495574992858913,2494424,2474675,5,5
26,6337761474439617851219831853378164305401,3539,2099,4,4
27,8014309193065220277466129480751959006071,3054,939,5,5
28,7717718503805987917063600211151585730583,3415255,3553683,1,1
29,8853081296818768180818173024531471193227,7337,34737,4,4
30,3124646063455905335335583835748584277299,229940,180143,7,7
31,7479228419363308401451180716669095162423,1310,1533,4,4
32,9398210575910588701032464633610150184505,3391755,3784675,2,3
33,7758490380544226674100314475379071934337,2322,2971,4,4
34,4204246301652785100160230484914420900581,2558783,2626043,2,2
35,2126615201794455572391048605922671750393,16080,17852,7,7
36,7558921463928796067364777117551626990639,3445346,3424025,1,1
37,1167070134249879253491123008056141779711,2423992,2460845,3,3
38,7225369329209700934921799011311665740023,2978,831,3,3
39,2714328326676427253910246933716642629893,364353,471672,9,9
40,6022779745456840833324176208652377049703,2600893,2603962,2,2
41,9129416623620334248638638936508086128779,3545767,3496690,1,1
42,5853778545983205585361225008594234498293,2136,2270,5,5
