m,nu2_old,nu3_old,core_old,omega_E_old,omega_A_old,omega_B_old,omega_C_old,balance_old,profile_old,channel_count_old,is_fullshell_1111_old,nu2_new,nu3_new,sigma5,eps5,core_new,omega_E_new,omega_A_new,omega_B_new,omega_C_new,balance_new,profile_new,channel_count_new,is_fullshell_1111_new,has_25_shell,energy_old,energy_new,delta_energy
9925,0,0,9925,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,397,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.500703026388848,12.495984070171797,-9.00471895621705
275,0,0,275,0,2,0,1,5,"(0,2,0,1)",2,False,0,0,1,0,11,0,0,0,1,1,"(0,0,0,1)",1,False,True,21.504192774416644,12.499473818199592,-9.004718956217053
10225,0,0,10225,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,409,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.50814774522775,12.5034287890107,-9.004718956217049
10525,0,0,10525,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,421,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.515377164637645,12.510658208420596,-9.004718956217049
10825,0,0,10825,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,433,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.522403388217672,12.517684432000623,-9.004718956217049
3425,0,0,3425,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,0,137,0,1,0,0,1,"(0,1,0,0)",1,False,True,27.53471418767408,12.529995231457033,-15.004718956217047
11425,0,0,11425,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,457,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.535889803940602,12.531170847723551,-9.00471895621705
1075,0,0,1075,0,2,1,0,1,"(0,2,1,0)",2,False,0,0,1,0,43,0,0,1,0,1,"(0,0,1,0)",1,False,True,15.545018985140441,12.54030002892339,-3.004718956217051
3725,0,0,3725,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,0,149,0,1,0,0,1,"(0,1,0,0)",1,False,True,27.555705532703413,12.550986576486366,-15.004718956217047
13525,0,0,13525,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,541,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.57807377592867,12.57335481971162,-9.004718956217049
4325,0,0,4325,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,0,173,0,1,0,0,1,"(0,1,0,0)",1,False,True,27.593041854841495,12.588322898624446,-15.004718956217049
14425,0,0,14425,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,577,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.594179522844072,12.589460566627025,-9.004718956217047
15025,0,0,15025,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,601,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.60436768985085,12.599648733633803,-9.004718956217047
1250,1,0,625,0,4,0,0,16,"(0,4,0,0)",1,False,1,0,2,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,42.6094379124341,12.6,-30.0094379124341
8100,2,4,25,0,2,0,0,4,"(0,2,0,0)",1,False,2,4,1,0,1,0,0,0,0,0,"(0,0,0,0)",0,False,True,21.604718956217052,12.6,-9.004718956217053
15325,0,0,15325,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,613,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.609310190201104,12.604591233984053,-9.00471895621705
4925,0,0,4925,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,0,197,0,1,0,0,1,"(0,1,0,0)",1,False,True,27.62551988840155,12.620800932184498,-15.00471895621705
16525,0,0,16525,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,661,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.62815741617997,12.623438459962921,-9.004718956217049
16825,0,0,16825,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,673,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.632655288628232,12.627936332411181,-9.00471895621705
17725,0,0,17725,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,709,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.64568283785008,12.640963881633033,-9.004718956217049
650,1,0,325,1,2,0,0,5,"(1,2,0,0)",2,False,1,0,1,0,13,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.645956295582433,12.641237339365384,-9.004718956217049
18325,0,0,18325,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,733,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.654005381688712,12.649286425471663,-9.004718956217049
1675,0,0,1675,0,2,1,0,1,"(0,2,1,0)",2,False,0,0,1,0,67,0,0,1,0,1,"(0,0,1,0)",1,False,True,15.655892111064793,12.651173154847742,-3.004718956217051
18925,0,0,18925,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,757,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.662059769576413,12.657340813359362,-9.00471895621705
19225,0,0,19225,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,769,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.66599169859346,12.661272742376411,-9.004718956217047
5825,0,0,5825,0,3,0,0,9,"(0,3,0,0)",1,False,0,0,1,0,233,0,1,0,0,1,"(0,1,0,0)",1,False,True,27.667478569608477,12.662759613391426,-15.00471895621705
20725,0,0,20725,1,2,0,0,5,"(1,2,0,0)",2,False,0,0,1,0,829,1,0,0,0,1,"(1,0,0,0)",1,False,True,21.684773995000874,12.680055038783824,-9.00471895621705
