b,c,total,distinct_a,entropy,top_a_list
19,1499,2,1,-0.0,5×2(1.000)
19,1511,2,1,-0.0,5×2(1.000)
19,1523,2,1,-0.0,5×2(1.000)
19,1559,2,1,-0.0,5×2(1.000)
19,1571,2,1,-0.0,5×2(1.000)
19,1583,2,1,-0.0,5×2(1.000)
19,1607,2,1,-0.0,5×2(1.000)
19,1619,2,1,-0.0,5×2(1.000)
19,1667,2,1,-0.0,5×2(1.000)
19,1787,2,1,-0.0,5×2(1.000)
19,1811,2,1,-0.0,5×2(1.000)
19,1823,2,1,-0.0,5×2(1.000)
19,1847,2,1,-0.0,5×2(1.000)
19,1871,2,1,-0.0,5×2(1.000)
19,1907,2,1,-0.0,5×2(1.000)
19,1931,2,1,-0.0,5×2(1.000)
19,1979,2,1,-0.0,5×2(1.000)
19,2003,2,1,-0.0,5×2(1.000)
19,2027,2,1,-0.0,5×2(1.000)
19,2039,2,1,-0.0,5×2(1.000)
19,2063,2,1,-0.0,5×2(1.000)
19,2087,2,1,-0.0,5×2(1.000)
19,2099,2,1,-0.0,5×2(1.000)
31,647,2,1,-0.0,5×2(1.000)
31,659,2,1,-0.0,5×2(1.000)
31,683,2,1,-0.0,5×2(1.000)
31,719,2,1,-0.0,5×2(1.000)
31,743,2,1,-0.0,5×2(1.000)
31,827,2,1,-0.0,5×2(1.000)
31,839,2,1,-0.0,5×2(1.000)
31,863,2,1,-0.0,5×2(1.000)
31,887,2,1,-0.0,5×2(1.000)
31,911,2,1,-0.0,5×2(1.000)
31,947,2,1,-0.0,5×2(1.000)
31,971,2,1,-0.0,5×2(1.000)
31,983,2,1,-0.0,5×2(1.000)
31,1019,2,1,-0.0,5×2(1.000)
31,1031,2,1,-0.0,5×2(1.000)
31,1091,2,1,-0.0,5×2(1.000)
31,1103,2,1,-0.0,5×2(1.000)
31,1151,2,1,-0.0,5×2(1.000)
31,1163,2,1,-0.0,5×2(1.000)
31,1187,2,1,-0.0,5×2(1.000)
31,1223,2,1,-0.0,5×2(1.000)
31,1259,2,1,-0.0,5×2(1.000)
31,1283,2,1,-0.0,5×2(1.000)
43,467,2,1,-0.0,5×2(1.000)
43,479,2,1,-0.0,5×2(1.000)
43,491,2,1,-0.0,5×2(1.000)
43,503,2,1,-0.0,5×2(1.000)
43,563,2,1,-0.0,5×2(1.000)
43,587,2,1,-0.0,5×2(1.000)
43,599,2,1,-0.0,5×2(1.000)
43,647,2,1,-0.0,5×2(1.000)
43,659,2,1,-0.0,5×2(1.000)
43,683,2,1,-0.0,5×2(1.000)
43,719,2,1,-0.0,5×2(1.000)
43,743,2,1,-0.0,5×2(1.000)
43,827,2,1,-0.0,5×2(1.000)
43,839,2,1,-0.0,5×2(1.000)
43,863,2,1,-0.0,5×2(1.000)
43,887,2,1,-0.0,5×2(1.000)
43,911,2,1,-0.0,5×2(1.000)
67,311,2,1,-0.0,5×2(1.000)
67,347,2,1,-0.0,5×2(1.000)
67,359,2,1,-0.0,5×2(1.000)
67,383,2,1,-0.0,5×2(1.000)
67,419,2,1,-0.0,5×2(1.000)
67,431,2,1,-0.0,5×2(1.000)
67,443,2,1,-0.0,5×2(1.000)
67,467,2,1,-0.0,5×2(1.000)
67,479,2,1,-0.0,5×2(1.000)
67,491,2,1,-0.0,5×2(1.000)
67,503,2,1,-0.0,5×2(1.000)
67,563,2,1,-0.0,5×2(1.000)
67,587,2,1,-0.0,5×2(1.000)
79,251,2,1,-0.0,5×2(1.000)
79,263,2,1,-0.0,5×2(1.000)
79,311,2,1,-0.0,5×2(1.000)
79,347,2,1,-0.0,5×2(1.000)
79,359,2,1,-0.0,5×2(1.000)
79,383,2,1,-0.0,5×2(1.000)
79,419,2,1,-0.0,5×2(1.000)
79,431,2,1,-0.0,5×2(1.000)
79,443,2,1,-0.0,5×2(1.000)
79,467,2,1,-0.0,5×2(1.000)
79,479,2,1,-0.0,5×2(1.000)
79,491,2,1,-0.0,5×2(1.000)
79,503,2,1,-0.0,5×2(1.000)
103,191,2,1,-0.0,5×2(1.000)
103,227,2,1,-0.0,5×2(1.000)
103,239,2,1,-0.0,5×2(1.000)
103,251,2,1,-0.0,5×2(1.000)
103,263,2,1,-0.0,5×2(1.000)
103,311,2,1,-0.0,5×2(1.000)
103,347,2,1,-0.0,5×2(1.000)
103,359,2,1,-0.0,5×2(1.000)
103,383,2,1,-0.0,5×2(1.000)
127,167,2,1,-0.0,5×2(1.000)
127,179,2,1,-0.0,5×2(1.000)
127,191,2,1,-0.0,5×2(1.000)
127,227,2,1,-0.0,5×2(1.000)
127,239,2,1,-0.0,5×2(1.000)
127,251,2,1,-0.0,5×2(1.000)
127,263,2,1,-0.0,5×2(1.000)
127,311,2,1,-0.0,5×2(1.000)
139,167,2,1,-0.0,5×2(1.000)
139,179,2,1,-0.0,5×2(1.000)
139,191,2,1,-0.0,5×2(1.000)
139,227,2,1,-0.0,5×2(1.000)
139,239,2,1,-0.0,5×2(1.000)
139,251,2,1,-0.0,5×2(1.000)
139,263,2,1,-0.0,5×2(1.000)
151,131,2,1,-0.0,5×2(1.000)
151,167,2,1,-0.0,5×2(1.000)
151,179,2,1,-0.0,5×2(1.000)
151,191,2,1,-0.0,5×2(1.000)
151,227,2,1,-0.0,5×2(1.000)
151,239,2,1,-0.0,5×2(1.000)
151,251,2,1,-0.0,5×2(1.000)
151,263,2,1,-0.0,5×2(1.000)
163,131,2,1,-0.0,5×2(1.000)
163,167,2,1,-0.0,5×2(1.000)
163,179,2,1,-0.0,5×2(1.000)
163,191,2,1,-0.0,5×2(1.000)
163,227,2,1,-0.0,5×2(1.000)
163,239,2,1,-0.0,5×2(1.000)
199,107,2,1,-0.0,5×2(1.000)
199,131,2,1,-0.0,5×2(1.000)
199,167,2,1,-0.0,5×2(1.000)
199,179,2,1,-0.0,5×2(1.000)
199,191,2,1,-0.0,5×2(1.000)
211,107,2,1,-0.0,5×2(1.000)
211,131,2,1,-0.0,5×2(1.000)
211,167,2,1,-0.0,5×2(1.000)
211,179,2,1,-0.0,5×2(1.000)
223,107,2,1,-0.0,5×2(1.000)
223,131,2,1,-0.0,5×2(1.000)
223,167,2,1,-0.0,5×2(1.000)
223,179,2,1,-0.0,5×2(1.000)
271,71,2,1,-0.0,5×2(1.000)
271,83,2,1,-0.0,5×2(1.000)
271,107,2,1,-0.0,5×2(1.000)
271,131,2,1,-0.0,5×2(1.000)
283,71,2,1,-0.0,5×2(1.000)
283,83,2,1,-0.0,5×2(1.000)
283,107,2,1,-0.0,5×2(1.000)
283,131,2,1,-0.0,5×2(1.000)
307,71,2,1,-0.0,5×2(1.000)
307,83,2,1,-0.0,5×2(1.000)
307,107,2,1,-0.0,5×2(1.000)
331,59,2,1,-0.0,5×2(1.000)
331,71,2,1,-0.0,5×2(1.000)
331,83,2,1,-0.0,5×2(1.000)
331,107,2,1,-0.0,5×2(1.000)
367,59,2,1,-0.0,5×2(1.000)
367,71,2,1,-0.0,5×2(1.000)
367,83,2,1,-0.0,5×2(1.000)
367,107,2,1,-0.0,5×2(1.000)
379,59,2,1,-0.0,5×2(1.000)
379,71,2,1,-0.0,5×2(1.000)
379,83,2,1,-0.0,5×2(1.000)
439,47,2,1,-0.0,5×2(1.000)
439,59,2,1,-0.0,5×2(1.000)
439,71,2,1,-0.0,5×2(1.000)
439,83,2,1,-0.0,5×2(1.000)
463,47,2,1,-0.0,5×2(1.000)
463,59,2,1,-0.0,5×2(1.000)
463,71,2,1,-0.0,5×2(1.000)
463,83,2,1,-0.0,5×2(1.000)
487,47,2,1,-0.0,5×2(1.000)
487,59,2,1,-0.0,5×2(1.000)
487,71,2,1,-0.0,5×2(1.000)
499,47,2,1,-0.0,5×2(1.000)
499,59,2,1,-0.0,5×2(1.000)
499,71,2,1,-0.0,5×2(1.000)
523,47,2,1,-0.0,5×2(1.000)
523,59,2,1,-0.0,5×2(1.000)
523,71,2,1,-0.0,5×2(1.000)
547,47,2,1,-0.0,5×2(1.000)
547,59,2,1,-0.0,5×2(1.000)
547,71,2,1,-0.0,5×2(1.000)
571,47,2,1,-0.0,5×2(1.000)
571,59,2,1,-0.0,5×2(1.000)
607,47,2,1,-0.0,5×2(1.000)
607,59,2,1,-0.0,5×2(1.000)
619,47,2,1,-0.0,5×2(1.000)
619,59,2,1,-0.0,5×2(1.000)
631,47,2,1,-0.0,5×2(1.000)
631,59,2,1,-0.0,5×2(1.000)
643,47,2,1,-0.0,5×2(1.000)
643,59,2,1,-0.0,5×2(1.000)
691,47,2,1,-0.0,5×2(1.000)
727,47,2,1,-0.0,5×2(1.000)
739,47,2,1,-0.0,5×2(1.000)
751,47,2,1,-0.0,5×2(1.000)
787,47,2,1,-0.0,5×2(1.000)
811,47,2,1,-0.0,5×2(1.000)
823,47,2,1,-0.0,5×2(1.000)
859,23,2,1,-0.0,5×2(1.000)
883,23,2,1,-0.0,5×2(1.000)
907,23,2,1,-0.0,5×2(1.000)
919,23,2,1,-0.0,5×2(1.000)
967,23,2,1,-0.0,5×2(1.000)
991,23,2,1,-0.0,5×2(1.000)
1039,23,2,1,-0.0,5×2(1.000)
1051,23,2,1,-0.0,5×2(1.000)
1063,23,2,1,-0.0,5×2(1.000)
1087,23,2,1,-0.0,5×2(1.000)
1123,23,2,1,-0.0,5×2(1.000)
1171,23,2,1,-0.0,5×2(1.000)
1231,23,2,1,-0.0,5×2(1.000)
1279,23,2,1,-0.0,5×2(1.000)
1291,23,2,1,-0.0,5×2(1.000)
1303,23,2,1,-0.0,5×2(1.000)
1327,23,2,1,-0.0,5×2(1.000)
1399,23,2,1,-0.0,5×2(1.000)
1423,23,2,1,-0.0,5×2(1.000)
1447,23,2,1,-0.0,5×2(1.000)
1459,23,2,1,-0.0,5×2(1.000)
1471,23,2,1,-0.0,5×2(1.000)
1483,23,2,1,-0.0,5×2(1.000)
1531,23,2,1,-0.0,5×2(1.000)
1543,23,2,1,-0.0,5×2(1.000)
1567,23,2,1,-0.0,5×2(1.000)
1579,23,2,1,-0.0,5×2(1.000)
1627,23,2,1,-0.0,5×2(1.000)
1663,23,2,1,-0.0,5×2(1.000)
1699,23,2,1,-0.0,5×2(1.000)
1723,23,2,1,-0.0,5×2(1.000)
