e,state_key,count
829,5·5 | 7·7 | 11·47,1
853,5·5 | 7·7 | 11·11,1
853,5·5 | 7·7 | 11·23,1
853,5·5 | 7·19 | 11·11,1
853,5·17 | 7·7 | 11·11,1
853,5·5 | 7·7 | 11·47,1
877,5·5 | 7·7 | 11·11,1
877,5·5 | 7·7 | 11·23,1
877,5·5 | 7·19 | 11·11,1
877,5·17 | 7·7 | 11·11,1
877,5·5 | 7·7 | 11·47,1
937,5·5 | 7·7 | 11·11,1
937,5·5 | 7·7 | 11·23,1
937,5·5 | 7·19 | 11·11,1
937,5·17 | 7·7 | 11·11,1
937,5·5 | 7·7 | 11·47,1
997,5·5 | 7·7 | 11·11,1
997,5·5 | 7·7 | 11·23,1
997,5·5 | 7·19 | 11·11,1
997,5·17 | 7·7 | 11·11,1
997,5·5 | 7·7 | 11·47,1
1009,5·5 | 7·7 | 11·11,1
1009,5·5 | 7·7 | 11·23,1
1009,5·5 | 7·19 | 11·11,1
1009,5·17 | 7·7 | 11·11,1
1009,5·5 | 7·7 | 11·47,1
1021,5·5 | 7·7 | 11·11,1
1021,5·5 | 7·7 | 11·23,1
1021,5·5 | 7·19 | 11·11,1
1021,5·17 | 7·7 | 11·11,1
1021,5·5 | 7·7 | 11·47,1
1033,5·5 | 7·7 | 11·11,1
1033,5·5 | 7·7 | 11·23,1
1033,5·5 | 7·19 | 11·11,1
1033,5·17 | 7·7 | 11·11,1
1033,5·5 | 7·7 | 11·47,1
1069,5·5 | 7·7 | 11·11,1
1069,5·5 | 7·7 | 11·23,1
1069,5·5 | 7·19 | 11·11,1
1069,5·17 | 7·7 | 11·11,1
1069,5·5 | 7·7 | 11·47,1
1093,5·5 | 7·7 | 11·11,1
1093,5·5 | 7·7 | 11·23,1
1093,5·5 | 7·19 | 11·11,1
1093,5·17 | 7·7 | 11·11,1
1093,5·5 | 7·7 | 11·47,1
1117,5·5 | 7·7 | 11·11,1
1117,5·5 | 7·7 | 11·23,1
1117,5·5 | 7·19 | 11·11,1
1117,5·17 | 7·7 | 11·11,1
1117,5·5 | 7·7 | 11·47,1
1129,5·5 | 7·7 | 11·11,1
1129,5·5 | 7·7 | 11·23,1
1129,5·5 | 7·19 | 11·11,1
1129,5·17 | 7·7 | 11·11,1
1129,5·5 | 7·7 | 11·47,1
1153,5·5 | 7·7 | 11·11,1
1153,5·5 | 7·7 | 11·23,1
1153,5·5 | 7·19 | 11·11,1
1153,5·17 | 7·7 | 11·11,1
1153,5·5 | 7·7 | 11·47,1
1201,5·5 | 7·7 | 11·11,1
1201,5·5 | 7·7 | 11·23,1
1201,5·5 | 7·19 | 11·11,1
1201,5·17 | 7·7 | 11·11,1
